,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,2.8,3.05,2.7,2.69,2.7,8812600
1,2021-06-11,2.78,3.02,2.98,2.71,2.98,6216100
2,2021-06-14,2.98,3.02,2.9,2.9,2.9,3287900
3,2021-06-15,2.88,2.93,2.9,2.85,2.9,3437200
4,2021-06-16,2.89,2.94,2.9,2.87,2.9,1818800
5,2021-06-17,2.88,2.98,2.78,2.75,2.78,4168700
6,2021-06-18,2.72,2.85,2.68,2.66,2.68,5113100
7,2021-06-21,2.72,2.82,2.79,2.71,2.79,4222600
8,2021-06-22,2.77,2.87,2.79,2.73,2.79,2600600
9,2021-06-23,2.84,2.89,2.79,2.76,2.79,3531700
10,2021-06-24,2.81,2.84,2.84,2.77,2.84,4461100
11,2021-06-25,2.85,2.93,2.81,2.77,2.81,50216400
12,2021-06-28,2.79,2.84,2.75,2.64,2.75,3816800
13,2021-06-29,2.76,2.79,2.69,2.68,2.69,1883600
14,2021-06-30,2.66,2.75,2.64,2.63,2.64,4244700
15,2021-07-01,2.68,2.7,2.63,2.61,2.63,3245800
16,2021-07-02,2.64,2.67,2.54,2.49,2.54,1435300
17,2021-07-06,2.54,2.54,2.45,2.4,2.45,2378500
18,2021-07-07,2.46,2.57,2.55,2.38,2.55,3987900
19,2021-07-08,2.5,2.58,2.51,2.46,2.51,1969700
20,2021-07-09,2.55,2.58,2.56,2.49,2.56,1665400
21,2021-07-12,2.54,2.64,2.63,2.48,2.63,2629100
22,2021-07-13,2.63,2.63,2.52,2.49,2.52,3192200
23,2021-07-14,2.57,2.57,2.5,2.47,2.5,1981100
24,2021-07-15,2.49,2.54,2.52,2.46,2.52,3123500
25,2021-07-16,2.55,2.55,2.39,2.35,2.39,2931700
26,2021-07-19,2.3,2.33,2.3,2.26,2.3,2133400
27,2021-07-20,2.37,2.41,2.36,2.25,2.36,2219100
28,2021-07-21,2.39,2.49,2.44,2.38,2.44,1340700
29,2021-07-22,2.42,2.45,2.34,2.3,2.34,1330200
30,2021-07-23,2.36,2.36,2.33,2.24,2.33,1187100
31,2021-07-26,2.34,2.46,2.42,2.33,2.42,1440700
32,2021-07-27,2.38,2.4,2.35,2.28,2.35,1308400
33,2021-07-28,2.39,2.41,2.39,2.29,2.39,1190400
34,2021-07-29,2.51,2.73,2.67,2.48,2.67,3375400
35,2021-07-30,2.67,2.79,2.66,2.63,2.66,2431400
36,2021-08-02,2.64,2.73,2.52,2.51,2.52,2483200
37,2021-08-03,2.54,2.57,2.49,2.39,2.49,1746800
38,2021-08-04,2.44,2.48,2.41,2.4,2.41,1236000
39,2021-08-05,2.41,2.56,2.47,2.39,2.47,1392300
40,2021-08-06,2.49,2.59,2.55,2.48,2.55,1061400
41,2021-08-09,2.53,2.55,2.44,2.44,2.44,659200
42,2021-08-10,2.44,2.47,2.43,2.4,2.43,671400
43,2021-08-11,2.44,2.5,2.49,2.4,2.49,1095700
44,2021-08-12,2.48,2.48,2.41,2.33,2.41,1483100
45,2021-08-13,2.41,2.41,2.36,2.34,2.36,1588100
46,2021-08-16,2.34,2.35,2.3,2.27,2.3,1678900
47,2021-08-17,2.27,2.34,2.29,2.25,2.29,1632800
48,2021-08-18,2.32,2.33,2.28,2.24,2.28,1648700
49,2021-08-19,2.24,2.28,2.26,2.21,2.26,1379700
50,2021-08-20,2.24,2.31,2.3,2.24,2.3,1288100
51,2021-08-23,2.33,2.41,2.36,2.33,2.36,1203500
52,2021-08-24,2.38,2.52,2.47,2.38,2.47,2767600
53,2021-08-25,2.48,2.52,2.41,2.41,2.41,738800
54,2021-08-26,2.4,2.4,2.3,2.28,2.3,1522200
55,2021-08-27,2.32,2.54,2.54,2.32,2.54,1149400
56,2021-08-30,2.56,2.58,2.55,2.47,2.55,1665500
57,2021-08-31,2.54,2.63,2.63,2.5,2.63,1465400
58,2021-09-01,2.64,2.66,2.64,2.59,2.64,1361100
59,2021-09-02,2.65,2.67,2.6,2.58,2.6,2117900
60,2021-09-03,2.6,2.63,2.55,2.49,2.55,1040900
61,2021-09-07,2.53,2.58,2.54,2.515,2.54,1392328
