,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,30.34,30.34,30.2616,30.22,30.1455,9218
1,2021-06-11,30.21,30.232,30.232,30.21,30.116,3334
2,2021-06-14,30.21,30.21,30.1604,30.07,30.0447,18657
3,2021-06-15,30.23,30.31,30.2583,30.18,30.1422,11873
4,2021-06-16,30.34,30.34,30.05,30.05,29.9347,19721
5,2021-06-17,29.93,30.05,29.73,29.7028,29.616,15988
6,2021-06-18,29.5,29.5599,29.501,29.47,29.3878,4828
7,2021-06-21,29.71,29.981,29.928,29.71,29.8132,9100
8,2021-06-22,29.76,30.38,29.79,29.7,29.6757,18500
9,2021-06-23,29.66,29.75,29.645,29.59,29.5313,13500
10,2021-06-24,29.42,29.72,29.72,29.42,29.606,4700
11,2021-06-25,29.665,29.74,29.709,29.63,29.709,11100
12,2021-06-28,29.45,29.579,29.574,29.45,29.574,7700
13,2021-06-29,29.52,29.52,29.335,29.33,29.335,29000
14,2021-06-30,29.355,29.39,29.385,29.31,29.385,10100
15,2021-07-01,29.448,29.57,29.57,29.448,29.57,49200
16,2021-07-02,29.6,29.7,29.7,29.48,29.7,6500
17,2021-07-06,29.418,29.44,29.4006,29.31,29.4006,13508
18,2021-07-07,29.39,29.87,29.791,29.34,29.791,54700
19,2021-07-08,29.86,29.86,29.74,29.57,29.74,13100
20,2021-07-09,29.89,29.94,29.87,29.86,29.87,2900
21,2021-07-12,30.02,30.02,29.942,29.92,29.942,6200
22,2021-07-13,29.61,29.91,29.8,29.61,29.8,17700
23,2021-07-14,29.84,29.955,29.955,29.78,29.955,6400
24,2021-07-15,29.88,30.083,30.083,29.88,30.083,9700
25,2021-07-16,30.05,30.05,29.883,29.76,29.883,17400
26,2021-07-19,29.92,30.01,29.76,29.71,29.76,22300
27,2021-07-20,29.77,30.68,30.0,29.77,30.0,42800
28,2021-07-21,29.91,30.08,29.768,29.27,29.768,193500
29,2021-07-22,29.94,29.99,29.94,29.89,29.94,19700
30,2021-07-23,30.21,30.381,30.32,30.12,30.32,4200
31,2021-07-26,30.23,30.39,30.227,30.09,30.227,39500
32,2021-07-27,30.2,30.37,30.349,30.154,30.349,33400
33,2021-07-28,30.3,30.3,30.2,30.17,30.2,15800
34,2021-07-29,30.28,30.34,30.219,30.14,30.219,20800
35,2021-07-30,30.24,30.378,30.1,30.1,30.1,25300
36,2021-08-02,30.58,30.58,30.059,30.05,30.059,29617
37,2021-08-03,29.88,30.41,30.21,29.88,30.21,17124
38,2021-08-04,30.18,30.25,29.989,29.97,29.989,20700
39,2021-08-05,30.03,30.1,30.07,29.987,30.07,40200
40,2021-08-06,30.0,30.13,30.13,30.0,30.13,20600
41,2021-08-09,30.12,30.12,30.045,30.03,30.045,18800
42,2021-08-10,30.051,30.33,30.287,30.051,30.287,11800
43,2021-08-11,30.39,30.4,30.337,30.31,30.337,10600
44,2021-08-12,30.36,30.39,30.37,30.33,30.37,5100
45,2021-08-13,30.34,30.535,30.44,30.296,30.44,69100
46,2021-08-16,30.44,30.68,30.527,30.36,30.527,43500
47,2021-08-17,30.511,30.793,30.6,30.511,30.6,36200
48,2021-08-18,30.51,30.8,30.35,30.297,30.35,417600
49,2021-08-19,30.08,31.19,30.4,30.08,30.4,243100
50,2021-08-20,30.21,30.89,30.48,30.21,30.48,130700
51,2021-08-23,30.58,30.58,30.48,30.45,30.48,49102
52,2021-08-24,30.38,30.43,30.3,30.3,30.3,65408
53,2021-08-25,30.25,30.451,30.42,30.25,30.42,10600
54,2021-08-26,30.41,30.42,30.41,30.33,30.41,29600
55,2021-08-27,30.27,30.395,30.3,30.27,30.3,48500
56,2021-08-30,30.54,30.54,30.23,30.23,30.23,24242
57,2021-08-31,30.34,30.34,30.26,30.2,30.26,13350
58,2021-09-01,30.22,30.25,30.25,30.091,30.25,23566
59,2021-09-02,30.24,30.32,30.32,30.17,30.32,9234
60,2021-09-03,30.27,30.34,30.265,30.25,30.265,15432
61,2021-09-07,30.25,30.25,30.13,30.0758,30.13,12189
