Date,Open,High,Low,Close,AdjustedClose,Volume
1980-03-17,6.875,7,6.875,6.875,6.875,8100
1980-03-18,6.625,6.75,6.5,6.625,6.625,1800
1980-03-19,6.75,6.75,6.625,6.75,6.75,800
1980-03-20,6.625,6.625,6.625,6.625,6.625,100
1980-03-21,6.875,6.875,6.875,6.875,6.875,200
1980-03-24,6.5,6.75,6.5,6.5,6.5,600
1980-03-25,6.25,6.5,6.25,6.25,6.25,1000
1980-03-26,6.25,6.25,6.125,6.25,6.25,1300
1980-03-27,5.875,6.125,5.875,5.875,5.875,5000
1980-03-28,6.25,6.25,6.125,6.25,6.25,600
1980-03-31,6.25,6.25,6.125,6.25,6.25,400
1980-04-01,6.375,6.375,6.25,6.375,6.375,600
1980-04-02,6.625,6.625,6.625,6.625,6.625,200
1980-04-03,6.625,6.625,6.625,6.625,6.625,100
1980-04-07,6.25,6.625,6.25,6.25,6.25,1100
1980-04-08,6.5,6.5,6.5,6.5,6.5,1200
1980-04-09,6.5,6.5,6.5,6.5,6.5,500
1980-04-10,6.75,6.75,6.75,6.75,6.75,100
1980-04-11,6.75,6.75,6.75,6.75,6.75,1400
1980-04-14,6.375,6.625,6.375,6.375,6.375,900
1980-04-15,6.625,6.625,6.375,6.625,6.625,300
1980-04-16,6.625,6.625,6.625,6.625,6.625,700
1980-04-17,6.375,6.625,6.375,6.375,6.375,2400
1980-04-18,6.375,6.375,6.375,6.375,6.375,12400
1980-04-21,6.25,6.25,6.25,6.25,6.25,200
1980-04-22,6.75,6.75,6.5,6.75,6.75,800
1980-04-23,6.75,6.875,6.75,6.75,6.75,300
1980-04-25,6.875,6.875,6.75,6.875,6.875,1100
1980-04-28,6.875,6.875,6.875,6.875,6.875,100
1980-04-29,7,7,6.875,7,7,300
1980-05-01,6.875,6.875,6.875,6.875,6.875,100
1980-05-02,6.875,6.875,6.875,6.875,6.875,900
1980-05-05,6.875,6.875,6.875,6.875,6.875,100
1980-05-06,6.75,6.875,6.75,6.75,6.75,1400
1980-05-07,6.625,6.625,6.625,6.625,6.625,100
1980-05-08,6.75,6.75,6.75,6.75,6.75,500
1980-05-09,6.625,6.625,6.625,6.625,6.625,100
1980-05-12,6.75,6.75,6.75,6.75,6.75,200
1980-05-13,6.875,6.875,6.625,6.875,6.875,1700
1980-05-14,6.875,7,6.875,6.875,6.875,200
1980-05-15,6.875,6.875,6.75,6.875,6.875,900
1980-05-16,7,7.125,6.75,7,7,3900
1980-05-19,7.125,7.125,7,7.125,7.125,1500
1980-05-20,7.25,7.25,7,7.25,7.25,700
1980-05-22,7.375,7.5,7.125,7.375,7.375,2800
1980-05-23,7.5,7.5,7.5,7.5,7.5,500
1980-05-27,7.5,7.5,7.5,7.5,7.5,500
1980-05-29,7.375,7.375,7.375,7.375,7.375,100
1980-05-30,7.25,7.375,7.25,7.25,7.25,500
1980-06-02,7.125,7.25,7.125,7.125,7.125,300
1980-06-03,7.375,7.375,7.375,7.375,7.375,200
1980-06-04,7.5,7.5,7.5,7.5,7.5,1000
1980-06-05,7.5,7.5,7.5,7.5,7.5,1300
1980-06-06,7.5,7.5,7.5,7.5,7.5,100
1980-06-09,7.5,7.5,7.375,7.5,7.5,1700
1980-06-10,7.375,7.375,7.25,7.375,7.375,1300
1980-06-11,7.5,7.5,7.375,7.5,7.5,500
1980-06-13,7.5,7.5,7.375,7.5,7.5,2300
1980-06-16,7.5,7.5,7.25,7.5,7.5,4300
1980-06-17,7.625,7.625,7.5,7.625,7.625,400
1980-06-18,7.5,7.625,7.5,7.5,7.5,600
1980-06-19,7.5,7.5,7.5,7.5,7.5,800
1980-06-23,7.75,7.875,7.625,7.75,7.75,1200
1980-06-24,7.875,8,7.875,7.875,7.875,3400
1980-06-25,8,8,7.75,8,8,2400
1980-06-26,8,8,8,8,8,2300
1980-06-27,8.25,8.25,8,8.25,8.25,700
1980-06-30,8,8.125,8,8,8,800
1980-07-01,8.125,8.125,8.125,8.125,8.125,700
1980-07-02,8,8,8,8,8,3500
1980-07-07,8.25,8.25,8.25,8.25,8.25,200
1980-07-08,8,8,8,8,8,1800
1980-07-09,8,8,7.875,8,8,600
1980-07-11,8.125,8.125,8,8.125,8.125,500
1980-07-14,8.25,8.25,8.25,8.25,8.25,100
1980-07-15,7.875,8,7.875,7.875,7.875,1400
1980-07-16,7.875,8.125,7.875,7.875,7.875,1000
1980-07-17,8,8,7.875,8,8,400
1980-07-18,7.875,8,7.875,7.875,7.875,800
1980-07-21,8,8,7.875,8,8,16500
1980-07-22,7.875,8,7.875,7.875,7.875,1600
1980-07-23,7.875,7.875,7.875,7.875,7.875,16500
1980-07-24,8,8,7.875,8,8,900
1980-07-25,7.875,8,7.875,7.875,7.875,200
1980-07-28,7.875,7.875,7.875,7.875,7.875,300
1980-07-29,8,8.25,8,8,8,1900
1980-07-30,8,8,8,8,8,2600
1980-07-31,8.125,8.125,8,8.125,8.125,500
1980-08-01,8,8,8,8,8,700
1980-08-04,8,8.125,8,8,8,2600
1980-08-05,7.5,7.5,7.5,7.5,7.5,2500
1980-08-06,7.75,7.75,7.75,7.75,7.75,300
1980-08-07,7.75,7.875,7.75,7.75,7.75,200
1980-08-08,8,8,7.75,8,8,1100
1980-08-11,8,8.125,8,8,8,1200
1980-08-12,7.875,8,7.875,7.875,7.875,1100
1980-08-13,7.75,7.75,7.75,7.75,7.75,1100
1980-08-14,8,8,7.875,8,8,500
1980-08-15,8.125,8.125,8,8.125,8.125,1900
1980-08-18,8.125,8.125,8,8.125,8.125,2800
1980-08-19,8,8,8,8,8,400
1980-08-20,8,8,8,8,8,1400
1980-08-21,8.125,8.25,8,8.125,8.125,5900
1980-08-22,8.5,8.5,8.375,8.5,8.5,1300
1980-08-25,8.375,8.625,8.375,8.375,8.375,3500
