,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,15.91,15.95,15.91,15.81,15.6172,163251
1,2021-06-11,15.9,15.99,15.97,15.74,15.7752,97141
2,2021-06-14,16.02,16.14,16.14,15.95,15.9432,115393
3,2021-06-15,16.13,16.15,16.06,15.99,15.8641,114183
4,2021-06-16,16.12,16.14,16.13,15.85,15.9333,171563
5,2021-06-17,16.12,16.2,16.12,16.04,15.9234,122444
6,2021-06-18,16.11,16.17,16.08,16.0301,15.8839,217734
7,2021-06-21,16.1,16.19,16.16,16.04,15.9629,147168
8,2021-06-22,16.18,16.184,16.14,16.1,15.9432,102831
9,2021-06-23,16.13,16.2,16.17,16.125,15.9728,83207
10,2021-06-24,16.17,16.34,16.275,16.17,16.0765,160414
11,2021-06-25,16.31,16.35,16.24,16.24,16.042,111253
12,2021-06-28,16.32,16.34,16.33,16.27,16.1309,108394
13,2021-06-29,16.31,16.38,16.305,16.25,16.1062,122358
14,2021-06-30,16.31,16.37,16.32,16.26,16.121,106184
15,2021-07-01,16.34,16.45,16.37,16.34,16.1704,167352
16,2021-07-02,16.4,16.47,16.44,16.39,16.2395,123129
17,2021-07-06,16.48,16.48,16.455,16.36,16.2543,135424
18,2021-07-07,16.45,16.49,16.4,16.38,16.2,102871
19,2021-07-08,16.3,16.32,16.27,16.14,16.0716,140596
20,2021-07-09,16.31,16.42,16.32,16.3,16.121,101697
21,2021-07-12,16.32,16.39,16.38,16.28,16.28,111171
22,2021-07-13,16.33,16.4,16.19,16.19,16.0912,126368
23,2021-07-14,16.26,16.29,16.03,16.01,15.9321,151435
24,2021-07-15,16.07,16.07,15.86,15.8,15.7632,159191
25,2021-07-16,15.84,15.8724,15.55,15.55,15.4551,190714
26,2021-07-19,15.43,15.43,15.15,15.1,15.0575,269645
27,2021-07-20,15.25,15.49,15.42,15.165,15.3259,198563
28,2021-07-21,15.53,15.692,15.62,15.52,15.5246,139824
29,2021-07-22,15.7,15.7,15.56,15.56,15.465,102108
30,2021-07-23,15.67,15.7795,15.68,15.5858,15.5843,194771
31,2021-07-26,15.72,15.9,15.89,15.68,15.793,116795
32,2021-07-27,15.91,15.91,15.77,15.52,15.6737,143654
33,2021-07-28,15.83,15.9799,15.92,15.78,15.8228,100340
34,2021-07-29,15.92,16.11,15.99,15.92,15.8924,113871
35,2021-07-30,15.9,16.0,15.91,15.88,15.8129,103904
36,2021-08-02,16.01,16.13,15.94,15.88,15.8427,184436
37,2021-08-03,15.91,15.97,15.955,15.86,15.8576,101619
38,2021-08-04,15.99,16.14,16.14,15.95,16.0415,91947
39,2021-08-05,16.15,16.37,16.35,16.1,16.2502,121723
40,2021-08-06,16.38,16.39,16.36,16.32,16.2601,59742
41,2021-08-09,16.35,16.3956,16.38,16.32,16.28,99412
42,2021-08-10,16.44,16.4699,16.35,16.31,16.2502,148664
43,2021-08-11,16.4,16.4496,16.38,16.34,16.28,93824
44,2021-08-12,16.33,16.33,16.22,16.2,16.22,91432
45,2021-08-13,16.26,16.26,16.18,16.17,16.18,86668
46,2021-08-16,16.16,16.16,16.02,15.95,16.02,123222
47,2021-08-17,16.01,16.02,15.94,15.89,15.94,154352
48,2021-08-18,15.88,16.03,15.92,15.84,15.92,102389
49,2021-08-19,15.89,15.955,15.85,15.81,15.85,107430
50,2021-08-20,15.92,16.08,16.08,15.81,16.08,111135
51,2021-08-23,16.04,16.25,16.22,16.03,16.22,115208
52,2021-08-24,16.26,16.33,16.31,16.22,16.31,107843
53,2021-08-25,16.35,16.39,16.35,16.26,16.35,78020
54,2021-08-26,16.38,16.38,16.2,16.17,16.2,100942
55,2021-08-27,16.19,16.31,16.23,16.16,16.23,138300
56,2021-08-30,16.23,16.28,16.17,16.17,16.17,107600
57,2021-08-31,16.22,16.22,16.17,16.14,16.17,94400
58,2021-09-01,16.17,16.3,16.25,16.17,16.25,93100
59,2021-09-02,16.31,16.34,16.28,16.23,16.28,77400
60,2021-09-03,16.23,16.35,16.28,16.21,16.28,98200
61,2021-09-07,16.28,16.37,16.33,16.2,16.33,113328
