,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,1.64,1.65,1.61,1.59,1.61,676200
1,2021-06-11,1.62,1.64,1.62,1.61,1.62,307400
2,2021-06-14,1.64,1.68,1.67,1.62,1.67,687900
3,2021-06-15,1.67,1.67,1.61,1.57,1.61,725500
4,2021-06-16,1.6,1.61,1.57,1.56,1.57,578500
5,2021-06-17,1.58,1.63,1.59,1.58,1.59,332500
6,2021-06-18,1.57,1.61,1.56,1.55,1.56,377500
7,2021-06-21,1.59,1.6,1.56,1.53,1.56,742700
8,2021-06-22,1.62,1.62,1.55,1.52,1.55,829900
9,2021-06-23,1.56,1.6,1.57,1.54,1.57,389200
10,2021-06-24,1.56,1.6,1.57,1.56,1.57,362400
11,2021-06-25,1.58,1.64,1.64,1.56,1.64,789600
12,2021-06-28,1.64,1.66,1.64,1.6,1.64,738700
13,2021-06-29,1.63,1.64,1.61,1.6,1.61,461300
14,2021-06-30,1.62,1.62,1.61,1.57,1.61,450100
15,2021-07-01,1.59,1.6,1.57,1.57,1.57,282200
16,2021-07-02,1.59,1.59,1.53,1.5,1.53,859300
17,2021-07-06,1.54,1.54,1.52,1.51,1.52,531100
18,2021-07-07,1.51,1.52,1.48,1.46,1.48,620400
19,2021-07-08,1.45,1.48,1.48,1.42,1.48,357100
20,2021-07-09,1.48,1.51,1.5,1.46,1.5,315900
21,2021-07-12,1.53,1.53,1.52,1.49,1.52,249300
22,2021-07-13,1.51,1.52,1.49,1.47,1.49,363200
23,2021-07-14,1.52,1.52,1.45,1.44,1.45,489900
24,2021-07-15,1.43,1.44,1.41,1.4,1.41,369900
25,2021-07-16,1.41,1.44,1.4,1.39,1.4,292200
26,2021-07-19,1.38,1.4,1.38,1.35,1.38,406200
27,2021-07-20,1.44,1.44,1.4,1.38,1.4,295400
28,2021-07-21,1.39,1.44,1.42,1.39,1.42,333900
29,2021-07-22,1.43,1.44,1.4,1.38,1.4,277600
30,2021-07-23,1.39,1.41,1.38,1.35,1.38,460600
31,2021-07-26,1.4,1.4,1.4,1.36,1.4,410900
32,2021-07-27,1.38,1.38,1.35,1.32,1.35,331400
33,2021-07-28,1.35,1.38,1.36,1.33,1.36,245800
34,2021-07-29,1.37,1.38,1.35,1.35,1.35,204200
35,2021-07-30,1.35,1.37,1.33,1.33,1.33,198300
36,2021-08-02,1.33,1.36,1.35,1.33,1.35,272200
37,2021-08-03,1.34,1.36,1.33,1.32,1.33,228200
38,2021-08-04,1.33,1.34,1.27,1.26,1.27,710800
39,2021-08-05,1.27,1.33,1.29,1.27,1.29,323900
40,2021-08-06,1.26,1.31,1.27,1.26,1.27,320200
41,2021-08-09,1.28,1.32,1.32,1.27,1.32,171600
42,2021-08-10,1.32,1.33,1.31,1.29,1.31,251300
43,2021-08-11,1.32,1.33,1.31,1.28,1.31,159300
44,2021-08-12,1.3,1.3,1.28,1.27,1.28,219700
45,2021-08-13,1.28,1.32,1.28,1.24,1.28,545900
46,2021-08-16,1.28,1.28,1.2,1.2,1.2,350600
47,2021-08-17,1.2,1.21,1.19,1.15,1.19,546700
48,2021-08-18,1.21,1.22,1.2,1.17,1.2,294100
49,2021-08-19,1.18,1.2,1.15,1.15,1.15,423200
50,2021-08-20,1.15,1.17,1.16,1.15,1.16,211300
51,2021-08-23,1.17,1.23,1.2,1.16,1.2,263500
52,2021-08-24,1.22,1.26,1.26,1.2,1.26,322400
53,2021-08-25,1.26,1.3,1.29,1.24,1.29,149700
54,2021-08-26,1.28,1.31,1.23,1.21,1.23,366200
55,2021-08-27,1.23,1.32,1.3,1.23,1.3,253800
56,2021-08-30,1.26,1.3,1.27,1.26,1.27,106200
57,2021-08-31,1.27,1.32,1.31,1.27,1.31,198500
58,2021-09-01,1.3,1.34,1.28,1.28,1.28,276000
59,2021-09-02,1.3,1.3,1.28,1.27,1.28,276000
60,2021-09-03,1.28,1.28,1.26,1.26,1.26,195600
61,2021-09-07,1.26,1.27,1.25,1.2334,1.25,282079
