,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,1.48,1.48,1.46,1.42,1.46,607400
1,2021-06-11,1.47,1.47,1.41,1.4,1.41,749900
2,2021-06-14,1.41,1.43,1.37,1.33,1.37,931500
3,2021-06-15,1.34,1.36,1.31,1.31,1.31,789700
4,2021-06-16,1.3,1.33,1.27,1.27,1.27,946300
5,2021-06-17,1.26,1.34,1.31,1.26,1.31,588100
6,2021-06-18,1.33,1.33,1.27,1.27,1.27,535300
7,2021-06-21,1.26,1.3,1.24,1.24,1.24,827200
8,2021-06-22,1.25,1.26,1.18,1.17,1.18,891300
9,2021-06-23,1.25,1.25,1.22,1.2,1.22,991400
10,2021-06-24,1.22,1.25,1.23,1.21,1.23,663400
11,2021-06-25,1.2,1.27,1.27,1.2,1.27,1270500
12,2021-06-28,1.26,1.32,1.3,1.25,1.3,626921
13,2021-06-29,1.32,1.32,1.25,1.23,1.25,393255
14,2021-06-30,1.23,1.24,1.19,1.17,1.19,732390
15,2021-07-01,1.2,1.21,1.17,1.17,1.17,455900
16,2021-07-02,1.22,1.31,1.24,1.17,1.24,2516000
17,2021-07-06,1.25,1.25,1.17,1.16,1.17,1148900
18,2021-07-07,1.15,1.17,1.13,1.1,1.13,1654500
19,2021-07-08,1.12,1.13,1.11,1.08,1.11,2005800
20,2021-07-09,1.11,1.17,1.17,1.09,1.17,1169500
21,2021-07-12,1.2,1.22,1.15,1.11,1.15,2921100
22,2021-07-13,1.12,1.16,1.11,1.09,1.11,1724400
23,2021-07-14,1.15,1.15,1.09,1.07,1.09,1342100
24,2021-07-15,1.07,1.1,1.05,1.02,1.05,2182900
25,2021-07-16,1.02,1.12,1.09,1.02,1.09,684500
26,2021-07-19,1.09,1.09,1.05,1.02,1.05,1465200
27,2021-07-20,1.04,1.08,1.02,1.02,1.02,1204800
28,2021-07-21,1.04,1.15,1.13,1.02,1.13,967200
29,2021-07-22,1.11,1.14,1.09,1.08,1.09,601000
30,2021-07-23,1.1,1.15,1.12,1.08,1.12,692900
31,2021-07-26,1.14,1.14,1.09,1.09,1.09,605100
32,2021-07-27,1.08,1.1,1.08,1.05,1.08,450600
33,2021-07-28,1.08,1.15,1.12,1.07,1.12,549000
34,2021-07-29,1.12,1.14,1.13,1.1,1.13,392500
35,2021-07-30,1.14,1.14,1.09,1.07,1.09,243600
36,2021-08-02,1.08,1.1,1.06,1.05,1.06,731600
37,2021-08-03,1.07,1.08,1.05,1.03,1.05,467800
38,2021-08-04,1.03,1.05,1.03,1.01,1.03,1166000
39,2021-08-05,1.03,1.06,1.02,1.02,1.02,1074100
40,2021-08-06,1.02,1.04,1.03,1.02,1.03,568200
41,2021-08-09,1.02,1.06,1.01,1.01,1.01,943500
42,2021-08-10,1.02,1.04,0.98,0.96,0.98,1306300
43,2021-08-11,0.97,0.99,0.9,0.88,0.9,1886200
44,2021-08-12,0.92,0.92,0.86,0.84,0.86,1756200
45,2021-08-13,0.86,0.88,0.87,0.84,0.87,949400
46,2021-08-16,0.87,0.93,0.9,0.85,0.9,1672700
47,2021-08-17,0.87,0.91,0.88,0.85,0.88,656100
48,2021-08-18,0.88,0.89,0.87,0.85,0.87,1436600
49,2021-08-19,0.84,0.87,0.82,0.82,0.82,1282300
50,2021-08-20,0.84,0.86,0.82,0.81,0.82,1425600
51,2021-08-23,0.82,0.9,0.88,0.82,0.88,1114200
52,2021-08-24,0.88,0.96,0.94,0.88,0.94,896700
53,2021-08-25,0.93,0.99,0.97,0.92,0.97,378500
54,2021-08-26,0.97,0.99,0.97,0.94,0.97,226800
55,2021-08-27,0.97,1.0,0.97,0.93,0.97,499000
56,2021-08-30,0.96,0.98,0.95,0.95,0.95,186300
57,2021-08-31,0.95,1.02,1.02,0.95,1.02,576600
58,2021-09-01,1.02,1.06,1.06,1.01,1.06,929000
59,2021-09-02,1.04,1.09,1.03,1.02,1.03,498800
60,2021-09-03,1.04,1.05,1.03,1.02,1.03,433800
61,2021-09-07,1.04,1.0649,1.04,1.02,1.04,1375235
