,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,31.14,31.58,31.57,30.981,31.57,2100
1,2021-06-11,31.5,31.5,31.364,31.175,31.364,5400
2,2021-06-14,31.33,31.33,31.3292,31.201,31.3292,1693
3,2021-06-15,30.94,31.12,30.62,30.62,30.62,6487
4,2021-06-16,30.925,31.0,30.284,30.284,30.284,2000
5,2021-06-17,30.46,31.13,31.093,30.46,31.093,9900
6,2021-06-18,30.7,30.7,30.485,30.485,30.485,1300
7,2021-06-21,30.57,31.175,31.057,30.57,31.057,5600
8,2021-06-22,30.87,30.938,30.728,30.722,30.728,3200
9,2021-06-23,31.05,31.06,31.06,30.84,31.06,5800
10,2021-06-24,31.55,31.787,31.72,31.55,31.72,5400
11,2021-06-25,31.79,31.915,31.901,31.53,31.901,3000
12,2021-06-28,32.06,32.51,32.085,32.0,32.085,8300
13,2021-06-29,31.81,31.81,31.592,31.5,31.592,800
14,2021-06-30,31.6,32.142,31.885,31.6,31.885,6000
15,2021-07-01,32.33,32.5,32.5,32.33,32.5,800
16,2021-07-02,32.83,32.99,32.25,32.14,32.25,3000
17,2021-07-06,32.19,32.27,31.44,31.38,31.44,3600
18,2021-07-07,31.45,31.45,30.967,30.69,30.967,2600
19,2021-07-08,30.41,30.98,30.9,30.41,30.9,2800
20,2021-07-09,30.9,31.384,31.37,30.9,31.37,7000
21,2021-07-12,31.23,31.23,31.0,31.0,31.0,1600
22,2021-07-13,30.99,30.99,30.48,30.48,30.48,1000
23,2021-07-14,30.35,30.35,29.588,29.57,29.588,4300
24,2021-07-15,29.5,29.5,29.5,29.5,29.5,600
25,2021-07-16,29.56,29.9,29.639,29.56,29.639,2900
26,2021-07-19,29.19,29.77,29.768,29.19,29.768,8100
27,2021-07-20,29.48,30.28,30.28,29.48,30.28,2600
28,2021-07-21,30.08,30.602,30.5,30.08,30.5,6000
29,2021-07-22,30.364,30.67,30.662,30.29,30.662,2500
30,2021-07-23,30.58,30.58,30.2,30.12,30.2,2300
31,2021-07-26,29.585,29.59,29.221,29.221,29.221,4600
32,2021-07-27,29.0,29.0,28.727,28.27,28.727,5500
33,2021-07-28,28.83,29.98,29.98,28.83,29.98,2200
34,2021-07-29,29.98,29.98,29.65,29.65,29.65,1600
35,2021-07-30,29.65,29.65,29.65,29.65,29.65,0
36,2021-08-02,29.28,29.36,29.26,29.13,29.26,1600
37,2021-08-03,29.29,29.33,29.33,28.902,29.33,14800
38,2021-08-04,29.22,29.565,29.45,29.22,29.45,1300
39,2021-08-05,29.68,30.161,30.161,29.68,30.161,1400
40,2021-08-06,29.75,29.75,29.5,29.5,29.5,800
41,2021-08-09,29.48,29.53,29.35,29.07,29.35,2200
42,2021-08-10,29.66,29.66,29.29,29.0,29.29,6400
43,2021-08-11,28.8,28.8,28.8,28.61,28.8,3200
44,2021-08-12,28.7,28.85,28.85,28.636,28.85,4500
45,2021-08-13,28.77,28.77,28.77,28.77,28.77,1400
46,2021-08-16,28.22,28.5,28.28,28.2,28.28,6600
47,2021-08-17,28.06,28.13,28.13,27.972,28.13,1200
48,2021-08-18,28.39,28.631,28.631,28.39,28.631,4400
49,2021-08-19,27.699,27.71,27.45,27.45,27.45,2200
50,2021-08-20,27.28,27.901,27.76,27.28,27.76,7500
51,2021-08-23,28.73,30.42,30.17,28.73,30.17,59000
52,2021-08-24,30.33,30.33,30.2,29.91,30.2,1800
53,2021-08-25,30.0,30.313,30.313,29.954,30.313,4700
54,2021-08-26,30.5,30.5,29.952,29.94,29.952,4200
55,2021-08-27,30.02,30.705,30.6,30.02,30.6,1100
56,2021-08-30,30.43,30.69,30.627,30.43,30.627,1100
57,2021-08-31,30.58,30.6,30.56,30.531,30.56,4100
58,2021-09-01,30.69,31.25,31.13,30.58,31.13,18000
59,2021-09-02,31.41,31.48,31.48,31.41,31.48,2200
60,2021-09-03,31.7,31.7,31.293,31.293,31.293,1500
61,2021-09-07,31.3,31.3,31.08,31.01,31.08,2507
