,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,25.57,25.635,24.72,24.69,24.72,1257235
1,2021-06-11,24.76,25.03,24.77,24.685,24.77,836124
2,2021-06-14,24.67,24.98,24.41,24.21,24.41,939203
3,2021-06-15,24.46,24.99,24.75,24.405,24.75,1769255
4,2021-06-16,24.59,24.87,24.75,24.41,24.75,1416123
5,2021-06-17,24.87,24.88,23.53,23.39,23.53,1188711
6,2021-06-18,23.11,23.3,22.59,22.56,22.59,3186254
7,2021-06-21,22.88,23.39,23.26,22.87,23.26,833013
8,2021-06-22,23.16,23.4025,23.3,22.92,23.3,1062355
9,2021-06-23,23.32,23.519,23.36,23.25,23.36,909798
10,2021-06-24,23.42,23.68,23.62,23.275,23.62,868413
11,2021-06-25,23.73,24.175,23.89,23.67,23.89,2743022
12,2021-06-28,23.8,23.82,23.63,23.38,23.63,885625
13,2021-06-29,23.88,24.0,23.42,23.4,23.42,734542
14,2021-06-30,23.34,23.72,23.62,23.34,23.62,971090
15,2021-07-01,23.85,23.92,23.81,23.62,23.81,1056074
16,2021-07-02,23.84,23.88,23.74,23.665,23.74,617009
17,2021-07-06,23.76,23.79,23.35,23.18,23.35,1693940
18,2021-07-07,23.15,23.62,23.52,23.0901,23.52,1205073
19,2021-07-08,22.91,22.99,22.52,22.41,22.52,1311057
20,2021-07-09,23.04,23.52,23.45,23.02,23.45,727199
21,2021-07-12,23.15,23.72,23.7,23.05,23.7,631712
22,2021-07-13,23.54,23.69,23.28,23.175,23.28,886005
23,2021-07-14,23.41,23.69,23.08,23.01,23.08,674893
24,2021-07-15,22.78,23.345,23.16,22.78,23.16,835965
25,2021-07-16,23.41,23.45,22.86,22.81,22.86,721638
26,2021-07-19,22.25,22.37,22.11,21.88,22.11,922746
27,2021-07-20,22.19,23.0,22.72,22.08,22.72,1281666
28,2021-07-21,23.1,23.535,23.02,22.92,23.02,732044
29,2021-07-22,22.96,22.96,22.61,22.505,22.61,617131
30,2021-07-23,22.91,23.04,22.71,22.63,22.71,486719
31,2021-07-26,22.84,23.16,23.01,22.8,23.01,433589
32,2021-07-27,22.69,23.05,22.82,22.61,22.82,637851
33,2021-07-28,22.92,23.11,22.84,22.46,22.84,705496
34,2021-07-29,23.18,23.71,22.96,22.74,22.96,1102189
35,2021-07-30,22.96,23.3,22.84,22.78,22.84,780387
36,2021-08-02,22.92,23.44,22.59,22.56,22.59,647792
37,2021-08-03,22.81,23.01,22.8,22.27,22.8,556756
38,2021-08-04,22.44,22.77,22.31,22.25,22.31,717230
39,2021-08-05,22.55,22.85,22.81,22.51,22.81,831412
40,2021-08-06,23.22,23.53,23.11,23.095,23.11,952791
41,2021-08-09,23.02,23.21,23.0,22.73,23.0,575400
42,2021-08-10,22.93,23.49,23.36,22.87,23.36,607100
43,2021-08-11,23.34,23.9,23.88,23.18,23.88,670800
44,2021-08-12,24.0,24.01,23.69,23.59,23.69,694100
45,2021-08-13,23.65,23.82,23.67,23.56,23.67,585900
46,2021-08-16,23.46,23.8,23.52,23.31,23.52,600600
47,2021-08-17,23.18,23.57,23.53,23.15,23.53,743000
48,2021-08-18,23.47,23.8,23.45,23.37,23.45,803400
49,2021-08-19,23.22,23.64,23.22,23.05,23.22,770000
50,2021-08-20,23.06,23.79,23.74,23.06,23.74,824300
51,2021-08-23,23.94,24.1,23.99,23.8,23.99,678310
52,2021-08-24,24.09,24.49,24.41,24.025,24.41,677255
53,2021-08-25,24.51,24.91,24.55,24.27,24.55,680400
54,2021-08-26,24.62,24.73,24.26,24.26,24.26,571300
55,2021-08-27,24.34,24.86,24.81,24.34,24.81,722000
56,2021-08-30,24.86,24.86,24.56,24.44,24.56,794400
57,2021-08-31,24.61,24.77,24.46,24.38,24.46,689200
58,2021-09-01,24.56,24.71,24.1,24.09,24.1,1125100
59,2021-09-02,24.29,24.29,23.98,23.84,23.98,909900
60,2021-09-03,23.88,24.07,23.72,23.56,23.72,633000
61,2021-09-07,23.67,23.94,23.59,23.56,23.59,632928
