Date,Open,High,Low,Close,AdjustedClose,Volume
2021-02-24,10.81,10.9,10.5,10.52,10.52,11746892
2021-02-25,10.5,10.57,10.4,10.44,10.44,2055800
2021-02-26,10.4,10.42,10.2,10.34,10.34,1443800
2021-03-01,10.5,10.5,10.32,10.32,10.32,656600
2021-03-02,10.44,10.49,10.11,10.2,10.2,379500
2021-03-03,10.35,10.35,10.1,10.15,10.15,574600
2021-03-04,10.2,10.2,10.01,10.18,10.18,603300
2021-03-05,10.24,10.33,10.1,10.25,10.25,122800
2021-03-08,10.185,10.25,10.1,10.15,10.15,335500
2021-03-09,10.13,10.88,10.13,10.37,10.37,3087700
2021-03-10,10.59,10.6,10.38,10.39,10.39,733000
2021-03-11,10.57,10.61,10.4,10.47,10.47,256200
2021-03-12,10.5,10.5,10.32,10.35,10.35,319800
2021-03-15,10.49,10.49,10.3,10.3,10.3,153700
2021-03-16,10.48,10.486,10.25,10.25,10.25,85600
2021-03-17,10.35,10.35,10,10.05,10.05,535000
2021-03-18,10.08,10.29,10.08,10.15,10.15,60600
2021-03-19,10.2,10.2,10.1,10.2,10.2,61100
2021-03-22,10.27,10.3,10.13,10.15,10.15,53100
2021-03-23,10.18,10.19,9.99,9.99,9.99,797600
2021-03-24,10.14,10.15,9.99,10,10,88500
2021-03-25,9.96,10,9.82,9.9,9.9,192200
2021-03-26,10,10.07,9.99,10.04,10.04,34500
2021-03-29,10.11,10.133,10,10.06,10.06,172400
2021-03-30,9.97,10.1,9.96,10,10,117400
2021-03-31,10.05,10.12,10.05,10.1,10.1,48300
2021-04-01,10.14,10.15,10.107,10.13,10.13,16000
2021-04-05,10.2,10.2,10.06,10.09,10.09,82300
2021-04-06,10.13,10.2,10.098,10.189,10.189,13000
2021-04-07,10.18,10.21,10.18,10.205,10.205,18400
2021-04-08,10.17,10.22,10.17,10.2,10.2,10700
2021-04-09,10.18,10.22,10.13,10.21,10.21,5800
2021-04-12,10.15,10.236,10.15,10.15,10.15,7100
2021-04-13,10.18,10.223,10.07,10.08,10.08,31900
2021-04-14,10.18,10.217,10.1,10.164,10.164,18600
2021-04-15,10.24,10.25,10.101,10.16,10.16,17400
2021-04-16,10.16,10.25,10.1,10.128,10.128,67300
2021-04-19,10.1,10.12,10.095,10.11,10.11,41800
2021-04-20,10.13,10.15,10,10.1,10.1,72200
2021-04-21,10.08,10.1,10.05,10.07,10.07,64400
2021-04-22,10.07,10.075,10,10.03,10.03,72400
2021-04-23,10.01,10.05,10.01,10.01,10.01,30000
2021-04-26,10.09,10.09,9.97,10.03,10.03,196500
2021-04-27,10.05,10.05,10,10.045,10.045,26900
2021-04-28,10.05,10.07,10.03,10.05,10.05,58700
2021-04-29,10.05,10.13,10.05,10.06,10.06,36200
2021-04-30,10.06,10.08,10.05,10.08,10.08,13300
2021-05-03,10.22,10.22,10.05,10.05,10.05,60800
2021-05-04,10.05,10.06,10.03,10.04,10.04,60000
2021-05-05,10.034,10.06,10.02,10.05,10.05,41700
2021-05-06,10.02,10.12,10.02,10.08,10.08,46700
2021-05-07,10.07,10.077,10.01,10.05,10.05,106800
2021-05-10,10.05,10.08,10.03,10.05,10.05,17500
2021-05-11,10.02,10.081,10.02,10.07,10.07,25200
2021-05-12,10.05,10.07,10.02,10.02,10.02,15500
2021-05-13,10,10.03,10,10.03,10.03,106900
2021-05-14,10.05,10.05,10,10.02,10.02,12800
2021-05-17,10,10.008,9.97,9.99,9.99,214300
2021-05-18,9.95,10.01,9.95,10,10,113700
2021-05-19,10,10.01,9.92,10,10,138500
2021-05-20,10,10.04,10,10.02,10.02,19600
2021-05-21,10,10.04,10,10,10,18500
2021-05-24,9.978,10,9.94,10,10,18200
2021-05-25,9.95,10,9.94,9.98,9.98,118000
2021-05-26,9.94,9.98,9.93,9.95,9.95,24600
2021-05-27,9.95,10,9.94,9.96,9.96,77300
2021-05-28,9.96,10,9.93,9.96,9.96,30300
2021-06-01,9.95,10.09,9.95,10.035,10.035,22400
2021-06-02,9.97,10.1,9.94,10.01,10.01,119200
2021-06-03,10,10.06,9.98,10.02,10.02,50900
2021-06-04,10,10.1,9.96,10.1,10.1,3300
2021-06-07,10.05,10.09,10.02,10.09,10.09,21700
2021-06-08,10.02,10.1,10.02,10.08,10.08,8000
2021-06-09,10.15,10.15,10.07,10.1,10.1,4900
2021-06-10,10.106,10.115,10.1,10.115,10.115,1200
2021-06-11,10.04,10.14,10.04,10.14,10.14,2500
2021-06-14,10.09,10.111,10.09,10.105,10.105,1300
2021-06-15,10.16,10.16,10.05,10.09,10.09,16400
2021-06-16,10.04,10.1,10.03,10.055,10.055,3100
2021-06-17,10.07,10.07,10.009,10.03,10.03,3300
2021-06-18,10.035,10.06,10.02,10.06,10.06,3400
2021-06-21,10,10.03,10,10.03,10.03,1700
2021-06-22,10,10.04,10,10.035,10.035,10100
2021-06-23,10.03,10.04,10.025,10.04,10.04,3500
2021-06-24,10.09,10.1,10.03,10.09,10.09,2100
2021-06-25,10.1,10.13,10.02,10.05,10.05,7900
2021-06-28,9.99,10.05,9.98,10.025,10.025,5300
2021-06-29,10.01,10.04,10,10.04,10.04,4900
2021-06-30,10.04,10.095,10.04,10.071,10.071,6600
2021-07-01,10.06,10.14,10,10.035,10.035,3100
2021-07-02,10.035,10.09,10.035,10.09,10.09,5300
2021-07-06,10,10.09,10,10.02,10.02,2467
2021-07-07,10.02,10.02,10,10.02,10.02,4100
2021-07-08,10,10.065,10,10.065,10.065,400
2021-07-09,10.01,10.053,10.01,10.01,10.01,11700
2021-07-12,10,10.01,10,10.01,10.01,700
2021-07-13,10,10.02,10,10.02,10.02,8700
2021-07-14,10.02,10.02,10,10,10,155200
2021-07-15,10.031,10.035,9.99,10,10,101000
2021-07-16,10.07,10.07,9.99,10.025,10.025,1500
2021-07-19,10.01,10.01,9.93,10,10,22048
