,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,21.22,21.398,21.27,21.0,20.8503,50000
1,2021-06-11,21.49,21.49,21.26,20.01,20.9687,111700
2,2021-06-14,21.32,21.32,20.85,20.8,20.5643,82900
3,2021-06-15,20.96,21.09,20.59,20.515,20.3079,151000
4,2021-06-16,21.2,21.2,20.76,20.76,20.4755,93400
5,2021-06-17,21.19,21.19,20.8,20.67,20.515,67900
6,2021-06-18,20.8,20.927,20.75,20.52,20.4657,66000
7,2021-06-21,20.91,21.0,20.96,20.82,20.6728,39800
8,2021-06-22,20.98,21.2,20.63,20.48,20.3473,95900
9,2021-06-23,20.82,20.82,20.71,20.51,20.4262,91200
10,2021-06-24,20.72,20.88,20.66,20.62,20.3769,58800
11,2021-06-25,20.62,20.96,20.9,20.57,20.6136,55600
12,2021-06-28,21.01,21.1,20.86,20.72,20.5742,46200
13,2021-06-29,20.85,21.05,20.79,20.71,20.5051,62000
14,2021-06-30,20.68,20.98,20.78,20.68,20.4953,62300
15,2021-07-01,20.78,21.06,20.84,20.78,20.5545,39400
16,2021-07-02,20.88,21.027,20.88,20.82,20.5939,42800
17,2021-07-06,20.94,20.94,20.62,20.45,20.3375,86800
18,2021-07-07,20.64,20.79,20.42,20.3,20.1402,64700
19,2021-07-08,20.37,20.5,20.25,20.193,19.9725,52800
20,2021-07-09,20.34,20.541,20.33,20.25,20.0514,101600
21,2021-07-12,20.26,20.55,20.4,20.22,20.26,43200
22,2021-07-13,20.39,20.56,20.45,20.3,20.3097,37700
23,2021-07-14,20.45,20.5,20.38,20.36,20.2401,71700
24,2021-07-15,20.39,20.39,20.24,20.002,20.1011,63200
25,2021-07-16,20.295,20.31,20.0,19.56,19.8627,99100
26,2021-07-19,19.79,20.39,19.53,19.51,19.396,49700
27,2021-07-20,19.72,20.192,19.63,19.52,19.4953,116900
28,2021-07-21,19.75,20.38,19.815,19.66,19.679,48200
29,2021-07-22,19.87,20.23,20.0,19.86,19.8627,28700
30,2021-07-23,20.05,20.24,20.09,19.81,19.9521,36000
31,2021-07-26,20.05,20.11,19.94,19.86,19.8032,56400
32,2021-07-27,19.88,19.997,19.92,19.8,19.7833,90500
33,2021-07-28,19.87,20.04,20.0,19.811,19.8627,78900
34,2021-07-29,20.09,20.18,19.99,19.8,19.8528,45600
35,2021-07-30,20.04,20.15,20.09,20.008,19.9521,37200
36,2021-08-02,20.09,20.385,20.11,19.8,19.972,74600
37,2021-08-03,20.15,20.47,20.27,20.0,20.1309,87500
38,2021-08-04,20.21,20.21,20.04,20.03,19.9025,41700
39,2021-08-05,20.248,20.396,20.1,20.04,19.9621,51400
40,2021-08-06,20.22,20.39,20.21,20.12,20.0713,25200
41,2021-08-09,20.3,20.3,20.2,20.09,20.0614,78800
42,2021-08-10,20.15,20.28,20.27,20.11,20.1309,38100
43,2021-08-11,20.38,20.46,20.4,20.16,20.26,126400
44,2021-08-12,20.24,20.479,20.37,20.15,20.37,33200
45,2021-08-13,20.42,20.54,20.4,20.15,20.4,66600
46,2021-08-16,20.45,20.49,20.37,20.28,20.37,50300
47,2021-08-17,20.38,20.5,20.25,19.942,20.25,83500
48,2021-08-18,20.17,20.44,19.94,19.94,19.94,123000
49,2021-08-19,20.0,20.13,20.13,19.958,20.13,59500
50,2021-08-20,20.19,20.39,19.96,19.94,19.96,59500
51,2021-08-23,19.98,20.12,19.96,19.95,19.96,55500
52,2021-08-24,19.97,20.24,20.09,19.97,20.09,56600
53,2021-08-25,20.16,20.21,20.13,20.1,20.13,66300
54,2021-08-26,20.2,20.21,20.21,20.06,20.21,58300
55,2021-08-27,20.16,20.19,20.16,20.0,20.16,86400
56,2021-08-30,20.15,20.2,20.09,20.07,20.09,60000
57,2021-08-31,20.09,20.2,20.17,20.043,20.17,46200
58,2021-09-01,20.17,20.25,20.25,20.08,20.25,59000
59,2021-09-02,20.25,20.25,20.16,20.05,20.16,69600
60,2021-09-03,20.18,20.242,20.181,20.11,20.181,56500
61,2021-09-07,20.13,20.5,20.3678,20.13,20.3678,80844
