,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,4.05,4.16,3.82,3.82,3.82,48600
1,2021-06-11,3.91,4.24,4.09,3.91,4.09,27600
2,2021-06-14,4.05,4.14,4.0,3.919,4.0,38500
3,2021-06-15,4.04,4.135,3.98,3.9,3.98,51700
4,2021-06-16,3.94,4.15,4.14,3.94,4.14,42800
5,2021-06-17,4.1,4.19,4.19,4.01,4.19,44800
6,2021-06-18,4.11,4.519,4.5,4.11,4.5,169900
7,2021-06-21,4.46,4.51,4.4,4.16,4.4,76600
8,2021-06-22,4.32,4.5,4.5,4.16,4.5,126700
9,2021-06-23,4.47,4.73,4.67,4.43,4.67,114900
10,2021-06-24,4.64,4.7,4.58,4.5,4.58,64700
11,2021-06-25,4.61,4.85,4.75,4.55,4.75,205000
12,2021-06-28,4.75,4.844,4.62,4.59,4.62,65400
13,2021-06-29,4.6,4.72,4.5,4.46,4.5,47700
14,2021-06-30,4.5,4.5,4.23,4.085,4.23,162600
15,2021-07-01,4.23,4.45,4.43,4.19,4.43,79800
16,2021-07-02,4.41,4.62,4.34,4.28,4.34,134300
17,2021-07-06,4.33,4.33,4.03,3.92,4.03,72000
18,2021-07-07,3.94,4.039,3.83,3.8,3.83,125400
19,2021-07-08,3.75,4.284,3.92,3.75,3.92,64000
20,2021-07-09,3.98,3.98,3.95,3.88,3.95,23500
21,2021-07-12,3.913,4.09,4.03,3.913,4.03,21700
22,2021-07-13,4.08,4.08,3.93,3.89,3.93,9800
23,2021-07-14,3.93,3.93,3.81,3.75,3.81,21100
24,2021-07-15,3.8,3.825,3.59,3.52,3.59,42100
25,2021-07-16,3.67,3.92,3.7,3.579,3.7,27400
26,2021-07-19,3.67,3.93,3.82,3.605,3.82,38300
27,2021-07-20,3.82,3.968,3.88,3.78,3.88,145100
28,2021-07-21,3.94,3.95,3.87,3.87,3.87,8800
29,2021-07-22,3.91,4.23,3.91,3.8,3.91,109300
30,2021-07-23,3.947,3.97,3.97,3.81,3.97,14800
31,2021-07-26,3.98,3.98,3.81,3.8,3.81,17000
32,2021-07-27,3.81,3.825,3.55,3.53,3.55,17100
33,2021-07-28,3.65,3.73,3.64,3.58,3.64,51700
34,2021-07-29,3.7,3.7,3.61,3.39,3.61,74300
35,2021-07-30,3.55,3.69,3.69,3.55,3.69,45600
36,2021-08-02,3.71,3.854,3.545,3.44,3.545,21800
37,2021-08-03,3.56,3.593,3.45,3.42,3.45,52900
38,2021-08-04,3.46,3.46,3.33,3.28,3.33,66000
39,2021-08-05,3.4,3.58,3.45,3.4,3.45,83800
40,2021-08-06,3.41,3.48,3.35,3.31,3.35,20900
41,2021-08-09,3.3,3.38,3.26,3.23,3.26,24900
42,2021-08-10,3.22,3.38,3.35,3.22,3.35,35000
43,2021-08-11,3.35,3.36,3.28,3.22,3.28,16200
44,2021-08-12,3.25,3.28,3.22,3.201,3.22,13700
45,2021-08-13,3.15,3.36,3.33,3.15,3.33,21500
46,2021-08-16,3.35,3.35,2.96,2.8,2.96,148100
47,2021-08-17,2.93,3.135,3.02,2.89,3.02,69200
48,2021-08-18,2.98,3.02,2.84,2.8,2.84,54400
49,2021-08-19,2.93,2.93,2.63,2.58,2.63,147500
50,2021-08-20,2.64,3.05,2.76,2.6,2.76,82100
51,2021-08-23,2.75,2.86,2.75,2.65,2.75,27300
52,2021-08-24,2.8,3.0,2.97,2.76,2.97,37100
53,2021-08-25,2.97,3.0,2.83,2.74,2.83,54300
54,2021-08-26,2.84,2.99,2.98,2.84,2.98,31400
55,2021-08-27,2.99,3.15,3.12,2.99,3.12,57200
56,2021-08-30,3.1,3.145,3.08,2.91,3.08,60500
57,2021-08-31,3.01,3.12,3.1,2.944,3.1,52500
58,2021-09-01,3.09,3.307,3.16,2.995,3.16,78700
59,2021-09-02,3.19,3.19,3.12,3.09,3.12,36700
60,2021-09-03,3.12,3.16,3.14,3.058,3.14,38500
61,2021-09-07,3.2,3.22,3.16,3.09,3.16,33953
