,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,24.9,24.95,24.82,24.75,24.5435,19905
1,2021-06-11,25.03,25.17,25.0,24.9,24.7214,18247
2,2021-06-14,24.87,24.975,24.9,24.81,24.6226,23267
3,2021-06-15,25.0,25.2,24.92,24.84,24.6423,32021
4,2021-06-16,24.77,25.17,24.98,24.6,24.7017,36989
5,2021-06-17,25.0312,25.065,24.89,24.29,24.6127,64186
6,2021-06-18,24.42,24.81,24.71,24.4,24.4347,71062
7,2021-06-21,24.74,25.32,25.01,24.74,24.7313,34255
8,2021-06-22,24.99,25.28,25.21,24.79,24.9291,26751
9,2021-06-23,25.22,25.29,25.27,25.07,24.9884,43771
10,2021-06-24,25.29,25.44,25.22,25.14,24.939,32051
11,2021-06-25,25.27,25.27,24.17,24.05,23.9007,281302
12,2021-06-28,24.27,24.86,24.8,24.27,24.5237,50617
13,2021-06-29,24.79,24.87,24.53,24.4,24.2567,22875
14,2021-06-30,24.47,24.89,24.5,24.47,24.227,36593
15,2021-07-01,24.82,24.9282,24.89,24.685,24.6127,21551
16,2021-07-02,24.78,25.13,24.81,24.58,24.5336,25776
17,2021-07-06,24.76,24.79,24.45,24.43,24.1776,39426
18,2021-07-07,24.35,24.76,24.35,24.3,24.0787,35843
19,2021-07-08,24.0,24.5818,24.31,24.0,24.0391,34120
20,2021-07-09,24.67,25.05,24.91,24.67,24.6325,39433
21,2021-07-12,24.7,25.08,25.06,24.7,24.7808,18616
22,2021-07-13,24.97,25.1,24.99,24.93,24.7116,23712
23,2021-07-14,25.0,25.29,25.19,25.0,24.9093,39703
24,2021-07-15,25.2,25.5,25.38,25.07,25.0972,29560
25,2021-07-16,25.5,25.5,25.4,25.1,25.117,25958
26,2021-07-19,25.11,25.14,24.76,24.76,24.4841,33586
27,2021-07-20,24.89,25.48,24.85,24.85,24.5731,49375
28,2021-07-21,24.94,25.27,24.96,24.93,24.6819,23272
29,2021-07-22,25.0,25.18,24.64,24.515,24.3655,33990
30,2021-07-23,24.75,24.945,24.93,24.5,24.6522,33183
31,2021-07-26,24.95,25.18,25.0,24.95,24.7214,14600
32,2021-07-27,24.8,25.07,24.94,24.8,24.6621,19400
33,2021-07-28,24.95,25.29,25.14,24.95,24.8599,19300
34,2021-07-29,25.18,25.42,25.13,25.05,24.85,27000
35,2021-07-30,24.95,25.0,24.7,24.69,24.7,18700
36,2021-08-02,24.95,24.98,24.44,24.35,24.44,27800
37,2021-08-03,24.41,25.08,25.0,24.41,25.0,29700
38,2021-08-04,24.73,24.96,24.72,24.61,24.72,20000
39,2021-08-05,24.82,25.07,25.06,24.74,25.06,22700
40,2021-08-06,25.21,25.45,25.03,24.97,25.03,44900
41,2021-08-09,25.18,25.27,24.96,24.88,24.96,36500
42,2021-08-10,25.05,25.35,25.28,25.0,25.28,27000
43,2021-08-11,25.4,25.41,25.41,25.15,25.41,26600
44,2021-08-12,25.49,25.49,25.3,25.2,25.3,19500
45,2021-08-13,25.43,25.43,25.24,25.16,25.24,22100
46,2021-08-16,25.04,25.1,25.04,24.82,25.04,18600
47,2021-08-17,24.93,25.08,24.98,24.79,24.98,30000
48,2021-08-18,24.99,25.25,24.78,24.73,24.78,18800
49,2021-08-19,24.63,24.9,24.8,24.6,24.8,35800
50,2021-08-20,24.66,25.1,24.96,24.66,24.96,33700
51,2021-08-23,25.03,25.2,25.2,24.93,25.2,13700
52,2021-08-24,25.02,25.15,24.94,24.91,24.94,16500
53,2021-08-25,25.0,25.09,24.93,24.86,24.93,13400
54,2021-08-26,24.93,25.15,24.85,24.85,24.85,27600
55,2021-08-27,25.17,25.69,25.69,25.08,25.69,39000
56,2021-08-30,25.63,25.63,25.14,25.13,25.14,14300
57,2021-08-31,25.28,25.3,25.09,25.06,25.09,16100
58,2021-09-01,25.04,25.21,25.18,24.86,25.18,14200
59,2021-09-02,25.22,25.29,25.09,24.98,25.09,10200
60,2021-09-03,25.05,25.13,25.12,24.93,25.12,11400
61,2021-09-07,25.28,25.33,24.96,24.95,24.96,24886
