Date,Open,High,Low,Close,AdjustedClose,Volume
2006-10-06,21,21.45,20.7,20.85,20.85,478157
2006-10-09,20.83,21.01,20.8,20.92,20.92,21586
2006-10-10,20.92,21.15,20.92,21,21,13457
2006-10-11,21.1,21.15,20.91,20.94,20.94,10643
2006-10-12,20.98,21.06,20.71,20.87,20.87,24543
2006-10-13,20.87,21,20.65,20.78,20.78,16421
2006-10-16,20.78,20.78,20.4,20.64,20.64,76786
2006-10-17,20.69,20.8,20.52,20.54,20.54,5721
2006-10-18,20.54,20.69,20.5,20.5,20.5,15329
2006-10-19,20.5,20.67,20.45,20.6,20.6,13486
2006-10-20,20.55,20.58,20.45,20.45,20.45,3800
2006-10-23,20.45,20.6,20.06,20.14,20.14,35286
2006-10-24,20.25,20.41,20.25,20.3,20.3,24750
2006-10-25,20.2,20.53,20.2,20.31,20.31,8407
2006-10-26,20.25,20.4,20.21,20.3,20.3,4871
2006-10-27,20.2,20.48,20.14,20.3,20.3,1807
2006-10-30,20.3,20.32,20.2,20.26,20.26,6486
2006-10-31,20.25,20.55,20.2,20.55,20.55,2721
2006-11-01,20.5,20.51,20.3,20.3,20.3,6107
2006-11-02,20.3,20.65,20.11,20.52,20.52,10993
2006-11-03,20.27,20.4,20.22,20.3,20.3,6907
2006-11-06,20.21,20.27,20.1,20.2,20.2,8400
2006-11-07,20.15,20.19,20.05,20.19,20.19,4086
2006-11-08,20.12,20.25,20.09,20.1,20.1,8150
2006-11-09,20.05,20.082,19.61,20,20,30786
2006-11-10,20,20.09,20,20.05,20.05,3643
2006-11-13,20.12,20.18,20,20.15,20.15,2993
2006-11-14,20.12,20.25,20.12,20.2,20.2,4050
2006-11-15,20.6,20.85,20.5,20.7,20.7,35893
2006-11-16,20.82,21,20.71,20.82,20.82,25664
2006-11-17,20.93,20.95,20.75,20.82,20.82,9336
2006-11-20,21.07,21.23,20.8,21.11,21.11,7893
2006-11-21,21.36,21.65,21.1,21.54,21.54,8586
2006-11-22,21.65,21.85,21.51,21.82,21.82,6771
2006-11-24,21.92,21.93,21.5,21.88,21.88,3143
2006-11-27,21.9,21.95,21.51,21.8,21.8,7114
2006-11-28,21.8,21.8,21.35,21.74,21.74,8936
2006-11-29,21.8,22,21.77,22,22,6943
2006-11-30,22.15,22.69,22.15,22.42,22.42,10193
2006-12-01,22.4,22.65,22.27,22.4,22.4,7500
2006-12-04,22.4,22.5,22.26,22.27,22.27,8764
2006-12-05,22.27,22.49,22.26,22.42,22.42,2929
2006-12-06,22.42,22.45,22.15,22.38,22.38,3971
2006-12-07,22.43,22.7,22.09,22.58,22.58,4664
2006-12-08,22.5,23.35,22.5,23.2,23.2,4664
2006-12-11,23.25,23.5,22.8,23.5,23.5,7971
2006-12-12,23.45,23.75,23.3,23.75,23.75,9171
2006-12-13,23.65,24,23.59,23.9,23.9,6800
2006-12-14,23.94,24,23.73,23.97,23.97,7100
2006-12-15,24,24.05,23.78,23.99,23.99,1886
2006-12-18,24,24.03,23.25,23.65,23.65,2893
2006-12-19,23.7,24.04,23.65,23.8,23.8,2600
2006-12-20,23.82,23.91,23.7,23.75,23.75,1329
2006-12-21,23.7,24.1,23.7,23.75,23.75,6343
2006-12-22,23.79,24.1,23.7,23.8,23.8,2679
2006-12-26,23.85,23.85,23.58,23.65,23.65,571
2006-12-27,23.7,24.04,23.52,23.88,23.88,4236
2006-12-28,23.95,24,23.81,23.91,23.91,1329
2006-12-29,23.87,24,23.85,23.93,23.93,1171
2007-01-03,23.75,24.105,23.55,23.8,23.8,5686
2007-01-04,23.8,23.93,23.7,23.9,23.9,3079
2007-01-05,23.85,24.1,23.49,23.63,23.63,2079
2007-01-08,23.63,24.12,23.55,23.89,23.89,3429
2007-01-09,23.95,24,23.85,23.9,23.9,2943
2007-01-10,23.9,24,23.63,23.7,23.7,3664
2007-01-11,23.75,23.99,23.7,23.83,23.83,6714
2007-01-12,23.93,24.25,23.87,24.11,24.11,4257
2007-01-16,24,24.5,24,24.32,24.32,3950
2007-01-17,24.33,24.87,24.25,24.82,24.82,4343
2007-01-18,24.87,24.8834,24.56,24.84,24.84,1321
2007-01-19,24.84,24.85,24.5,24.65,24.65,1307
2007-01-22,24.6,24.89,24.55,24.73,24.73,2171
2007-01-23,24.77,25.28,24.6701,25.01,25.01,3471
2007-01-24,25.06,25.55,25,25.23,25.23,6921
2007-01-25,24.8,24.8,24.05,24.24,24.24,5164
2007-01-26,24.25,24.46,23.09,23.8,23.8,10264
2007-01-29,23.95,24.62,23.95,24.22,24.22,3086
2007-01-30,24.27,24.56,24.15,24.25,24.25,3636
2007-01-31,24.2,24.3,24.06,24.15,24.15,3743
2007-02-01,24.18,24.25,23.3914,23.6,23.6,3629
2007-02-02,23.65,24.06,23.6,23.84,23.84,7114
2007-02-05,23.84,24.09,23.5,23.83,23.83,6264
2007-02-06,23.87,24.03,23.55,23.88,23.88,6429
2007-02-07,23.85,24.33,23.25,23.73,23.73,6621
2007-02-08,24.08,24.24,23.41,23.77,23.77,4357
2007-02-09,23.8,23.99,23.51,23.59,23.59,2629
2007-02-12,23.7,23.72,23.2,23.59,23.59,1321
2007-02-13,23.59,24.05,23.51,23.8,23.8,2064
2007-02-14,23.9,24.05,23.77,23.93,23.93,5650
2007-02-15,23.99,24.29,23.86,24.05,24.05,2743
2007-02-16,24.19,24.34,23.91,24.15,24.15,3293
2007-02-20,24.25,24.92,24,24.74,24.74,2793
2007-02-21,24.74,25.13,24.61,24.69,24.69,36214
2007-02-22,24.68,25,24.51,24.97,24.97,3129
2007-02-23,24.97,25.15,24.63,24.74,24.74,3250
2007-02-26,24.73,24.85,24.02,24.4,24.4,2457
2007-02-27,24.25,25.14,21.55,23.25,23.25,24757
2007-02-28,23.2,24,22.09,23.69,23.69,7486
2007-03-01,23.4,24.162,23,24.15,24.15,2957
2007-03-02,24.15,24.5,23.97,24.46,24.46,3000
2007-03-05,24.46,24.46,23.82,24.05,24.05,2750
2007-03-06,24.24,24.3,23.51,23.94,23.94,4021
2007-03-07,24.1,24.3,23.9,24.04,24.04,2343
2007-03-08,24.5,24.5,24,24.09,24.09,2314
2007-03-09,24,24.48,23.9099,24.48,24.48,1864
2007-03-12,24.73,24.86,24.51,24.76,24.76,4564
2007-03-13,24.76,24.89,24.62,24.71,24.71,3421
2007-03-14,24.77,24.77,24.19,24.36,24.36,10693
2007-03-15,24.32,24.6,24.26,24.35,24.35,4964
2007-03-16,24.42,24.44,24,24.44,24.44,936
2007-03-19,24.69,25,24.48,25,25,9114
2007-03-20,24.98,25.78,24.84,25.78,25.78,6707
2007-03-21,25.8,26.3099,25.7899,26.06,26.06,2736
2007-03-22,26.1,26.24,26.01,26.1505,26.1505,1450
2007-03-23,26.1,26.64,26.05,26.53,26.53,2164
2007-03-26,26.66,26.8,26.49,26.51,26.51,2179
2007-03-27,26.5,26.95,26.5,26.5,26.5,1879
2007-03-28,26.7,26.84,26.4101,26.48,26.48,2157
2007-03-29,26.5,26.6,26.34,26.35,26.35,2357
2007-03-30,26.4,26.4,26.24,26.33,26.33,1229
2007-04-02,26.33,26.53,26.11,26.53,26.53,1650
2007-04-03,26.49,27.2,26.49,27.2,27.2,3464
2007-04-04,27.2,27.4,27.1,27.26,27.26,1493
2007-04-05,27.31,28.3799,27.25,28.22,28.22,2193
