,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,14.63,14.77,13.51,13.51,13.51,523700
1,2021-06-11,13.57,13.82,13.82,13.4,13.82,408000
2,2021-06-14,13.83,14.02,13.81,13.72,13.81,485600
3,2021-06-15,13.78,13.9,13.68,13.59,13.68,380600
4,2021-06-16,13.56,13.74,13.63,13.55,13.63,280300
5,2021-06-17,13.53,13.74,13.21,13.16,13.21,496800
6,2021-06-18,13.02,13.09,12.81,12.71,12.81,635700
7,2021-06-21,12.72,13.35,13.1,12.61,13.1,571100
8,2021-06-22,12.96,13.07,13.03,12.65,13.03,377300
9,2021-06-23,13.12,13.29,13.13,12.98,13.13,265300
10,2021-06-24,13.23,13.57,13.53,13.11,13.53,430900
11,2021-06-25,13.58,13.95,13.39,13.38,13.39,2227700
12,2021-06-28,13.35,13.48,12.71,12.56,12.71,588444
13,2021-06-29,12.77,12.88,12.75,12.54,12.75,359755
14,2021-06-30,12.65,12.99,12.84,12.65,12.84,1092058
15,2021-07-01,13.03,13.03,12.71,12.52,12.71,521800
16,2021-07-02,12.74,12.97,12.8,12.39,12.8,437900
17,2021-07-06,12.8,12.8,12.36,12.16,12.36,487700
18,2021-07-07,12.37,12.55,12.24,12.08,12.24,416000
19,2021-07-08,11.99,12.15,12.0,11.7,12.0,371600
20,2021-07-09,12.2,12.5,12.42,12.1,12.42,267700
21,2021-07-12,12.3,12.39,12.36,12.13,12.36,376800
22,2021-07-13,12.17,12.24,11.92,11.91,11.92,366300
23,2021-07-14,12.05,12.12,11.65,11.63,11.65,341900
24,2021-07-15,11.41,11.69,11.61,11.3,11.61,406000
25,2021-07-16,11.77,11.84,11.09,11.09,11.09,847400
26,2021-07-19,10.8,10.94,10.65,10.31,10.65,779100
27,2021-07-20,10.67,11.3,11.02,10.56,11.02,676600
28,2021-07-21,11.22,11.65,11.53,11.22,11.53,355700
29,2021-07-22,11.43,11.43,11.23,11.02,11.23,294200
30,2021-07-23,11.39,11.44,11.4,11.22,11.4,274100
31,2021-07-26,11.51,11.71,11.66,11.45,11.66,308800
32,2021-07-27,11.56,11.61,11.49,11.31,11.49,321200
33,2021-07-28,11.65,11.91,11.57,11.44,11.57,500900
34,2021-07-29,10.37,10.81,10.71,9.52,10.71,2309300
35,2021-07-30,10.46,10.62,10.41,10.08,10.41,1469800
36,2021-08-02,10.52,11.42,11.21,10.52,11.21,953800
37,2021-08-03,11.2,11.61,11.6,11.08,11.6,909800
38,2021-08-04,11.39,11.65,11.31,11.21,11.31,886900
39,2021-08-05,11.38,11.63,11.61,11.09,11.61,577300
40,2021-08-06,11.82,11.9,11.46,11.3,11.46,778700
41,2021-08-09,11.38,11.51,11.34,11.185,11.34,341957
42,2021-08-10,11.39,11.55,11.54,11.22,11.54,336926
43,2021-08-11,11.5,11.83,11.81,11.38,11.81,277900
44,2021-08-12,11.8,11.8,11.57,11.3,11.57,375200
45,2021-08-13,11.56,11.6,11.36,11.13,11.36,325600
46,2021-08-16,11.24,11.25,10.74,10.73,10.74,399100
47,2021-08-17,10.53,10.84,10.79,10.36,10.79,418000
48,2021-08-18,10.73,10.87,10.36,10.35,10.36,275200
49,2021-08-19,10.25,10.31,10.19,9.99,10.19,431000
50,2021-08-20,10.15,10.38,10.34,10.02,10.34,374300
51,2021-08-23,10.49,10.69,10.57,10.35,10.57,320700
52,2021-08-24,10.56,10.84,10.77,10.52,10.77,245700
53,2021-08-25,10.77,10.97,10.92,10.74,10.92,249700
54,2021-08-26,10.93,10.99,10.54,10.54,10.54,247000
55,2021-08-27,10.6,11.09,11.05,10.59,11.05,407200
56,2021-08-30,11.12,11.2,10.82,10.68,10.82,411157
57,2021-08-31,10.77,10.92,10.88,10.61,10.88,361336
58,2021-09-01,10.92,11.1,10.94,10.62,10.94,428498
59,2021-09-02,11.02,11.28,11.21,11.02,11.21,415300
60,2021-09-03,11.12,11.19,10.66,10.57,10.66,321900
61,2021-09-07,10.53,10.53,9.87,9.86,9.87,995694
