Date,Open,High,Low,Close,AdjustedClose,Volume
2021-02-11,18,18,18,18,18,0
2021-02-12,21.2,24.39,18,18.03,18.03,3882500
2021-02-16,18.02,18.5,17.67,18.1,18.1,636800
2021-02-17,18.1,18.81,17.88,18.5,18.5,122800
2021-02-18,18.6,18.87,17.93,18.64,18.64,136900
2021-02-19,18.65,19.25,18.3,19.05,19.05,108300
2021-02-22,20.05,20.21,19.66,19.9,19.9,184500
2021-02-23,20.05,20.075,18,18.01,18.01,323100
2021-02-24,18.36,19.14,18.07,18.5,18.5,68000
2021-02-25,18.6,18.97,17.96,18.7,18.7,173900
2021-02-26,18.31,19.05,18.11,18.78,18.78,99900
2021-03-01,19,19,18.11,18.15,18.15,110300
2021-03-02,18.49,18.49,18.03,18.07,18.07,70200
2021-03-03,18.31,18.425,18,18.08,18.08,131300
2021-03-04,18.1,18.24,17.62,17.67,17.67,306700
2021-03-05,17.85,17.85,13.28,14.68,14.68,261800
2021-03-08,14.87,15.62,12.75,13.26,13.26,274400
2021-03-09,14.09,15.14,13.53,13.55,13.55,360400
2021-03-10,14.25,15.53,14.23,15.25,15.25,183900
2021-03-11,15.7,15.99,14.82,15.48,15.48,247500
2021-03-12,15.77,15.935,14.54,14.93,14.93,190900
2021-03-15,15,15.43,14.61,14.88,14.88,201800
2021-03-16,15.05,15.95,14.9,15.65,15.65,163000
2021-03-17,15.6,15.9,15.01,15.07,15.07,89700
2021-03-18,14.85,15.42,14.58,14.85,14.85,94200
2021-03-19,15.07,15.6,14.7,14.81,14.81,975700
2021-03-22,14.83,15.5,13.7,13.99,13.99,211800
2021-03-23,13.99,14.67,13.72,14.41,14.41,97100
2021-03-24,14.3,14.411,12.49,12.55,12.55,227400
2021-03-25,12.65,13.4,11.94,12.23,12.23,129000
2021-03-26,12.19,12.88,11.38,11.51,11.51,150300
2021-03-29,11.51,11.97,10.53,10.59,10.59,147900
2021-03-30,10.92,11.06,10.41,10.56,10.56,139300
2021-03-31,10.44,11.47,10.44,11.36,11.36,120100
2021-04-01,11.25,11.41,11.08,11.36,11.36,150000
2021-04-05,11.46,11.46,11.1,11.39,11.39,37600
2021-04-06,11.39,11.687,11.334,11.51,11.51,80300
2021-04-07,11.57,11.62,10.745,11.06,11.06,118300
2021-04-08,11.12,11.21,10.43,10.62,10.62,140300
2021-04-09,10.68,11.06,10.45,10.54,10.54,29900
2021-04-12,10.52,10.65,10.31,10.53,10.53,34300
2021-04-13,10.49,10.75,10.2,10.41,10.41,87400
2021-04-14,10.438,10.88,10.438,10.83,10.83,33500
2021-04-15,10.89,10.89,10.5,10.75,10.75,33100
2021-04-16,10.83,10.857,9.83,9.89,9.89,68600
2021-04-19,9.89,10.46,9.282,9.84,9.84,105800
2021-04-20,10.01,10.01,9.35,9.7,9.7,76200
2021-04-21,9.71,10.25,9.57,10.05,10.05,58100
2021-04-22,10.12,10.25,9.75,9.8,9.8,44300
2021-04-23,9.81,10.212,9.5,9.53,9.53,37000
2021-04-26,9.51,10.04,9.47,9.58,9.58,70700
2021-04-27,9.55,9.7,9.28,9.48,9.48,60900
2021-04-28,9.48,9.73,9.25,9.61,9.61,34600
2021-04-29,9.55,9.71,9.391,9.47,9.47,35700
2021-04-30,9.48,9.595,8.86,9.12,9.12,94000
2021-05-03,9.05,9.285,8.57,8.75,8.75,90200
2021-05-04,8.57,8.57,7.95,8,8,136200
2021-05-05,7.95,8.23,7.72,7.96,7.96,57600
2021-05-06,7.99,7.99,7.16,7.42,7.42,52500
2021-05-07,7.5,8.06,7.5,7.9,7.9,76300
2021-05-10,7.89,7.89,6.84,7.09,7.09,154000
2021-05-11,7.03,7.5,6.861,7.33,7.33,77000
2021-05-12,7.25,7.64,7.04,7.1,7.1,32500
2021-05-13,7.19,7.19,6.18,6.39,6.39,109041
2021-05-14,6.45,7.289,6.4,7.06,7.06,81700
2021-05-17,6.98,7.075,6.38,6.53,6.53,58100
2021-05-18,6.69,6.8,6.5,6.76,6.76,63900
2021-05-19,6.71,7.65,6.68,7.53,7.53,107700
2021-05-20,7.6,8.85,7.38,8.71,8.71,261821
2021-05-21,8.61,8.81,8.05,8.14,8.14,123000
2021-05-24,8.27,8.67,8.01,8.04,8.04,103800
2021-05-25,8.08,8.595,7.77,7.84,7.84,117000
2021-05-26,7.87,8.85,7.87,8.84,8.84,108300
2021-05-27,8.79,9.17,8.19,8.29,8.29,85900
2021-05-28,8.25,9.14,8.25,8.95,8.95,103000
2021-06-01,9.12,9.175,8.26,8.39,8.39,93900
2021-06-02,8.41,9.025,8.19,8.42,8.42,68000
2021-06-03,8.32,9.04,7.56,7.7,7.7,123600
2021-06-04,7.75,8.9,7.75,8.63,8.63,81800
2021-06-07,8.6,9.211,8.415,9.09,9.09,85000
2021-06-08,9.15,9.51,8.38,8.92,8.92,109200
2021-06-09,8.95,9.475,8.4,8.61,8.61,118000
2021-06-10,8.55,9.45,8.55,8.91,8.91,51200
2021-06-11,8.8,9.38,8.7,8.91,8.91,48300
2021-06-14,8.91,9.205,8.55,8.63,8.63,49700
2021-06-15,8.52,9.1,8.1,8.37,8.37,85400
2021-06-16,8.37,9.01,8.23,8.8,8.8,149800
2021-06-17,8.72,9.37,7.96,8.27,8.27,154100
2021-06-18,8.13,8.85,7.73,7.96,7.96,134800
2021-06-21,7.9,8.34,7.7,8.03,8.03,140800
2021-06-22,8,8.25,7.82,8.11,8.11,96000
2021-06-23,8.12,8.39,7.75,8.06,8.06,99700
2021-06-24,8.23,8.35,7.68,7.77,7.77,82800
2021-06-25,7.73,8.34,7.73,8.24,8.24,872600
2021-06-28,8.25,8.85,8.015,8.76,8.76,105100
2021-06-29,8.65,9.39,8.5,8.96,8.96,79300
2021-06-30,9.01,9.056,8.3,8.6,8.6,146900
2021-07-01,8.64,8.66,8.28,8.45,8.45,73500
2021-07-02,8.59,9.4,8.46,9.04,9.04,474900
2021-07-06,9.2,9.75,8.45,8.63,8.63,318700
2021-07-07,8.78,8.88,7.55,7.64,7.64,470200
2021-07-08,7.61,7.74,7.3,7.45,7.45,101300
2021-07-09,7.59,7.775,7.14,7.46,7.46,155900
2021-07-12,7.54,7.9,7.54,7.74,7.74,135900
2021-07-13,7.58,7.87,7.15,7.17,7.17,210300
2021-07-14,7.21,7.55,7.21,7.37,7.37,91300
2021-07-15,7.28,7.28,6.81,6.87,6.87,126500
2021-07-16,6.87,7.37,6.78,7.05,7.05,41000
2021-07-19,6.9,7.25,6.6,6.6,6.6,51997
