,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,38.11,39.025,38.76,38.0,38.76,337654
1,2021-06-11,39.0,40.11,40.05,38.52,40.05,549623
2,2021-06-14,40.0,40.7,40.66,39.69,40.66,330974
3,2021-06-15,40.73,41.02,39.4,39.08,39.4,895491
4,2021-06-16,39.7,40.02,39.48,38.36,39.48,993091
5,2021-06-17,39.35,41.01,40.7,39.07,40.7,252422
6,2021-06-18,40.49,41.22,40.83,40.15,40.83,717161
7,2021-06-21,40.46,40.9,40.28,39.64,40.28,654964
8,2021-06-22,40.03,40.75,40.5,39.75,40.5,855127
9,2021-06-23,40.68,40.96,39.95,38.89,39.95,852883
10,2021-06-24,40.4,43.64,42.62,40.4,42.62,546163
11,2021-06-25,42.9,44.11,43.81,42.37,43.81,1629367
12,2021-06-28,43.86,44.26,43.91,42.83,43.91,335339
13,2021-06-29,44.04,45.34,45.1,43.55,45.1,491685
14,2021-06-30,45.46,45.5,43.51,42.97,43.51,399566
15,2021-07-01,42.76,43.62,42.89,42.18,42.89,300381
16,2021-07-02,43.21,43.635,43.23,42.81,43.23,229228
17,2021-07-06,43.23,43.8262,43.6,42.57,43.6,187390
18,2021-07-07,44.0,44.0,42.23,41.6,42.23,482201
19,2021-07-08,42.05,42.41,41.21,40.76,41.21,507925
20,2021-07-09,39.5,40.69,40.22,37.5,40.22,1016884
21,2021-07-12,40.18,41.145,40.72,39.36,40.72,432551
22,2021-07-13,41.91,43.69,43.49,40.77,43.49,792943
23,2021-07-14,43.75,44.28,43.21,42.21,43.21,912588
24,2021-07-15,43.05,44.09,42.09,41.49,42.09,417109
25,2021-07-16,42.32,43.56,43.1,41.8,43.1,704180
26,2021-07-19,42.4,44.17,43.94,41.88,43.94,572762
27,2021-07-20,43.94,45.0,44.66,43.39,44.66,407983
28,2021-07-21,44.67,45.53,45.0,44.0,45.0,677056
29,2021-07-22,45.0,46.01,45.0,44.63,45.0,993526
30,2021-07-23,45.0,45.33,44.97,44.62,44.97,659087
31,2021-07-26,44.64,45.39,44.65,44.0,44.65,365703
32,2021-07-27,44.75,44.75,44.19,42.64,44.19,244025
33,2021-07-28,44.49,44.87,44.34,43.91,44.34,331634
34,2021-07-29,44.27,45.045,44.29,44.08,44.29,580284
35,2021-07-30,44.21,44.75,43.93,43.705,43.93,517705
36,2021-08-02,43.79,45.0,44.62,42.84,44.62,300486
37,2021-08-03,44.71,44.84,44.68,43.7934,44.68,238337
38,2021-08-04,44.77,44.8799,44.75,44.45,44.75,202402
39,2021-08-05,44.75,45.265,45.01,44.391,45.01,298429
40,2021-08-06,45.17,45.26,43.88,43.785,43.88,135136
41,2021-08-09,43.79,44.4,44.31,43.14,44.31,199666
42,2021-08-10,44.56,44.825,43.39,43.105,43.39,375683
43,2021-08-11,43.62,44.9,44.9,43.23,44.9,383305
44,2021-08-12,44.98,45.02,44.36,44.01,44.36,209751
45,2021-08-13,44.18,44.42,44.4,43.52,44.4,161410
46,2021-08-16,44.17,44.17,43.36,42.5834,43.36,188979
47,2021-08-17,43.02,43.11,42.03,41.84,42.03,172770
48,2021-08-18,42.02,43.86,43.24,41.37,43.24,266300
49,2021-08-19,42.75,43.36,42.77,42.3312,42.77,109703
50,2021-08-20,42.8,43.93,43.88,42.51,43.88,159488
51,2021-08-23,44.0,44.66,44.56,43.57,44.56,158010
52,2021-08-24,44.7,45.0,44.5,44.22,44.5,396517
53,2021-08-25,44.5,44.87,44.31,44.06,44.31,245487
54,2021-08-26,44.19,44.78,44.4,43.825,44.4,216301
55,2021-08-27,44.5,45.95,45.87,44.33,45.87,1769926
56,2021-08-30,46.34,47.38,46.85,45.6,46.85,696974
57,2021-08-31,46.72,47.21,46.63,45.92,46.63,406773
58,2021-09-01,46.65,46.91,46.64,46.11,46.64,253989
59,2021-09-02,47.0,47.57,47.34,46.46,47.34,204495
60,2021-09-03,47.34,49.98,47.96,46.91,47.96,422045
61,2021-09-07,48.39,49.69,48.66,47.77,48.66,897105
