,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,10.6,10.71,10.69,10.5866,10.5065,73074
1,2021-06-11,10.7,10.74,10.66,10.66,10.477,29064
2,2021-06-14,10.68,10.74,10.62,10.62,10.4377,33269
3,2021-06-15,10.66,10.7004,10.63,10.63,10.4475,14878
4,2021-06-16,10.68,10.68,10.6138,10.59,10.4316,16744
5,2021-06-17,10.51,10.59,10.48,10.48,10.3584,18989
6,2021-06-18,10.46,10.46,10.35,10.27,10.2299,53376
7,2021-06-21,10.36,10.5,10.42,10.36,10.2991,32213
8,2021-06-22,10.39,10.45,10.418,10.39,10.2972,33566
9,2021-06-23,10.46,10.46,10.44,10.39,10.3189,26269
10,2021-06-24,10.49,10.55,10.55,10.4302,10.4276,33889
11,2021-06-25,10.55,10.62,10.53,10.5246,10.4079,16996
12,2021-06-28,10.56,10.77,10.77,10.54,10.6451,17464
13,2021-06-29,10.77,10.86,10.86,10.65,10.734,33871
14,2021-06-30,10.84,10.8591,10.72,10.72,10.5957,37863
15,2021-07-01,10.72,10.7604,10.73,10.71,10.6055,20537
16,2021-07-02,10.78,10.98,10.98,10.78,10.8526,48640
17,2021-07-06,10.92,11.0,10.985,10.915,10.8576,20345
18,2021-07-07,11.03,11.14,10.99,10.94,10.8625,50676
19,2021-07-08,10.81,10.81,10.58,10.58,10.4573,70242
20,2021-07-09,10.61,10.61,10.5,10.44,10.3782,68429
21,2021-07-12,10.5,10.57,10.53,10.5,10.4079,9207
22,2021-07-13,10.55,10.59,10.56,10.53,10.4375,19763
23,2021-07-14,10.56,10.61,10.61,10.56,10.4869,36254
24,2021-07-15,10.61,10.61,10.53,10.52,10.4079,46684
25,2021-07-16,10.56,10.56,10.42,10.41,10.2991,79430
26,2021-07-19,10.32,10.35,10.268,10.25,10.1489,30663
27,2021-07-20,10.27,10.35,10.35,10.26,10.2299,68895
28,2021-07-21,10.37,10.46,10.43,10.34,10.309,37174
29,2021-07-22,10.37,10.43,10.36,10.32,10.2998,37673
30,2021-07-23,10.38,10.44,10.38,10.3634,10.3197,31451
31,2021-07-26,10.39,10.44,10.37,10.36,10.3097,17756
32,2021-07-27,10.39,10.39,10.36,10.34,10.2998,30884
33,2021-07-28,10.36,10.43,10.42,10.36,10.3594,12243
34,2021-07-29,10.45,10.5304,10.47,10.43,10.4091,24220
35,2021-07-30,10.5,10.5,10.45,10.42,10.3892,12238
36,2021-08-02,10.48,10.53,10.47,10.47,10.4091,6894
37,2021-08-03,10.52,10.52,10.46,10.4401,10.3992,21626
38,2021-08-04,10.43,10.47,10.41,10.4007,10.3495,12945
39,2021-08-05,10.46,10.46,10.42,10.41,10.3594,4638
40,2021-08-06,10.42,10.46,10.41,10.4,10.3495,15112
41,2021-08-09,10.47,10.5,10.48,10.42,10.4191,23112
42,2021-08-10,10.57,10.57,10.48,10.45,10.4191,26020
43,2021-08-11,10.48,10.48,10.46,10.45,10.3992,40016
44,2021-08-12,10.52,10.52,10.52,10.46,10.4588,16829
45,2021-08-13,10.61,10.61,10.6,10.54,10.5384,19572
46,2021-08-16,10.61,10.61,10.585,10.56,10.5235,9654
47,2021-08-17,10.62,10.62,10.53,10.5101,10.4688,17693
48,2021-08-18,10.63,10.63,10.51,10.51,10.4489,29494
49,2021-08-19,10.34,10.41,10.34,10.34,10.34,36586
50,2021-08-20,10.54,10.54,10.4,10.38,10.4,19292
51,2021-08-23,10.44,10.49,10.47,10.44,10.47,17961
52,2021-08-24,10.49,10.5,10.48,10.46,10.48,22190
53,2021-08-25,10.49,10.52,10.5,10.4656,10.5,20235
54,2021-08-26,10.53,10.53,10.47,10.41,10.47,22293
55,2021-08-27,10.49,10.51,10.46,10.43,10.46,21511
56,2021-08-30,10.46,10.51,10.47,10.4,10.47,20800
57,2021-08-31,10.46,10.48,10.48,10.4,10.48,26400
58,2021-09-01,10.52,10.55,10.55,10.48,10.55,16700
59,2021-09-02,10.58,10.6,10.59,10.55,10.59,8852
60,2021-09-03,10.58,10.62,10.62,10.57,10.62,15984
61,2021-09-07,10.63,10.63,10.54,10.52,10.54,15550
