,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,19.35,19.57,19.55,19.22,19.3066,1670629
1,2021-06-11,19.55,19.565,19.47,19.29,19.2275,1125166
2,2021-06-14,19.41,19.56,19.54,19.36,19.2967,1593815
3,2021-06-15,19.52,19.59,19.31,19.29,19.0695,1808637
4,2021-06-16,19.3,19.53,19.2,19.16,18.9609,2331052
5,2021-06-17,19.2,19.28,19.08,18.97,18.8424,1466360
6,2021-06-18,19.08,19.125,18.77,18.72,18.5363,3065514
7,2021-06-21,18.84,19.18,19.08,18.8,18.8424,1677054
8,2021-06-22,19.09,19.14,19.04,18.985,18.8029,1576970
9,2021-06-23,18.97,19.19,18.98,18.94,18.7436,2983306
10,2021-06-24,19.04,19.07,18.98,18.85,18.7436,1211730
11,2021-06-25,18.95,19.08,18.98,18.93,18.7436,2575628
12,2021-06-28,18.98,19.045,18.88,18.66,18.6449,1915081
13,2021-06-29,18.86,18.945,18.64,18.61,18.4079,1367168
14,2021-06-30,18.59,18.72,18.47,18.46,18.24,2584742
15,2021-07-01,18.28,18.59,18.3,18.22,18.3,1886716
16,2021-07-02,18.41,18.48,18.29,18.15,18.29,1474685
17,2021-07-06,18.28,18.625,18.56,18.095,18.56,2118124
18,2021-07-07,18.54,18.54,18.44,18.395,18.44,1334501
19,2021-07-08,18.33,18.485,18.27,18.2,18.27,1271854
20,2021-07-09,18.4,18.65,18.64,18.29,18.64,1560634
21,2021-07-12,18.57,18.77,18.75,18.54,18.75,982266
22,2021-07-13,18.67,18.72,18.44,18.375,18.44,1157051
23,2021-07-14,18.39,18.65,18.51,18.35,18.51,1466124
24,2021-07-15,18.51,18.57,18.53,18.4101,18.53,965873
25,2021-07-16,18.59,18.795,18.64,18.58,18.64,1359187
26,2021-07-19,18.54,18.72,18.44,18.28,18.44,2305600
27,2021-07-20,18.51,18.95,18.86,18.47,18.86,2434900
28,2021-07-21,18.94,19.02,18.85,18.83,18.85,1579500
29,2021-07-22,18.74,18.85,18.73,18.56,18.73,1322100
30,2021-07-23,18.73,18.89,18.86,18.73,18.86,1070000
31,2021-07-26,18.9,18.97,18.79,18.7,18.79,1100300
32,2021-07-27,18.77,18.96,18.88,18.69,18.88,919100
33,2021-07-28,18.88,18.92,18.83,18.73,18.83,865200
34,2021-07-29,18.85,18.95,18.85,18.8,18.85,1021400
35,2021-07-30,18.9,19.17,18.95,18.9,18.95,1683300
36,2021-08-02,19.05,19.19,18.76,18.7,18.76,1221500
37,2021-08-03,18.73,18.8,18.72,18.59,18.72,1246900
38,2021-08-04,18.53,18.74,18.52,18.35,18.52,1436400
39,2021-08-05,18.57,18.74,18.74,18.46,18.74,1595200
40,2021-08-06,18.81,18.89,18.6,18.6,18.6,1163500
41,2021-08-09,18.6,18.64,18.51,18.41,18.51,914500
42,2021-08-10,18.51,18.56,18.23,18.22,18.23,1248200
43,2021-08-11,18.35,18.48,18.4,18.22,18.4,1177300
44,2021-08-12,18.48,18.49,18.4,18.25,18.4,1515700
45,2021-08-13,18.43,18.71,18.71,18.4,18.71,1270800
46,2021-08-16,18.7,18.76,18.4,18.4,18.4,1303900
47,2021-08-17,18.3,18.36,18.33,18.16,18.33,1128600
48,2021-08-18,18.32,18.4,18.29,18.18,18.29,2337500
49,2021-08-19,18.35,18.65,18.5,18.25,18.5,2280000
50,2021-08-20,18.43,18.63,18.56,18.08,18.56,2303600
51,2021-08-23,18.56,18.63,18.34,18.18,18.34,1930500
52,2021-08-24,18.38,18.58,18.52,18.25,18.52,1424200
53,2021-08-25,18.52,18.59,18.38,18.37,18.38,1286500
54,2021-08-26,18.37,18.41,18.11,18.1,18.11,1861100
55,2021-08-27,18.19,18.45,18.31,18.16,18.31,1463800
56,2021-08-30,18.22,18.44,18.44,18.21,18.44,1237800
57,2021-08-31,18.51,18.54,18.51,18.39,18.51,1874000
58,2021-09-01,18.61,18.9,18.82,18.52,18.82,1280100
59,2021-09-02,18.85,19.02,18.97,18.72,18.97,1742700
60,2021-09-03,18.9,18.92,18.92,18.71,18.92,1094400
61,2021-09-07,18.84,18.84,18.59,18.51,18.59,1484250
