,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,10.51,10.55,10.33,10.23,10.33,1343100
1,2021-06-11,10.31,10.45,10.39,10.21,10.39,737700
2,2021-06-14,10.46,10.59,10.36,10.27,10.36,898000
3,2021-06-15,10.31,10.49,10.4,10.26,10.4,844300
4,2021-06-16,10.4,10.59,10.53,10.32,10.53,888700
5,2021-06-17,10.58,10.63,10.28,10.15,10.28,1364700
6,2021-06-18,10.08,10.23,9.94,9.9,9.94,2108100
7,2021-06-21,10.06,10.22,10.2,9.95,10.2,882800
8,2021-06-22,10.2,10.23,10.18,10.03,10.18,895200
9,2021-06-23,10.23,10.35,10.1,10.08,10.1,1320700
10,2021-06-24,10.14,10.22,10.18,9.97,10.18,774600
11,2021-06-25,10.23,10.24,10.02,10.01,10.02,2012500
12,2021-06-28,9.94,10.1,9.71,9.49,9.71,1958900
13,2021-06-29,9.71,9.83,9.61,9.61,9.61,1032900
14,2021-06-30,9.56,9.94,9.7,9.56,9.7,1503400
15,2021-07-01,9.74,9.92,9.84,9.72,9.84,1167200
16,2021-07-02,9.81,9.82,9.7,9.66,9.7,841800
17,2021-07-06,9.67,9.68,9.47,9.31,9.47,1316200
18,2021-07-07,9.38,9.52,9.17,9.06,9.17,2613000
19,2021-07-08,8.93,9.25,9.05,8.74,9.05,2306500
20,2021-07-09,9.25,9.42,9.4,9.17,9.4,1859500
21,2021-07-12,9.36,9.54,9.54,9.26,9.54,1729600
22,2021-07-13,9.38,9.46,9.22,9.14,9.22,1477600
23,2021-07-14,9.34,9.6,9.4,9.27,9.4,1768700
24,2021-07-15,9.29,9.44,9.35,9.22,9.35,678300
25,2021-07-16,9.49,9.49,9.07,9.05,9.07,1099700
26,2021-07-19,8.76,8.95,8.49,8.39,8.49,2956400
27,2021-07-20,8.48,9.04,8.88,8.33,8.88,3106500
28,2021-07-21,9.01,9.5,9.19,8.99,9.19,3473900
29,2021-07-22,9.11,9.22,9.08,8.97,9.08,3025600
30,2021-07-23,9.13,9.21,8.76,8.7,8.76,3545200
31,2021-07-26,8.78,9.02,8.97,8.71,8.97,2318900
32,2021-07-27,8.85,8.98,8.73,8.71,8.73,2863700
33,2021-07-28,8.73,8.88,8.69,8.48,8.69,2493100
34,2021-07-29,8.86,8.96,8.76,8.74,8.76,1732700
35,2021-07-30,8.71,8.89,8.61,8.55,8.61,2265000
36,2021-08-02,8.63,8.99,8.45,8.4,8.45,2294000
37,2021-08-03,8.48,8.52,8.42,8.09,8.42,1752700
38,2021-08-04,8.31,8.46,8.14,8.08,8.14,1584500
39,2021-08-05,8.25,8.69,8.61,8.25,8.61,3841600
40,2021-08-06,8.51,9.16,9.12,8.51,9.12,3417200
41,2021-08-09,8.84,9.0,8.7,8.54,8.7,1376200
42,2021-08-10,8.69,8.87,8.78,8.49,8.78,948400
43,2021-08-11,8.79,8.91,8.91,8.64,8.91,1129500
44,2021-08-12,8.95,8.98,8.77,8.69,8.77,1192400
45,2021-08-13,8.8,8.81,8.7,8.64,8.7,626000
46,2021-08-16,8.59,8.64,8.58,8.37,8.58,1336800
47,2021-08-17,8.57,8.62,8.41,8.25,8.41,927300
48,2021-08-18,8.41,8.55,8.4,8.28,8.4,1213400
49,2021-08-19,8.25,8.3,8.27,8.06,8.27,1627100
50,2021-08-20,8.2,8.45,8.37,8.04,8.37,1608900
51,2021-08-23,8.5,8.61,8.49,8.37,8.49,841800
52,2021-08-24,8.56,8.77,8.75,8.52,8.75,838800
53,2021-08-25,8.73,8.94,8.83,8.6,8.83,1288600
54,2021-08-26,8.77,8.9,8.67,8.57,8.67,1082300
55,2021-08-27,8.7,9.12,9.06,8.61,9.06,1178500
56,2021-08-30,9.13,9.18,8.92,8.83,8.92,881900
57,2021-08-31,8.87,9.1,9.04,8.86,9.04,1684300
58,2021-09-01,9.11,9.24,9.0,8.96,9.0,1169200
59,2021-09-02,9.06,9.11,9.05,8.9,9.05,1276400
60,2021-09-03,9.05,9.22,8.88,8.72,8.88,1062200
61,2021-09-07,8.83,8.93,8.86,8.7,8.86,985620
