,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,24.84,24.84,24.37,24.36,24.2634,9689
1,2021-06-11,24.45,24.65,24.56,24.42,24.4526,45495
2,2021-06-14,24.61,24.61,24.11,24.03,24.0045,189257
3,2021-06-15,24.14,24.36,24.25,24.07,24.1439,20258
4,2021-06-16,24.42,24.42,24.2,23.9,24.0941,9867
5,2021-06-17,23.99,23.99,23.23,23.04,23.1284,12497
6,2021-06-18,23.0,23.0,22.71,22.49,22.6107,29612
7,2021-06-21,22.77,23.4,23.37,22.77,23.2676,49200
8,2021-06-22,23.32,23.47,23.4,23.09,23.2974,10500
9,2021-06-23,23.44,23.58,23.5,23.44,23.397,3300
10,2021-06-24,23.34,23.68,23.67,23.34,23.67,28200
11,2021-06-25,23.95,23.98,23.98,23.95,23.98,1300
12,2021-06-28,23.8,23.8,23.47,23.4,23.47,306500
13,2021-06-29,23.77,23.78,23.32,23.32,23.32,511300
14,2021-06-30,23.3,23.5,23.5,23.3,23.5,3500
15,2021-07-01,23.64,23.82,23.82,23.64,23.82,1400
16,2021-07-02,23.96,23.96,23.8,23.73,23.8,20300
17,2021-07-06,23.73,23.73,23.16,23.1,23.16,3100
18,2021-07-07,23.13,23.31,23.25,23.06,23.25,63600
19,2021-07-08,22.76,23.05,22.82,22.51,22.82,24800
20,2021-07-09,23.21,23.58,23.56,23.21,23.56,44600
21,2021-07-12,23.34,23.77,23.77,23.34,23.77,1800
22,2021-07-13,23.53,23.53,23.37,23.32,23.37,82800
23,2021-07-14,23.31,23.65,23.22,23.21,23.22,8800
24,2021-07-15,23.13,23.22,23.15,23.12,23.15,3600
25,2021-07-16,23.19,23.19,22.69,22.66,22.69,12500
26,2021-07-19,22.1,22.24,22.17,21.89,22.17,99900
27,2021-07-20,22.23,22.97,22.92,22.23,22.92,29900
28,2021-07-21,23.45,23.53,23.5,23.35,23.5,3800
29,2021-07-22,23.24,23.24,23.19,23.1,23.19,6000
30,2021-07-23,23.4,23.4,23.39,23.31,23.39,9000
31,2021-07-26,23.51,23.55,23.55,23.51,23.55,2500
32,2021-07-27,23.55,23.55,23.49,23.43,23.49,2000
33,2021-07-28,23.62,23.7,23.58,23.31,23.58,1900
34,2021-07-29,24.06,24.13,24.06,24.05,24.06,2700
35,2021-07-30,24.07,24.07,23.84,23.79,23.84,11300
36,2021-08-02,24.2,24.2,23.73,23.73,23.73,13900
37,2021-08-03,23.54,24.01,24.01,23.44,24.01,3300
38,2021-08-04,23.75,23.97,23.59,23.59,23.59,6500
39,2021-08-05,23.84,23.9,23.88,23.82,23.88,3900
40,2021-08-06,24.13,24.27,24.17,24.1,24.17,22500
41,2021-08-09,23.99,24.27,24.13,23.98,24.13,18000
42,2021-08-10,24.2,24.65,24.5,24.2,24.5,4000
43,2021-08-11,24.62,24.87,24.87,24.54,24.87,2900
44,2021-08-12,24.84,24.9,24.81,24.66,24.81,4700
45,2021-08-13,24.82,24.82,24.65,24.64,24.65,4200
46,2021-08-16,24.41,24.61,24.59,24.41,24.59,1400
47,2021-08-17,24.43,24.43,23.98,23.79,23.98,83900
48,2021-08-18,24.03,24.17,23.76,23.76,23.76,12700
49,2021-08-19,23.5,23.7,23.4,23.27,23.4,31200
50,2021-08-20,23.5,23.63,23.63,23.44,23.63,4100
51,2021-08-23,23.83,23.94,23.92,23.81,23.92,5400
52,2021-08-24,23.91,24.37,24.25,23.91,24.25,10000
53,2021-08-25,24.28,24.62,24.54,24.28,24.54,2900
54,2021-08-26,24.53,24.53,24.18,24.18,24.18,4000
55,2021-08-27,24.22,24.7,24.64,24.22,24.64,8700
56,2021-08-30,24.39,24.44,24.31,24.31,24.31,1000
57,2021-08-31,24.24,24.43,24.31,24.24,24.31,5900
58,2021-09-01,24.23,24.23,24.18,24.18,24.18,500
59,2021-09-02,24.23,24.44,24.29,24.23,24.29,7400
60,2021-09-03,24.2,24.2,24.13,24.01,24.13,4300
61,2021-09-07,24.05,24.1266,23.84,23.84,23.84,6930
