,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,37.31,38.26,37.99,36.7,37.99,239100
1,2021-06-11,38.07,39.225,39.02,37.885,39.02,589500
2,2021-06-14,39.11,40.13,38.49,38.05,38.49,538100
3,2021-06-15,38.37,38.42,37.01,36.24,37.01,505400
4,2021-06-16,36.85,37.75,37.26,36.24,37.26,478700
5,2021-06-17,36.91,38.18,37.68,36.3,37.68,495900
6,2021-06-18,37.3,38.0,36.86,36.12,36.86,616300
7,2021-06-21,36.5,37.99,37.15,34.82,37.15,547800
8,2021-06-22,37.12,37.91,37.52,36.71,37.52,332300
9,2021-06-23,37.59,38.45,37.94,36.86,37.94,291200
10,2021-06-24,38.41,38.85,37.48,37.31,37.48,281200
11,2021-06-25,37.7,38.87,38.03,36.7,38.03,1485100
12,2021-06-28,38.37,40.117,38.95,38.1,38.95,308300
13,2021-06-29,38.43,40.12,39.76,38.43,39.76,412100
14,2021-06-30,39.63,40.21,39.91,38.94,39.91,381500
15,2021-07-01,39.73,39.855,38.63,37.05,38.63,503700
16,2021-07-02,38.76,38.76,37.76,37.1,37.76,180800
17,2021-07-06,38.0,39.03,38.71,37.27,38.71,266400
18,2021-07-07,39.07,39.09,36.76,36.045,36.76,224400
19,2021-07-08,36.09,36.49,35.54,34.67,35.54,253200
20,2021-07-09,35.38,35.38,34.61,31.23,34.61,1225100
21,2021-07-12,34.641,35.48,34.37,32.75,34.37,303100
22,2021-07-13,35.0,35.96,35.0,34.3,35.0,293500
23,2021-07-14,35.31,35.31,33.32,33.0,33.32,330000
24,2021-07-15,32.9,34.91,34.8,32.56,34.8,450300
25,2021-07-16,35.03,36.295,34.94,34.65,34.94,429400
26,2021-07-19,34.67,35.165,33.99,33.465,33.99,207700
27,2021-07-20,34.18,34.995,34.21,33.13,34.21,344000
28,2021-07-21,34.3,35.5,35.16,33.91,35.16,354000
29,2021-07-22,35.38,35.97,34.56,34.275,34.56,219900
30,2021-07-23,34.57,34.9,34.4,33.6,34.4,157400
31,2021-07-26,34.2,35.16,34.89,33.83,34.89,372400
32,2021-07-27,34.86,36.11,35.0,34.45,35.0,521300
33,2021-07-28,35.04,35.4,34.83,33.85,34.83,195900
34,2021-07-29,34.88,36.24,34.78,34.68,34.78,221700
35,2021-07-30,34.8,37.26,36.0,34.42,36.0,278400
36,2021-08-02,36.1,36.86,35.91,35.67,35.91,177800
37,2021-08-03,35.84,36.57,35.78,34.43,35.78,122500
38,2021-08-04,35.66,37.34,35.66,35.26,35.66,198800
39,2021-08-05,35.58,37.15,37.14,35.24,37.14,144100
40,2021-08-06,37.28,37.585,35.75,35.5,35.75,176800
41,2021-08-09,35.96,36.96,36.48,35.242,36.48,132000
42,2021-08-10,36.72,36.72,35.33,35.075,35.33,284800
43,2021-08-11,35.37,35.75,34.87,34.21,34.87,353000
44,2021-08-12,34.62,34.8,32.7,31.09,32.7,457100
45,2021-08-13,30.55,30.63,24.7,24.41,24.7,1431200
46,2021-08-16,24.59,26.055,25.0,24.174,25.0,762300
47,2021-08-17,24.51,25.37,24.37,23.9,24.37,784200
48,2021-08-18,24.67,24.95,23.61,23.23,23.61,572100
49,2021-08-19,23.61,23.79,21.53,21.11,21.53,1006900
50,2021-08-20,21.37,22.52,21.48,21.325,21.48,1046400
51,2021-08-23,21.6,22.33,21.93,21.17,21.93,1326900
52,2021-08-24,21.72,22.29,21.56,21.18,21.56,960400
53,2021-08-25,21.77,22.59,21.64,21.14,21.64,1062600
54,2021-08-26,21.66,22.09,21.45,20.75,21.45,296600
55,2021-08-27,21.46,22.34,21.99,21.161,21.99,242600
56,2021-08-30,22.22,22.3,20.47,20.41,20.47,324900
57,2021-08-31,20.46,20.62,20.01,19.84,20.01,825500
58,2021-09-01,20.3,20.61,20.26,19.68,20.26,950700
59,2021-09-02,20.29,20.93,19.9,19.86,19.9,572100
60,2021-09-03,20.1,20.31,20.06,19.38,20.06,1862400
61,2021-09-07,20.14,22.51,22.42,19.75,22.42,1064186
