,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,21.66,21.72,21.53,21.475,21.2727,56125
1,2021-06-11,21.53,21.84,21.8,21.53,21.5395,70322
2,2021-06-14,21.85,21.865,21.73,21.62,21.4703,79339
3,2021-06-15,21.64,21.71,21.71,21.43,21.4506,70901
4,2021-06-16,21.7,21.7,21.66,21.41,21.4012,86200
5,2021-06-17,21.72,21.72,21.4,21.2,21.1443,102285
6,2021-06-18,21.09,21.12,20.6,20.6,20.3538,255166
7,2021-06-21,20.99,21.29,21.27,20.76,21.0158,90412
8,2021-06-22,21.25,21.32,21.19,20.94,20.9368,72567
9,2021-06-23,21.15,21.37,21.34,20.99,21.085,125847
10,2021-06-24,21.32,21.69,21.62,21.18,21.3616,85727
11,2021-06-25,21.59,21.76,21.6,21.5,21.3419,281418
12,2021-06-28,21.64,21.64,21.19,20.9,20.9368,141369
13,2021-06-29,21.31,21.42,21.37,21.13,21.1146,58876
14,2021-06-30,21.35,21.62,21.52,21.2511,21.2628,95707
15,2021-07-01,21.62,21.62,21.49,21.31,21.2332,90237
16,2021-07-02,21.55,21.55,21.48,21.36,21.2233,54272
17,2021-07-06,21.53,21.55,21.15,21.0,20.8973,73300
18,2021-07-07,21.18,21.18,20.92,20.77,20.67,104600
19,2021-07-08,20.42,20.53,20.36,20.2,20.36,82900
20,2021-07-09,20.25,20.58,20.51,20.25,20.51,68900
21,2021-07-12,20.58,20.83,20.76,20.28,20.76,136400
22,2021-07-13,20.73,20.76,20.2,20.19,20.2,102000
23,2021-07-14,20.29,20.5,20.17,20.16,20.17,62500
24,2021-07-15,20.05,20.29,20.17,20.05,20.17,78500
25,2021-07-16,20.31,20.39,20.02,20.01,20.02,107000
26,2021-07-19,20.0,20.37,19.67,19.6,19.67,123914
27,2021-07-20,19.79,20.205,19.95,19.78,19.95,141509
28,2021-07-21,20.12,20.27,19.87,19.84,19.87,73400
29,2021-07-22,19.88,19.88,19.53,19.52,19.53,66400
30,2021-07-23,19.55,19.68,19.61,19.45,19.61,60300
31,2021-07-26,19.57,19.93,19.79,19.57,19.79,47400
32,2021-07-27,19.62,19.82,19.59,19.5,19.59,97200
33,2021-07-28,19.66,20.02,19.88,19.47,19.88,60100
34,2021-07-29,20.04,20.11,19.98,19.85,19.98,60200
35,2021-07-30,19.87,20.04,19.77,19.75,19.77,101200
36,2021-08-02,19.87,20.12,19.64,19.61,19.64,87100
37,2021-08-03,19.91,20.0,19.65,19.55,19.65,46900
38,2021-08-04,19.5,19.62,19.49,19.41,19.49,77000
39,2021-08-05,19.65,19.87,19.68,19.58,19.68,60300
40,2021-08-06,19.84,19.97,19.75,19.61,19.75,66600
41,2021-08-09,19.87,20.23,20.05,19.83,20.05,92000
42,2021-08-10,20.19,20.3,20.18,19.98,20.18,81600
43,2021-08-11,20.23,20.43,20.4,20.12,20.4,57400
44,2021-08-12,20.34,20.44,20.37,20.31,20.37,42600
45,2021-08-13,20.29,20.44,20.3,20.25,20.3,34800
46,2021-08-16,20.29,20.5,20.32,20.09,20.32,51600
47,2021-08-17,20.16,20.34,20.18,20.03,20.18,49200
48,2021-08-18,20.2,20.41,19.94,19.93,19.94,49700
49,2021-08-19,19.76,19.91,19.79,19.67,19.79,54400
50,2021-08-20,19.78,20.28,20.12,19.78,20.12,104400
51,2021-08-23,20.12,20.38,19.94,19.88,19.94,60200
52,2021-08-24,20.01,20.01,19.72,19.63,19.72,47000
53,2021-08-25,19.64,19.74,19.46,19.46,19.46,63000
54,2021-08-26,19.49,19.56,19.3,19.29,19.3,74000
55,2021-08-27,19.26,19.82,19.75,19.26,19.75,63400
56,2021-08-30,19.82,19.82,19.46,19.41,19.46,42100
57,2021-08-31,19.55,19.6,19.41,19.36,19.41,83200
58,2021-09-01,19.42,19.53,19.52,19.25,19.52,46200
59,2021-09-02,19.6,19.6,19.39,19.39,19.39,57100
60,2021-09-03,19.39,19.41,19.32,19.26,19.32,65200
61,2021-09-07,19.26,19.32,19.07,19.04,19.07,76442
