,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,34.78,35.58,34.43,33.5,34.3409,402987
1,2021-06-11,34.55,36.76,36.74,34.55,36.6449,526950
2,2021-06-14,37.11,37.77,35.63,35.51,35.5378,574610
3,2021-06-15,35.66,35.8,34.86,34.4817,34.7698,296857
4,2021-06-16,34.48,35.39,35.27,34.14,35.1787,241235
5,2021-06-17,35.25,36.46,35.66,34.79,35.5677,262021
6,2021-06-18,34.78,35.18,33.01,32.38,32.9245,450971
7,2021-06-21,33.21,34.3,34.15,32.49,34.0616,285024
8,2021-06-22,34.07,34.07,33.86,33.43,33.7723,227719
9,2021-06-23,34.05,35.435,35.25,34.0,35.1587,264022
10,2021-06-24,35.56,37.1,36.82,35.3,36.7247,309061
11,2021-06-25,36.74,37.01,35.84,35.78,35.7472,806396
12,2021-06-28,36.06,36.335,35.17,35.14,35.0789,233472
13,2021-06-29,35.12,35.17,34.52,33.85,34.4306,240442
14,2021-06-30,34.35,34.87,33.9,33.83,33.8122,323615
15,2021-07-01,33.65,34.21,33.47,32.875,33.3834,297240
16,2021-07-02,33.83,33.83,32.4,32.1282,32.3161,232230
17,2021-07-06,32.3,32.3,31.94,31.44,31.8573,200551
18,2021-07-07,31.97,32.84,31.58,30.8,31.4982,201463
19,2021-07-08,30.48,31.62,31.1,29.92,31.0195,223180
20,2021-07-09,31.78,33.47,32.86,31.11,32.7749,243199
21,2021-07-12,32.87,33.01,32.64,32.0906,32.5555,151327
22,2021-07-13,32.48,32.48,31.78,31.7,31.6977,168177
23,2021-07-14,32.08,32.4,31.16,31.05,31.0793,148501
24,2021-07-15,31.0,31.3,30.25,29.7,30.1717,218309
25,2021-07-16,30.71,30.82,29.2,28.92,29.1244,269159
26,2021-07-19,28.64,29.1,28.79,27.87,28.7155,196863
27,2021-07-20,28.86,30.44,29.95,28.4,29.8725,211708
28,2021-07-21,30.05,30.9999,30.77,29.995,30.6903,145264
29,2021-07-22,31.185,31.89,29.91,29.75,29.8326,98996
30,2021-07-23,30.09,30.09,29.46,29.08,29.3837,102456
31,2021-07-26,29.53,30.65,30.43,29.53,30.3512,88402
32,2021-07-27,30.16,30.33,29.62,28.95,29.5433,113124
33,2021-07-28,29.85,30.84,30.52,29.58,30.441,151606
34,2021-07-29,30.93,31.2,30.67,30.58,30.5906,94730
35,2021-07-30,30.24,30.939,30.22,30.02,30.1418,102426
36,2021-08-02,30.49,31.04,30.16,30.0,30.0819,139957
37,2021-08-03,30.05,30.65,30.37,29.3284,30.2914,172408
38,2021-08-04,30.08,30.44,29.73,29.655,29.653,107095
39,2021-08-05,29.93,30.66,30.11,29.72,30.032,92883
40,2021-08-06,30.4,30.5456,30.31,29.81,30.2315,99413
41,2021-08-09,28.57,30.96,30.62,28.18,30.5407,184929
42,2021-08-10,30.64,31.34,30.98,30.16,30.8998,194414
43,2021-08-11,31.0,31.23,31.22,30.35,31.1392,131150
44,2021-08-12,31.16,31.16,30.56,30.26,30.4809,98102
45,2021-08-13,30.49,30.64,29.53,29.4339,29.4536,101877
46,2021-08-16,27.8435,29.65,29.01,27.8435,28.9349,139352
47,2021-08-17,28.64,29.02,28.55,28.215,28.4761,122273
48,2021-08-18,29.02,29.02,28.25,28.15,28.1769,96395
49,2021-08-19,27.84,28.1,27.4,27.2,27.3291,174246
50,2021-08-20,27.21,27.85,27.85,26.91,27.7779,168266
51,2021-08-23,28.22,28.96,28.94,27.73,28.8651,165199
52,2021-08-24,28.98,29.43,29.18,28.56,29.1045,120953
53,2021-08-25,29.35,29.66,28.98,28.9,28.905,99873
54,2021-08-26,28.8,29.13,27.85,27.84,27.7779,108842
55,2021-08-27,28.12,29.01,28.72,28.07,28.6456,131390
56,2021-08-30,28.77,29.0,28.34,28.24,28.2666,98700
57,2021-08-31,28.48,29.55,28.78,28.48,28.7055,151900
58,2021-09-01,28.82,29.54,28.97,28.82,28.895,110800
59,2021-09-02,29.04,29.48,29.08,28.68,29.08,74900
60,2021-09-03,29.05,29.4,28.59,28.0,28.59,130300
61,2021-09-07,28.41,28.7,27.63,27.58,27.63,102415
