,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,64.51,64.94,64.89,64.51,64.89,119100
1,2021-06-11,64.69,64.94,64.73,64.63,64.73,104500
2,2021-06-14,64.94,65.03,64.95,64.8,64.95,220000
3,2021-06-15,64.72,64.72,64.42,64.35,64.42,120500
4,2021-06-16,64.42,64.58,63.72,63.53,63.72,548300
5,2021-06-17,63.93,64.19,63.98,63.87,63.98,198800
6,2021-06-18,63.82,63.97,63.62,63.53,63.62,158500
7,2021-06-21,63.5,63.89,63.89,63.38,63.89,279200
8,2021-06-22,63.53,63.7,63.58,63.35,63.58,991700
9,2021-06-23,63.87,64.09,63.81,63.78,63.81,158500
10,2021-06-24,63.94,64.18,64.09,63.87,64.09,260000
11,2021-06-25,64.39,64.49,64.36,64.19,64.36,153100
12,2021-06-28,64.22,64.41,64.39,64.1,64.39,279400
13,2021-06-29,63.99,64.4,64.37,63.99,64.37,191100
14,2021-06-30,63.97,64.21,64.16,63.97,64.16,576100
15,2021-07-01,64.16,64.18,64.02,63.82,64.02,110500
16,2021-07-02,63.64,63.9,63.82,63.58,63.82,346900
17,2021-07-06,63.39,63.47,63.2,63.01,63.2,194800
18,2021-07-07,63.56,63.61,63.32,63.15,63.32,128000
19,2021-07-08,62.37,62.68,62.44,62.37,62.44,112000
20,2021-07-09,62.89,63.33,63.18,62.89,63.18,146200
21,2021-07-12,62.99,63.18,63.15,62.91,63.15,121800
22,2021-07-13,63.18,63.47,63.1,63.1,63.1,174300
23,2021-07-14,63.45,63.51,63.39,63.26,63.39,122700
24,2021-07-15,63.4,63.62,63.48,63.37,63.48,466400
25,2021-07-16,63.39,63.61,63.09,63.06,63.09,111100
26,2021-07-19,62.37,62.69,62.48,62.3,62.48,148200
27,2021-07-20,62.34,62.92,62.8,62.34,62.8,166400
28,2021-07-21,62.45,62.95,62.87,62.28,62.87,241700
29,2021-07-22,62.89,62.95,62.88,62.71,62.88,150800
30,2021-07-23,62.35,62.5,62.43,62.22,62.43,211100
31,2021-07-26,61.71,61.91,61.81,61.52,61.81,191800
32,2021-07-27,61.07,61.09,61.06,60.57,61.06,739200
33,2021-07-28,61.47,62.15,62.14,61.47,62.14,194700
34,2021-07-29,62.15,62.18,62.15,61.96,62.15,124000
35,2021-07-30,61.76,61.97,61.85,61.71,61.85,231000
36,2021-08-02,62.14,62.29,62.09,62.0,62.09,226700
37,2021-08-03,62.28,62.64,62.59,62.21,62.59,189500
38,2021-08-04,62.67,62.91,62.72,62.57,62.72,102400
39,2021-08-05,62.57,62.82,62.66,62.57,62.66,116900
40,2021-08-06,62.31,62.44,62.18,62.09,62.18,106300
41,2021-08-09,62.54,62.65,62.5,62.48,62.5,139400
42,2021-08-10,62.74,62.8,62.69,62.63,62.69,78400
43,2021-08-11,62.98,62.98,62.82,62.62,62.82,72900
44,2021-08-12,62.37,62.55,62.49,62.28,62.49,100900
45,2021-08-13,62.21,62.53,62.52,62.21,62.52,82400
46,2021-08-16,62.32,62.48,62.43,62.12,62.43,153600
47,2021-08-17,61.78,62.17,61.94,61.59,61.94,208700
48,2021-08-18,62.12,62.33,61.89,61.89,61.89,105200
49,2021-08-19,61.39,61.73,61.55,61.35,61.55,102200
50,2021-08-20,61.16,61.7,61.62,61.16,61.62,853800
51,2021-08-23,61.95,62.27,62.2,61.93,62.2,166300
52,2021-08-24,62.55,62.84,62.78,62.39,62.78,127400
53,2021-08-25,62.61,62.81,62.72,62.57,62.72,622900
54,2021-08-26,62.39,62.51,62.34,62.29,62.34,92000
55,2021-08-27,62.6,63.03,62.96,62.58,62.96,184700
56,2021-08-30,63.13,63.34,63.21,62.95,63.21,141300
57,2021-08-31,63.88,63.97,63.88,63.78,63.88,211800
58,2021-09-01,63.95,64.3,64.13,63.95,64.13,539200
59,2021-09-02,64.01,64.34,64.11,63.98,64.11,102900
60,2021-09-03,64.14,64.42,64.3,64.14,64.3,98100
61,2021-09-07,64.28,64.56,64.43,64.28,64.43,140379
