,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,6.81,6.81,6.44,6.33,6.44,184615
1,2021-06-11,6.44,6.55,6.54,6.36,6.54,77812
2,2021-06-14,6.49,6.59,6.49,6.44,6.49,52025
3,2021-06-15,6.47,6.64,6.44,6.35,6.44,46335
4,2021-06-16,6.43,6.49,6.37,6.26,6.37,48691
5,2021-06-17,6.41,6.7,6.29,6.26,6.29,71066
6,2021-06-18,6.25,6.32,6.19,6.18,6.19,26216
7,2021-06-21,6.15,6.3949,6.34,6.1356,6.34,36228
8,2021-06-22,6.46,6.46,6.19,6.0,6.19,85910
9,2021-06-23,6.2,6.29,6.18,6.18,6.18,29716
10,2021-06-24,6.21,6.4,6.19,6.11,6.19,82868
11,2021-06-25,6.16,6.18,6.08,6.02,6.08,76446
12,2021-06-28,6.18,6.18,6.01,6.01,6.01,61620
13,2021-06-29,6.08,6.1983,6.07,5.96,6.07,63419
14,2021-06-30,6.03,6.17,6.07,6.0,6.07,79003
15,2021-07-01,6.08,6.09,6.02,6.0,6.02,52773
16,2021-07-02,6.02,6.03,5.83,5.83,5.83,323858
17,2021-07-06,5.82,5.9,5.62,5.62,5.62,92546
18,2021-07-07,5.68,5.68,5.31,5.25,5.31,103463
19,2021-07-08,5.16,5.2715,5.17,5.0686,5.17,106956
20,2021-07-09,5.34,5.34,5.2,5.1,5.2,62115
21,2021-07-12,5.21,5.2913,5.24,5.2,5.24,37261
22,2021-07-13,5.25,5.31,5.31,5.19,5.31,124024
23,2021-07-14,5.42,5.57,5.51,5.35,5.51,53572
24,2021-07-15,5.5,5.99,5.66,5.5,5.66,143633
25,2021-07-16,5.68,5.9,5.5,5.42,5.5,36007
26,2021-07-19,5.35,5.52,5.47,5.2,5.47,61658
27,2021-07-20,5.47,5.86,5.86,5.4601,5.86,34658
28,2021-07-21,5.78,5.9,5.64,5.56,5.64,51327
29,2021-07-22,5.64,5.68,5.62,5.53,5.62,13695
30,2021-07-23,5.6,5.6,5.04,5.01,5.04,138246
31,2021-07-26,5.0,5.0,4.82,4.685,4.82,63871
32,2021-07-27,4.76,4.91,4.16,4.15,4.16,126203
33,2021-07-28,4.35,4.39,4.28,4.11,4.28,84303
34,2021-07-29,4.4,4.495,4.41,4.24,4.41,33350
35,2021-07-30,4.36,4.3842,4.25,4.25,4.25,44189
36,2021-08-02,4.36,4.45,4.24,4.19,4.24,71859
37,2021-08-03,4.24,4.26,4.17,4.1,4.17,55683
38,2021-08-04,4.05,4.15,3.71,3.71,3.71,156451
39,2021-08-05,3.75,3.95,3.69,3.68,3.69,42645
40,2021-08-06,3.75,3.76,3.435,3.4,3.435,85918
41,2021-08-09,3.5,3.5499,3.5,3.38,3.5,76335
42,2021-08-10,3.57,3.57,3.42,3.4,3.42,29668
43,2021-08-11,3.43,3.4942,3.29,3.28,3.29,91458
44,2021-08-12,3.34,3.49,3.18,3.0962,3.18,77146
45,2021-08-13,3.14,3.28,3.06,3.06,3.06,53928
46,2021-08-16,3.02,3.16,2.94,2.91,2.94,36636
47,2021-08-17,2.91,3.08,2.96,2.85,2.96,79629
48,2021-08-18,2.96,3.0999,2.92,2.9,2.92,51963
49,2021-08-19,2.85,2.98,2.86,2.85,2.86,76171
50,2021-08-20,2.83,2.95,2.84,2.83,2.84,111776
51,2021-08-23,3.03,3.03,2.89,2.7,2.89,184101
52,2021-08-24,2.938,3.27,3.25,2.9244,3.25,118288
53,2021-08-25,3.2,3.2,2.85,2.84,2.85,228734
54,2021-08-26,3.02,3.05,3.0,2.91,3.0,132802
55,2021-08-27,2.99,3.17,2.95,2.95,2.95,78649
56,2021-08-30,2.95,3.03,2.88,2.86,2.88,35208
57,2021-08-31,2.9,2.9589,2.87,2.85,2.87,52288
58,2021-09-01,2.91,3.17,3.12,2.87,3.12,107603
59,2021-09-02,3.2,3.24,3.22,3.08,3.22,74253
60,2021-09-03,3.24,3.32,3.08,3.06,3.08,64678
61,2021-09-07,3.11,3.18,3.18,3.06,3.18,56883
