,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,10.0,10.16,10.11,10.0,10.11,27700
1,2021-06-11,10.173,10.18,10.18,10.14,10.18,5800
2,2021-06-14,10.156,10.16,10.16,10.14,10.16,4500
3,2021-06-15,10.12,10.125,10.12,10.12,10.12,5200
4,2021-06-16,10.14,10.16,10.124,10.12,10.124,11000
5,2021-06-17,10.12,10.16,10.15,10.1,10.15,3900
6,2021-06-18,10.15,10.15,10.11,10.11,10.11,2500
7,2021-06-21,10.11,10.11,10.09,10.09,10.09,500
8,2021-06-22,10.18,10.18,10.03,10.03,10.03,1400
9,2021-06-23,10.07,10.08,10.075,10.07,10.075,4900
10,2021-06-24,10.3,10.33,10.27,10.26,10.27,644500
11,2021-06-25,10.42,10.42,10.33,10.32,10.33,263600
12,2021-06-28,10.35,10.35,10.33,10.3,10.33,29600
13,2021-06-29,10.3,10.33,10.32,10.3,10.32,18100
14,2021-06-30,10.45,10.45,10.26,10.26,10.26,92000
15,2021-07-01,10.247,10.28,10.27,10.24,10.27,33700
16,2021-07-02,10.317,10.317,10.29,10.26,10.29,14000
17,2021-07-06,10.25,10.3,10.3,10.25,10.3,3600
18,2021-07-07,10.3,10.3,10.29,10.28,10.29,4900
19,2021-07-08,10.23,10.3,10.29,10.23,10.29,18600
20,2021-07-09,10.3,10.31,10.28,10.27,10.28,79700
21,2021-07-12,10.31,10.32,10.32,10.29,10.32,148800
22,2021-07-13,10.32,10.34,10.32,10.3,10.32,18500
23,2021-07-14,10.3,10.3,10.3,10.3,10.3,100
24,2021-07-15,10.27,10.27,10.26,10.245,10.26,67300
25,2021-07-16,10.26,10.279,10.27,10.26,10.27,11900
26,2021-07-19,10.295,10.295,10.295,10.295,10.295,200
27,2021-07-20,10.27,10.27,10.27,10.25,10.27,23400
28,2021-07-21,10.28,10.33,10.3,10.27,10.3,28600
29,2021-07-22,10.3,10.3,10.28,10.26,10.28,28200
30,2021-07-23,10.33,10.34,10.34,10.293,10.34,36900
31,2021-07-26,10.34,10.35,10.35,10.3,10.35,47300
32,2021-07-27,10.3,10.3,10.3,10.3,10.3,1500
33,2021-07-28,10.3,10.36,10.34,10.3,10.34,49400
34,2021-07-29,10.33,10.34,10.34,10.262,10.34,48000
35,2021-07-30,10.3,10.37,10.37,10.3,10.37,1800
36,2021-08-02,10.41,10.41,10.345,10.3,10.345,2700
37,2021-08-03,10.31,10.31,10.31,10.31,10.31,200
38,2021-08-04,10.27,10.27,10.25,10.25,10.25,12500
39,2021-08-05,10.26,10.26,10.26,10.24,10.26,40800
40,2021-08-06,10.26,10.26,10.26,10.26,10.26,11000
41,2021-08-09,10.25,10.25,10.2,10.2,10.2,11400
42,2021-08-10,10.25,10.3,10.3,10.25,10.3,40700
43,2021-08-11,10.305,10.35,10.35,10.26,10.35,17600
44,2021-08-12,10.31,10.32,10.32,10.31,10.32,800
45,2021-08-13,10.32,10.32,10.26,10.26,10.26,177100
46,2021-08-16,10.32,10.32,10.32,10.276,10.32,29300
47,2021-08-17,10.32,10.32,10.32,10.32,10.32,0
48,2021-08-18,10.301,10.301,10.3,10.28,10.3,29200
49,2021-08-19,10.39,10.39,10.23,10.205,10.23,143400
50,2021-08-20,10.15,10.25,10.25,10.15,10.25,23700
51,2021-08-23,10.25,10.25,10.22,10.22,10.22,10300
52,2021-08-24,10.146,10.146,10.135,10.135,10.135,3100
53,2021-08-25,10.25,10.25,10.158,10.158,10.158,680
54,2021-08-26,10.185,10.185,10.185,10.185,10.185,600
55,2021-08-27,10.197,10.26,10.26,10.197,10.26,18900
56,2021-08-30,10.26,10.26,10.23,10.23,10.23,7200
57,2021-08-31,10.25,10.26,10.24,10.22,10.24,156300
58,2021-09-01,10.25,10.25,10.21,10.19,10.21,402300
59,2021-09-02,10.21,10.21,10.21,10.21,10.21,0
60,2021-09-03,10.21,10.21,10.21,10.21,10.21,0
61,2021-09-07,10.25,10.3,10.29,10.25,10.29,21167
