Date,Open,High,Low,Close,AdjustedClose,Volume
2016-04-21,6.46,6.61,6,6.55,6.55,58800
2016-04-22,6.59,6.81,6.55,6.7,6.7,35763
2016-04-25,6.66,6.66,6.32,6.48,6.48,35396
2016-04-26,6.41,6.45,6.25,6.34,6.34,21032
2016-04-27,6.66,6.66,5.7,6.18,6.18,453214
2016-04-28,6.14,6.26,5.91,6.11,6.11,239926
2016-04-29,6,6.47,5.93,6.37,6.37,1304799
2016-05-02,6.28,6.29,6.04,6.14,6.14,378273
2016-05-03,6.12,6.25,6.03,6.2,6.2,441216
2016-05-04,6.1,6.15,5.83,6.04,6.04,3040649
2016-05-05,6.01,6.16,5.98,6.02,6.02,1465320
2016-05-06,6.02,6.17,5.95,5.96,5.96,395505
2016-05-09,5.85,6.02,5.81,5.9,5.9,457552
2016-05-10,5.9,5.98,5.875,5.9,5.9,626901
2016-05-11,5.88,6.04,5.825,5.93,5.93,435293
2016-05-12,5.95,6.04,5.9,5.92,5.92,145380
2016-05-13,5.73,5.89,5.6,5.65,5.65,237554
2016-05-16,5.55,5.78,5.33,5.55,5.55,1045266
2016-05-17,5.38,5.66,5.33,5.63,5.63,656607
2016-05-18,5.69,5.75,5.45,5.45,5.45,456687
2016-05-19,5.32,5.5,5.32,5.45,5.45,411545
2016-05-20,5.39,5.535,5.36,5.42,5.42,288185
2016-05-23,5.48,5.48,5.25,5.31,5.31,553640
2016-05-24,5.22,5.57,5.22,5.36,5.36,1109354
2016-05-25,5.34,5.67,5.34,5.57,5.57,648459
2016-05-26,5.57,5.6,5.51,5.55,5.55,951348
2016-05-27,5.55,5.57,5.51,5.56,5.56,498528
2016-05-31,5.52,5.73,5.45,5.68,5.68,1854941
2016-06-01,5.66,5.73,5.56,5.73,5.73,906927
2016-06-02,5.74,5.74,5.64,5.68,5.68,949970
2016-06-03,5.67,5.76,5.62,5.74,5.74,1410917
2016-06-06,5.72,5.79,5.67,5.73,5.73,388255
2016-06-07,5.65,5.79,5.6,5.75,5.75,490703
2016-06-08,5.8,5.82,5.73,5.79,5.79,445852
2016-06-09,5.71,5.78,5.6,5.67,5.67,897196
2016-06-10,5.66,5.67,5.52,5.53,5.53,443529
2016-06-13,5.5,5.5,5.39,5.47,5.47,664364
2016-06-14,5.42,5.47,5.32,5.38,5.38,698045
2016-06-15,5.35,5.47,5.35,5.45,5.45,250191
2016-06-16,5.38,5.48,5.24,5.46,5.46,552175
2016-06-17,5.39,5.61,5.39,5.59,5.59,393977
2016-06-20,5.55,5.715,5.55,5.68,5.68,268880
2016-06-21,5.6,5.71,5.56,5.6,5.6,357573
2016-06-22,5.58,5.72,5.55,5.64,5.64,378454
2016-06-23,5.74,5.89,5.6,5.74,5.74,264131
2016-06-24,5.57,5.685,5.5,5.65,5.65,236576
2016-06-27,5.59,5.59,5.29,5.51,5.51,489219
2016-06-28,5.55,5.8,5.54,5.75,5.75,280415
2016-06-29,5.69,5.8411,5.67,5.77,5.77,319828
2016-06-30,5.7,5.88,5.65,5.83,5.83,190211
2016-07-01,5.8,5.89,5.63,5.75,5.75,154185
2016-07-05,5.7,5.77,5.62,5.74,5.74,118878
2016-07-06,5.66,5.84,5.64,5.82,5.82,309103
2016-07-07,5.72,5.8,5.64,5.71,5.71,97913
2016-07-08,5.77,5.8,5.61,5.63,5.63,9595061
2016-07-11,5.67,5.83,5.62,5.74,5.74,210122
2016-07-12,5.75,5.84,5.735,5.76,5.76,355775
2016-07-13,5.7,5.86,5.66,5.78,5.78,362000
2016-07-14,5.76,5.905,5.59,5.79,5.79,325838
2016-07-15,5.73,5.87,5.73,5.79,5.79,1329156
2016-07-18,5.73,5.94,5.69,5.92,5.92,153893
2016-07-19,5.89,5.97,5.8,5.86,5.86,658186
2016-07-20,5.78,5.91,5.75,5.78,5.78,1151569
2016-07-21,5.84,5.9,5.78,5.82,5.82,446389
2016-07-22,5.77,5.92,5.7,5.85,5.85,404623
2016-07-25,5.92,5.92,5.75,5.81,5.81,405009
2016-07-26,5.8,5.8197,5.69,5.76,5.76,290885
2016-07-27,5.72,5.76,5.63,5.7,5.7,409443
2016-07-28,5.72,5.75,5.6,5.73,5.73,471603
2016-07-29,5.67,5.8,5.66,5.74,5.74,323212
2016-08-01,5.72,5.78,5.66,5.73,5.73,432912
2016-08-02,5.65,5.77,5.65,5.75,5.75,172161
2016-08-03,5.72,5.89,5.71,5.87,5.87,142919
2016-08-04,5.85,5.91,5.81,5.88,5.88,126982
2016-08-05,5.86,5.92,5.85,5.91,5.91,585409
2016-08-08,5.91,6.08,5.85,5.99,5.99,1112775
2016-08-09,6.03,6.03,5.92,5.96,5.96,269812
2016-08-10,6,6,5.91,5.95,5.95,329604
2016-08-11,5.97,6.03,5.91,5.96,5.96,123892
2016-08-12,6,6.054,5.82,5.85,5.85,297968
2016-08-15,5.88,5.9,5.64,5.7,5.7,715955
2016-08-16,5.73,5.81,5.51,5.53,5.53,955079
2016-08-17,5.53,5.53,5.27,5.27,5.27,917554
2016-08-18,5.28,5.55,5.28,5.46,5.46,1038595
2016-08-19,5.42,5.56,5.38,5.38,5.38,491964
2016-08-22,5.44,5.49,5.34,5.46,5.46,283252
2016-08-23,5.48,5.53,5.44,5.46,5.46,634621
2016-08-24,5.48,5.52,5.41,5.49,5.49,883123
2016-08-25,5.5,5.62,5.39,5.56,5.56,259595
2016-08-26,5.57,5.591,5.42,5.49,5.49,247378
2016-08-29,5.52,5.56,5.43,5.48,5.48,143530
2016-08-30,5.52,5.54,5.44,5.52,5.52,1017503
2016-08-31,5.48,5.51,5.31,5.42,5.42,339841
2016-09-01,5.45,5.48,5.295,5.35,5.35,166169
2016-09-02,5.41,5.455,5.31,5.42,5.42,206008
2016-09-06,5.41,5.42,5.32,5.38,5.38,161011
2016-09-07,5.42,5.42,5.265,5.34,5.34,135166
2016-09-08,5.36,5.39,5.27,5.33,5.33,210419
2016-09-09,5.32,5.37,5.22,5.25,5.25,353662
2016-09-12,5.26,5.33,5.15,5.31,5.31,162807
2016-09-13,5.23,5.25,5.145,5.18,5.18,329825
2016-09-14,5.2,5.2,5.1,5.1,5.1,197728
2016-09-15,5.12,5.22,5.01,5.07,5.07,428932
2016-09-16,5.06,5.14,4.96,5.05,5.05,289438
2016-09-19,5.04,5.1,4.88,4.98,4.98,339612
2016-09-20,4.96,5.17,4.95,5.12,5.12,283811
2016-09-21,5.1,5.26,5.05,5.25,5.25,225747
2016-09-22,5.24,5.2712,5.17,5.24,5.24,148724
2016-09-23,5.22,5.29,5.15,5.18,5.18,316391
