Date,Open,High,Low,Close,AdjustedClose,Volume
1980-03-17,11.25,11.375,11.25,11.25,11.25,73100
1980-03-18,11.5,11.5,11.25,11.5,11.5,77500
1980-03-19,11.5,11.5,11.375,11.5,11.5,99900
1980-03-20,11.25,11.5,11.25,11.25,11.25,106700
1980-03-21,10.75,11.375,10.75,10.75,10.75,301500
1980-03-24,10.75,10.875,10.625,10.75,10.75,93000
1980-03-25,10.75,11,10.75,10.75,10.75,120700
1980-03-26,10.75,10.875,10.75,10.75,10.75,89200
1980-03-27,10.5,10.875,10.5,10.5,10.5,407800
1980-03-28,10.875,10.875,10.5,10.875,10.875,128100
1980-03-31,11,11,10.875,11,11,145300
1980-04-01,11.25,11.375,11,11.25,11.25,143600
1980-04-02,11.875,11.875,11.375,11.875,11.875,166900
1980-04-03,11.75,12,11.75,11.75,11.75,130800
1980-04-07,11.625,12,11.625,11.625,11.625,109600
1980-04-08,11.375,11.5,11.25,11.375,11.375,119900
1980-04-09,11.5,11.625,11.25,11.5,11.5,176900
1980-04-10,12.25,12.25,11.625,12.25,12.25,131400
1980-04-11,12.375,12.625,12.25,12.375,12.375,170100
1980-04-14,12,12.5,12,12,12,206600
1980-04-15,12.125,12.25,11.875,12.125,12.125,110600
1980-04-16,12.5,12.5,12,12.5,12.5,276300
1980-04-17,12.875,12.875,12.625,12.875,12.875,155500
1980-04-18,13,13,12.875,13,13,159500
1980-04-21,13,13.25,13,13,13,98200
1980-04-22,12.875,13.125,12.75,12.875,12.875,227200
1980-04-23,12.75,13,12.75,12.75,12.75,167300
1980-04-24,12.75,12.75,12.25,12.75,12.75,96800
1980-04-25,12.625,12.75,12.5,12.625,12.625,123100
1980-04-28,12.5,12.625,12.375,12.5,12.5,66400
1980-04-29,12.375,12.5,12.375,12.375,12.375,63200
1980-04-30,12.75,12.75,12.25,12.75,12.75,647200
1980-05-01,12.875,12.875,12.75,12.875,12.875,250600
1980-05-02,13,13,12.75,13,13,260800
1980-05-05,13.375,13.375,13,13.375,13.375,230400
1980-05-06,13.375,13.5,13.25,13.375,13.375,159500
1980-05-07,13.75,13.875,13.5,13.75,13.75,389300
1980-05-08,13.5,13.75,13.5,13.5,13.5,207300
1980-05-09,13.375,13.5,13.125,13.375,13.375,121400
1980-05-12,13.125,13.375,13.125,13.125,13.125,91700
1980-05-13,13.625,13.75,13.125,13.625,13.625,187400
1980-05-14,13.5,13.625,13.375,13.5,13.5,144200
1980-05-15,13.5,13.625,13.375,13.5,13.5,185000
1980-05-16,13.25,13.375,13.125,13.25,13.25,153800
1980-05-19,13.125,13.25,13.125,13.125,13.125,82300
1980-05-20,13.25,13.375,13.125,13.25,13.25,265900
1980-05-21,13.5,13.5,13,13.5,13.5,151900
1980-05-22,13.5,13.625,13.5,13.5,13.5,98700
1980-05-23,13.875,13.875,13.625,13.875,13.875,87300
1980-05-27,13.75,13.875,13.625,13.75,13.75,139300
1980-05-28,14,14,13.625,14,14,238300
1980-05-29,13.5,14,13.375,13.5,13.5,280100
1980-05-30,13.375,13.5,13.25,13.375,13.375,209300
1980-06-02,13.625,13.75,13.125,13.625,13.625,263600
1980-06-03,12.75,12.875,12.375,12.75,12.75,292100
1980-06-04,12.75,12.875,12.625,12.75,12.75,139300
1980-06-05,12.75,12.875,12.75,12.75,12.75,114500
1980-06-06,12.875,12.875,12.75,12.875,12.875,121000
1980-06-09,13,13,12.875,13,13,122800
1980-06-10,13.25,13.25,13,13.25,13.25,122000
1980-06-11,13,13.25,13,13,13,108800
1980-06-12,13,13.25,13,13,13,256200
1980-06-13,13.375,13.375,13.25,13.375,13.375,188300
1980-06-16,13.5,13.5,13.125,13.5,13.5,305800
1980-06-17,13.625,13.75,13.375,13.625,13.625,308200
1980-06-18,13.75,14.25,13.625,13.75,13.75,193900
1980-06-19,13.5,13.75,13.5,13.5,13.5,184400
1980-06-20,13.625,13.75,13.625,13.625,13.625,117700
1980-06-23,13.625,13.75,13.625,13.625,13.625,103300
1980-06-24,13.75,13.875,13.75,13.75,13.75,119200
1980-06-25,13.75,13.875,13.625,13.75,13.75,130600
1980-06-26,13.625,13.75,13.5,13.625,13.625,102300
1980-06-27,13.5,13.75,13.5,13.5,13.5,102500
1980-06-30,13.5,13.625,13.5,13.5,13.5,81800
1980-07-01,13.5,13.5,13.375,13.5,13.5,152300
1980-07-02,13.5,13.5,13.375,13.5,13.5,115300
1980-07-03,13.5,13.625,13.25,13.5,13.5,160500
1980-07-07,13.375,13.5,13.25,13.375,13.375,105700
1980-07-08,13.375,13.5,13.25,13.375,13.375,212400
