,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,14.22,14.22,14.19,14.13,13.9305,206352
1,2021-06-11,14.26,14.29,14.29,14.21,14.0287,245261
2,2021-06-14,14.35,14.36,14.28,14.24,14.0189,401783
3,2021-06-15,14.3,14.3,14.23,14.18,13.9698,290333
4,2021-06-16,14.21,14.28,14.22,14.17,13.96,229999
5,2021-06-17,14.22,14.28,14.11,14.1041,13.852,251425
6,2021-06-18,14.07,14.09,13.9,13.74,13.6458,547380
7,2021-06-21,13.9,13.99,13.91,13.9,13.6556,305719
8,2021-06-22,13.83,13.93,13.85,13.83,13.6796,184978
9,2021-06-23,13.85,13.94,13.89,13.8,13.7191,199010
10,2021-06-24,14.04,14.04,13.93,13.91,13.7586,175629
11,2021-06-25,13.98,14.05,13.99,13.9321,13.8179,175289
12,2021-06-28,14.0,14.1,14.08,14.0,13.9068,157826
13,2021-06-29,14.07,14.11,14.06,14.03,13.887,196875
14,2021-06-30,14.1,14.16,14.07,14.07,13.8969,279380
15,2021-07-01,14.14,14.185,14.11,14.11,13.9364,211449
16,2021-07-02,14.13,14.19,14.13,14.13,13.9562,134446
17,2021-07-06,14.18,14.18,14.16,14.07,13.9858,150002
18,2021-07-07,14.17,14.21,14.19,14.08,14.0154,228038
19,2021-07-08,14.1,14.18,14.05,13.99,13.8772,298104
20,2021-07-09,14.15,14.2265,14.13,14.12,13.9562,233191
21,2021-07-12,14.14,14.18,14.14,14.11,13.9661,249532
22,2021-07-13,14.14,14.41,14.35,14.14,14.1735,312145
23,2021-07-14,14.4,14.51,14.36,14.36,14.1834,295214
24,2021-07-15,14.38,14.38,14.2,14.2,14.0253,251442
25,2021-07-16,14.24,14.3167,14.29,14.23,14.1142,172495
26,2021-07-19,14.18,14.24,14.17,14.0501,13.9957,355760
27,2021-07-20,14.21,14.4198,14.37,14.17,14.1932,190945
28,2021-07-21,14.4,14.42,14.34,14.3299,14.1636,256672
29,2021-07-22,14.25,14.27,14.17,14.12,14.0785,246722
30,2021-07-23,14.25,14.3,14.27,14.2,14.1778,208538
31,2021-07-26,14.23,14.2899,14.2,14.16,14.1083,216769
32,2021-07-27,14.2,14.205,14.15,14.09,14.0586,175108
33,2021-07-28,14.18,14.21,14.19,14.1046,14.0983,146671
34,2021-07-29,14.21,14.34,14.34,14.19,14.2474,206345
35,2021-07-30,14.32,14.3579,14.3,14.27,14.2076,225741
36,2021-08-02,14.31,14.35,14.03,14.03,13.9394,663003
37,2021-08-03,14.1,14.25,14.25,14.08,14.1579,284019
38,2021-08-04,14.24,14.32,14.25,14.21,14.1579,195038
39,2021-08-05,14.32,14.3499,14.31,14.26,14.2176,263447
40,2021-08-06,14.36,14.47,14.47,14.3201,14.3765,212893
41,2021-08-09,14.47,14.4968,14.39,14.37,14.297,250271
42,2021-08-10,14.44,14.48,14.44,14.39,14.3467,207494
43,2021-08-11,14.48,14.5,14.47,14.42,14.3765,211208
44,2021-08-12,14.49,14.49,14.46,14.38,14.3666,286054
45,2021-08-13,14.45,14.5,14.48,14.45,14.3865,171468
46,2021-08-16,14.47,14.49,14.47,14.38,14.3765,210023
47,2021-08-17,14.45,14.52,14.47,14.41,14.3765,287525
48,2021-08-18,14.47,14.53,14.46,14.44,14.3666,246691
49,2021-08-19,14.35,14.44,14.36,14.31,14.2672,346099
50,2021-08-20,14.42,14.48,14.38,14.38,14.2871,264562
51,2021-08-23,14.31,14.39,14.37,14.22,14.37,154676
52,2021-08-24,14.42,14.43,14.38,14.38,14.38,190930
53,2021-08-25,14.42,14.4399,14.42,14.3901,14.42,142384
54,2021-08-26,14.43,14.45,14.36,14.36,14.36,158835
55,2021-08-27,14.4,14.55,14.5,14.3803,14.5,288132
56,2021-08-30,14.51,14.52,14.52,14.46,14.52,245900
57,2021-08-31,14.54,14.6,14.6,14.5,14.6,217400
58,2021-09-01,14.59,14.6,14.51,14.51,14.51,265700
59,2021-09-02,14.53,14.58,14.5,14.49,14.5,176500
60,2021-09-03,14.51,14.61,14.61,14.48,14.61,156300
61,2021-09-07,14.55,14.61,14.56,14.48,14.56,228536
