,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,63.36,64.22,64.01,63.05,63.5128,658304
1,2021-06-11,63.78,64.22,64.19,63.53,63.6914,923738
2,2021-06-14,64.36,64.42,63.92,63.76,63.4235,903123
3,2021-06-15,64.04,64.9,64.52,63.79,64.0188,951873
4,2021-06-16,65.32,65.64,64.22,64.1,63.7211,2309673
5,2021-06-17,64.18,64.93,64.48,64.13,63.9791,1126541
6,2021-06-18,64.22,64.22,62.54,62.5,62.0542,1990461
7,2021-06-21,62.59,63.78,63.71,62.265,63.2151,1305254
8,2021-06-22,62.26,63.085,61.88,61.81,61.3993,2212815
9,2021-06-23,61.88,61.88,61.08,60.9,60.6055,1662048
10,2021-06-24,61.0,61.685,61.38,60.81,60.9032,1091394
11,2021-06-25,61.24,61.8,61.66,61.14,61.181,1485672
12,2021-06-28,61.89,62.25,61.72,61.52,61.2405,991701
13,2021-06-29,61.71,62.09,60.64,60.365,60.1689,1047388
14,2021-06-30,60.59,60.79,60.43,60.11,59.9606,797781
15,2021-07-01,60.67,61.73,61.39,60.46,60.9131,669741
16,2021-07-02,61.39,61.72,61.58,61.12,61.1016,519898
17,2021-07-06,61.34,61.79,61.71,60.79,61.2306,878785
18,2021-07-07,61.89,61.89,61.82,61.08,61.3398,895010
19,2021-07-08,61.56,62.08,61.81,60.77,61.3298,830115
20,2021-07-09,61.86,62.01,61.79,60.95,61.31,1384754
21,2021-07-12,61.67,62.08,61.9,61.46,61.4191,939884
22,2021-07-13,61.75,62.15,61.49,61.24,61.0123,627394
23,2021-07-14,61.57,62.78,62.31,61.1,61.826,1041808
24,2021-07-15,62.02,63.42,63.23,62.02,62.7388,1148756
25,2021-07-16,63.42,64.8,64.56,63.12,64.0585,1651595
26,2021-07-19,64.195,64.715,64.11,63.4,63.612,2679016
27,2021-07-20,64.41,64.74,64.0,63.7,63.5028,2488395
28,2021-07-21,64.0,64.43,63.91,63.73,63.4135,1302254
29,2021-07-22,63.98,64.31,64.14,63.375,63.6417,1322467
30,2021-07-23,64.14,65.09,65.08,63.86,64.5744,1342809
31,2021-07-26,64.94,65.26,65.15,64.45,64.6439,1695108
32,2021-07-27,65.11,66.53,66.3,64.82,65.785,1202829
33,2021-07-28,66.3,66.3,65.21,64.97,64.7034,1054725
34,2021-07-29,65.23,65.775,65.36,65.17,64.8523,1085107
35,2021-07-30,65.23,65.87,65.22,65.02,64.7134,2449494
36,2021-08-02,65.65,66.17,65.81,65.12,65.2988,922489
37,2021-08-03,65.92,66.45,66.38,65.62,65.8643,877740
38,2021-08-04,66.08,66.34,66.24,65.495,65.7254,1249420
39,2021-08-05,66.87,67.09,67.05,66.12,66.5291,1180783
40,2021-08-06,67.01,67.3,66.72,66.655,66.2017,886608
41,2021-08-09,66.72,67.055,66.74,66.41,66.2215,850009
42,2021-08-10,66.67,67.14,66.92,66.4,66.4001,686646
43,2021-08-11,67.02,67.83,67.55,66.87,67.0253,1185211
44,2021-08-12,67.58,67.7,67.41,67.23,66.8863,1016034
45,2021-08-13,67.42,68.14,68.1,67.38,67.571,905489
46,2021-08-16,68.23,69.0,68.8,68.11,68.2655,1153200
47,2021-08-17,68.75,69.06,68.97,68.38,68.4342,1392700
48,2021-08-18,68.91,69.2,68.87,68.43,68.335,2106400
49,2021-08-19,68.37,68.93,68.6,68.21,68.6,1897600
50,2021-08-20,68.4,69.29,69.26,68.2,69.26,1475500
51,2021-08-23,69.24,69.32,68.91,68.52,68.91,1577800
52,2021-08-24,68.91,68.93,68.48,67.97,68.48,1669800
53,2021-08-25,68.41,69.08,68.86,68.18,68.86,1143800
54,2021-08-26,68.88,69.14,69.11,68.68,69.11,1651900
55,2021-08-27,69.18,69.45,68.31,68.25,68.31,1448100
56,2021-08-30,68.15,68.61,67.91,67.84,67.91,936400
57,2021-08-31,67.9,68.63,68.45,67.84,68.45,1827200
58,2021-09-01,68.57,68.82,68.62,68.13,68.62,947600
59,2021-09-02,68.73,69.18,68.95,68.62,68.95,1018300
60,2021-09-03,68.92,69.09,68.5,68.27,68.5,903800
61,2021-09-07,68.38,68.45,67.23,67.11,67.23,1167242
