,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,28.29,28.37,28.27,28.27,27.8103,74853
1,2021-06-11,28.31,28.36,28.21,28.13,27.7513,77358
2,2021-06-14,28.23,28.33,28.2,28.1681,27.7414,86278
3,2021-06-15,28.15,28.2,28.11,28.08,27.6529,60524
4,2021-06-16,28.11,28.2,27.93,27.8035,27.4758,69283
5,2021-06-17,27.97,28.07,27.81,27.8,27.3578,60063
6,2021-06-18,27.8,27.8495,27.12,27.05,26.679,147016
7,2021-06-21,27.25,27.64,27.6,27.25,27.1512,93898
8,2021-06-22,27.63,27.67,27.5,27.35,27.1957,67104
9,2021-06-23,27.59,27.64,27.53,27.42,27.2254,53304
10,2021-06-24,27.59,27.7,27.62,27.5401,27.3144,73496
11,2021-06-25,27.7,27.8,27.57,27.57,27.2649,51246
12,2021-06-28,27.63,27.79,27.62,27.59,27.3144,52530
13,2021-06-29,27.72,27.72,27.58,27.5,27.2748,61160
14,2021-06-30,27.63,27.78,27.64,27.53,27.3341,96354
15,2021-07-01,27.7,27.8799,27.79,27.7,27.4825,61883
16,2021-07-02,27.85,28.0,28.0,27.5994,27.6902,64846
17,2021-07-06,28.13,28.14,28.1,27.77,27.789,101559
18,2021-07-07,28.17,28.17,28.0,27.9,27.6902,76332
19,2021-07-08,27.87,27.87,27.64,27.49,27.3341,110538
20,2021-07-09,27.67,28.07,27.94,27.62,27.6308,71544
21,2021-07-12,27.87,28.0337,27.88,27.76,27.5715,162128
22,2021-07-13,27.82,27.9,27.72,27.63,27.4133,116434
23,2021-07-14,27.88,27.9787,27.82,27.7075,27.5121,89228
24,2021-07-15,27.86,27.9999,27.69,27.61,27.3836,122334
25,2021-07-16,27.82,27.82,27.56,27.13,27.255,525384
26,2021-07-19,27.33,27.43,26.88,26.55,26.5825,168101
27,2021-07-20,26.88,27.38,27.31,26.82,27.0078,115944
28,2021-07-21,27.45,27.61,27.51,27.45,27.2056,59498
29,2021-07-22,27.44,27.6599,27.21,27.09,27.0515,89727
30,2021-07-23,27.27,27.53,27.39,27.27,27.2304,70608
31,2021-07-26,27.41,27.4416,27.39,27.24,27.2304,74448
32,2021-07-27,27.27,27.35,27.15,27.12,26.9918,58059
33,2021-07-28,27.28,27.28,27.21,27.1169,27.0515,90016
34,2021-07-29,27.2,27.55,27.51,27.08,27.3497,162787
35,2021-07-30,27.58,27.59,27.49,27.37,27.3298,103277
36,2021-08-02,27.67,27.69,27.42,27.39,27.2603,125558
37,2021-08-03,27.42,27.7,27.64,27.26,27.479,114528
38,2021-08-04,27.64,27.85,27.58,27.46,27.4193,107687
39,2021-08-05,27.61,27.84,27.79,27.58,27.6281,93023
40,2021-08-06,27.91,27.99,27.91,27.85,27.7474,99984
41,2021-08-09,28.01,28.13,28.06,27.99,27.8965,104741
42,2021-08-10,28.08,28.3,28.05,27.89,27.8866,117394
43,2021-08-11,28.2,28.37,28.26,28.1001,28.0954,100566
44,2021-08-12,28.34,28.4,28.39,28.26,28.2246,103762
45,2021-08-13,28.42,28.61,28.59,28.38,28.4234,64237
46,2021-08-16,28.56,28.8,28.77,28.46,28.6024,64999
47,2021-08-17,28.76,28.76,28.34,28.12,28.1749,185908
48,2021-08-18,28.36,28.405,27.97,27.86,27.8071,113171
49,2021-08-19,27.75,27.95,27.75,27.71,27.5883,128698
50,2021-08-20,27.84,28.12,27.91,27.84,27.7474,81828
51,2021-08-23,27.93,28.089,27.89,27.85,27.89,82550
52,2021-08-24,28.1,28.44,28.4,28.065,28.4,139545
53,2021-08-25,28.5,28.65,28.36,28.34,28.36,119998
54,2021-08-26,28.38,28.43,28.171,28.12,28.171,74412
55,2021-08-27,28.23,28.52,28.37,28.23,28.37,53500
56,2021-08-30,28.4,28.49,28.43,28.3283,28.43,66238
57,2021-08-31,28.5,28.575,28.54,28.4401,28.54,97622
58,2021-09-01,28.6,28.69,28.6,28.5,28.6,122909
59,2021-09-02,28.62,28.72,28.58,28.5,28.58,117700
60,2021-09-03,28.65,28.65,28.64,28.44,28.64,61900
61,2021-09-07,28.64,28.65,28.38,28.32,28.38,91745
