,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,124.47,125.54,125.44,123.76,125.44,1515100
1,2021-06-11,125.29,125.82,125.66,124.87,125.66,1284000
2,2021-06-14,125.93,126.29,124.85,124.14,124.85,1376000
3,2021-06-15,125.23,125.73,125.49,123.96,125.49,799500
4,2021-06-16,125.61,125.88,123.74,123.37,123.74,1032700
5,2021-06-17,123.52,123.88,122.37,121.28,122.37,1220600
6,2021-06-18,121.37,121.83,120.6,120.5,120.6,1777200
7,2021-06-21,121.51,124.2,123.45,120.88,123.45,888800
8,2021-06-22,123.62,126.25,125.71,123.29,125.71,1086500
9,2021-06-23,126.14,126.24,125.13,124.62,125.13,692100
10,2021-06-24,126.03,126.04,125.05,124.34,125.05,797200
11,2021-06-25,124.29,126.37,125.75,124.23,125.75,1340500
12,2021-06-28,128.03,128.03,125.77,125.23,125.77,1085800
13,2021-06-29,125.65,126.56,126.12,125.39,126.12,891500
14,2021-06-30,126.2,126.82,126.6,125.66,126.6,1164900
15,2021-07-01,126.93,127.34,127.28,126.22,127.28,1086400
16,2021-07-02,127.63,128.15,128.0,127.14,128.0,862800
17,2021-07-06,128.07,128.1,127.0,125.52,127.0,1088400
18,2021-07-07,127.04,129.26,129.15,126.73,129.15,1058900
19,2021-07-08,127.97,128.54,126.88,126.65,126.88,838100
20,2021-07-09,127.74,128.54,128.4,127.34,128.4,1676800
21,2021-07-12,128.54,129.08,128.19,127.93,128.19,1187600
22,2021-07-13,128.03,128.75,127.41,127.26,127.41,793600
23,2021-07-14,127.82,128.93,128.12,127.66,128.12,941200
24,2021-07-15,128.0,128.39,127.43,127.37,127.43,787000
25,2021-07-16,127.5,127.74,126.8,126.3,126.8,1426100
26,2021-07-19,126.34,126.95,126.68,125.5,126.68,1056700
27,2021-07-20,126.73,129.1,128.62,126.64,128.62,1093700
28,2021-07-21,128.93,129.59,128.94,128.24,128.94,791900
29,2021-07-22,129.0,129.52,128.38,128.04,128.38,814600
30,2021-07-23,129.01,130.49,130.36,128.27,130.36,592300
31,2021-07-26,130.03,130.76,129.6,128.78,129.6,733700
32,2021-07-27,127.32,127.98,126.35,125.68,126.35,1516400
33,2021-07-28,126.37,126.49,125.16,123.6,125.16,1023900
34,2021-07-29,126.06,127.22,126.97,125.33,126.97,958000
35,2021-07-30,126.91,128.97,128.25,126.38,128.25,1637700
36,2021-08-02,127.94,128.53,126.59,126.35,126.59,1027800
37,2021-08-03,123.44,127.37,126.62,122.06,126.62,1270200
38,2021-08-04,127.0,127.0,125.54,125.51,125.54,1042900
39,2021-08-05,125.63,126.65,124.16,123.43,124.16,977500
40,2021-08-06,124.57,125.27,124.24,123.66,124.24,804100
41,2021-08-09,123.85,124.12,122.8,122.75,122.8,735800
42,2021-08-10,123.14,123.45,122.3,122.08,122.3,823800
43,2021-08-11,122.6,124.68,123.34,122.31,123.34,905400
44,2021-08-12,123.78,124.07,122.28,122.07,122.28,976800
45,2021-08-13,122.29,124.55,123.91,122.1,123.91,744500
46,2021-08-16,123.48,125.59,125.53,123.19,125.53,872200
47,2021-08-17,125.0,125.07,124.19,122.7,124.19,784700
48,2021-08-18,123.42,124.01,121.52,121.43,121.52,1085100
49,2021-08-19,120.53,122.98,122.13,120.46,122.13,900400
50,2021-08-20,122.42,123.19,123.03,121.92,123.03,886700
51,2021-08-23,123.43,124.9,123.55,123.15,123.55,713300
52,2021-08-24,123.65,123.86,122.76,122.7,122.76,537600
53,2021-08-25,122.78,124.48,124.13,121.56,124.13,590300
54,2021-08-26,123.97,124.01,122.86,122.41,122.86,552500
55,2021-08-27,123.34,124.75,124.57,122.82,124.57,590900
56,2021-08-30,125.0,126.19,125.54,124.75,125.54,703900
57,2021-08-31,125.63,125.85,124.64,123.81,124.64,1367000
58,2021-09-01,124.54,124.69,122.92,121.18,122.92,928100
59,2021-09-02,123.54,124.04,124.03,122.81,124.03,785800
60,2021-09-03,123.93,124.19,123.57,122.74,123.57,750300
61,2021-09-07,123.81,123.98,122.88,122.33,122.88,738860
