,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,10.03,10.08,10.08,10.0,10.08,10526
1,2021-06-11,10.05,10.06,10.05,10.05,10.05,29500
2,2021-06-14,10.04,10.1,10.07,10.04,10.07,1331
3,2021-06-15,10.0,10.15,10.15,10.0,10.15,7247
4,2021-06-16,10.1,10.1,10.09,9.96,10.09,80600
5,2021-06-17,10.09,10.13,10.02,9.96,10.02,20000
6,2021-06-18,10.14,10.14,10.04,10.03,10.04,2700
7,2021-06-21,10.17,10.17,10.03,9.91,10.03,2500
8,2021-06-22,10.0,10.01,9.99,9.99,9.99,76400
9,2021-06-23,10.0,10.0,10.0,10.0,10.0,300
10,2021-06-24,10.0,10.0,9.98,9.93,9.98,4100
11,2021-06-25,10.02,10.04,9.98,9.98,9.98,3100
12,2021-06-28,9.97,10.05,10.0,9.9501,10.0,18157
13,2021-06-29,10.0,10.0,9.9999,9.975,9.9999,46627
14,2021-06-30,9.9999,9.9999,9.9999,9.9999,9.9999,134
15,2021-07-01,10.0,10.03,9.978,9.951,9.978,12500
16,2021-07-02,9.98,10.0,10.0,9.98,10.0,900
17,2021-07-06,10.07,10.07,10.0,9.98,10.0,10700
18,2021-07-07,10.11,10.11,10.11,10.11,10.11,200
19,2021-07-08,10.1,10.1,10.01,10.0,10.01,3600
20,2021-07-09,10.01,10.035,10.0,10.0,10.0,5300
21,2021-07-12,10.0,10.01,10.01,10.0,10.01,49948
22,2021-07-13,9.92,10.01,10.0,9.91,10.0,18847
23,2021-07-14,10.03,10.03,10.0,9.92,10.0,49000
24,2021-07-15,10.0,10.03,10.03,9.91,10.03,52400
25,2021-07-16,10.0,10.03,10.0,10.0,10.0,2800
26,2021-07-19,10.0,10.0,10.0,10.0,10.0,0
27,2021-07-20,10.124,10.124,10.0,9.99,10.0,51100
28,2021-07-21,10.0,10.03,10.0,9.91,10.0,75900
29,2021-07-22,9.926,10.01,10.0,9.926,10.0,31200
30,2021-07-23,10.0,10.015,10.0,9.95,10.0,72800
31,2021-07-26,10.11,10.11,9.98,9.97,9.98,2200
32,2021-07-27,10.0,10.0,9.91,9.91,9.91,2700
33,2021-07-28,10.0,10.0,9.84,9.76,9.84,177300
34,2021-07-29,9.9,9.91,9.76,9.75,9.76,21000
35,2021-07-30,9.76,9.785,9.73,9.72,9.73,15100
36,2021-08-02,9.85,9.85,9.82,9.8136,9.82,1381
37,2021-08-03,9.83,9.83,9.76,9.75,9.76,9785
38,2021-08-04,9.82,9.82,9.77,9.76,9.77,14400
39,2021-08-05,9.84,9.84,9.75,9.7,9.75,9700
40,2021-08-06,9.785,9.785,9.74,9.73,9.74,4100
41,2021-08-09,9.84,9.84,9.771,9.77,9.771,600
42,2021-08-10,9.83,9.83,9.795,9.765,9.795,800
43,2021-08-11,9.83,9.83,9.8,9.79,9.8,440600
44,2021-08-12,9.84,9.84,9.79,9.78,9.79,2600
45,2021-08-13,9.76,9.78,9.78,9.76,9.78,800
46,2021-08-16,9.79,9.82,9.81,9.76,9.81,1600
47,2021-08-17,9.77,9.77,9.72,9.65,9.72,4700
48,2021-08-18,9.745,9.79,9.73,9.686,9.73,700
49,2021-08-19,9.68,9.77,9.74,9.63,9.74,350300
50,2021-08-20,9.69,9.71,9.7,9.68,9.7,116100
51,2021-08-23,9.7,9.742,9.69,9.68,9.69,134200
52,2021-08-24,9.75,9.76,9.76,9.69,9.76,370300
53,2021-08-25,9.69,9.76,9.75,9.69,9.75,38600
54,2021-08-26,9.75,9.77,9.77,9.72,9.77,33500
55,2021-08-27,9.69,9.77,9.77,9.69,9.77,500
56,2021-08-30,9.77,9.84,9.84,9.74,9.84,51500
57,2021-08-31,9.8,9.84,9.81,9.769,9.81,12900
58,2021-09-01,9.84,9.84,9.75,9.71,9.75,12300
59,2021-09-02,9.74,9.75,9.75,9.74,9.75,9000
60,2021-09-03,9.8,9.8,9.8,9.79,9.8,1300
61,2021-09-07,9.79,9.82,9.77,9.73,9.77,4559
