,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,114.8,115.23,115.13,114.8,115.13,2200
1,2021-06-11,115.67,115.67,115.62,115.32,115.62,1600
2,2021-06-14,116.43,116.43,116.18,116.18,116.18,1500
3,2021-06-15,115.4,115.81,115.7,115.4,115.7,900
4,2021-06-16,115.78,115.78,115.25,114.82,115.25,2300
5,2021-06-17,115.69,115.69,115.61,114.34,115.61,5900
6,2021-06-18,114.65,114.65,114.02,114.02,114.02,1200
7,2021-06-21,114.73,115.41,115.41,114.73,115.41,800
8,2021-06-22,115.45,116.82,116.82,115.45,116.82,900
9,2021-06-23,117.42,117.72,117.42,117.16,117.42,2800
10,2021-06-24,118.2,118.67,118.67,118.15,118.67,3300
11,2021-06-25,119.39,119.39,118.94,118.78,118.94,3900
12,2021-06-28,119.09,119.62,119.62,119.09,119.62,2000
13,2021-06-29,120.01,120.19,119.86,119.73,119.86,30900
14,2021-06-30,120.42,120.42,119.57,119.4,119.57,2800
15,2021-07-01,119.4,119.75,119.73,119.4,119.73,9600
16,2021-07-02,119.55,119.78,119.6,119.25,119.6,1800
17,2021-07-06,118.93,119.15,119.15,118.83,119.15,9600
18,2021-07-07,118.98,119.1,118.42,117.72,118.42,21900
19,2021-07-08,116.9,117.47,117.47,116.21,117.47,1300
20,2021-07-09,117.27,118.84,118.8,117.27,118.8,2400
21,2021-07-12,118.78,118.78,118.78,118.78,118.78,400
22,2021-07-13,118.31,118.47,118.01,117.83,118.01,2600
23,2021-07-14,117.78,117.84,116.17,116.08,116.17,18300
24,2021-07-15,115.36,116.16,115.44,114.42,115.44,6900
25,2021-07-16,116.42,116.42,114.69,114.58,114.69,5300
26,2021-07-19,113.42,114.3,114.06,112.74,114.06,4900
27,2021-07-20,114.71,117.25,116.9,114.71,116.9,4700
28,2021-07-21,117.3,118.4,118.4,117.3,118.4,27900
29,2021-07-22,117.96,118.35,118.28,117.95,118.28,11900
30,2021-07-23,119.01,119.55,119.44,118.58,119.44,7800
31,2021-07-26,119.65,119.65,119.19,119.04,119.19,8500
32,2021-07-27,118.69,118.69,117.72,116.92,117.72,10400
33,2021-07-28,118.69,119.91,119.91,118.49,119.91,4700
34,2021-07-29,119.83,120.77,120.27,119.83,120.27,6200
35,2021-07-30,119.93,120.45,119.58,119.58,119.58,6900
36,2021-08-02,120.32,120.32,119.37,119.37,119.37,3700
37,2021-08-03,120.24,120.56,120.56,118.91,120.56,29400
38,2021-08-04,120.76,121.02,120.69,120.49,120.69,61700
39,2021-08-05,121.49,121.84,121.82,121.09,121.82,55600
40,2021-08-06,122.43,122.43,121.65,120.98,121.65,12500
41,2021-08-09,121.29,122.07,121.9,121.29,121.9,19600
42,2021-08-10,122.37,122.37,121.16,121.13,121.16,9400
43,2021-08-11,121.94,121.94,120.84,120.28,120.84,13000
44,2021-08-12,121.05,121.46,121.37,120.92,121.37,2000
45,2021-08-13,121.87,121.87,120.91,120.81,120.91,4400
46,2021-08-16,120.41,120.52,120.41,120.11,120.41,3600
47,2021-08-17,120.15,120.15,119.11,118.53,119.11,18000
48,2021-08-18,119.44,119.44,118.1,118.1,118.1,5900
49,2021-08-19,123.43,123.43,117.72,116.91,117.72,48800
50,2021-08-20,117.94,119.1,119.07,117.94,119.07,4600
51,2021-08-23,120.47,120.9,120.72,120.47,120.72,4000
52,2021-08-24,121.3,121.87,121.76,121.3,121.76,14200
53,2021-08-25,122.08,122.84,122.55,122.08,122.55,2500
54,2021-08-26,122.61,122.61,121.93,121.79,121.93,3400
55,2021-08-27,122.21,123.97,123.72,122.21,123.72,3700
56,2021-08-30,123.79,124.53,124.14,123.79,124.14,6800
57,2021-08-31,123.46,124.0,123.96,123.46,123.96,17900
58,2021-09-01,124.34,124.7,124.39,123.69,124.39,7300
59,2021-09-02,124.97,125.15,125.07,124.85,125.07,3300
60,2021-09-03,124.92,125.49,125.49,124.69,125.49,3300
61,2021-09-07,125.72,125.72,124.5718,124.55,124.5718,4406
