,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,11.0622,11.0622,11.0307,10.6212,10.7816,70274
1,2021-06-11,11.0712,11.3334,11.2873,10.9353,11.1639,68010
2,2021-06-14,11.3413,11.6203,11.6203,11.2873,11.4933,49075
3,2021-06-15,11.6113,11.6203,10.9812,10.8642,10.8613,70108
4,2021-06-16,10.9542,11.2693,11.0982,10.7922,10.977,77895
5,2021-06-17,10.9812,11.2422,11.1702,10.8126,11.0482,34364
6,2021-06-18,11.2062,11.2062,11.0262,10.9245,10.9058,20173
7,2021-06-21,11.1612,11.9173,11.7463,10.9974,11.618,53688
8,2021-06-22,11.8453,11.9353,11.7283,11.6113,11.6002,64824
9,2021-06-23,11.7013,12.0163,11.9893,11.6203,11.8584,46398
10,2021-06-24,11.9803,12.2144,12.0073,11.7373,11.8762,54005
11,2021-06-25,12.1964,12.1964,11.9893,11.7913,11.8584,37680
12,2021-06-28,13.3665,14.3971,13.5375,12.5474,13.3896,285451
13,2021-06-29,13.8435,13.9245,13.2585,13.0514,13.1136,78132
14,2021-06-30,13.1415,13.2476,13.1325,12.9555,12.989,44953
15,2021-07-01,13.1415,13.2196,12.7274,12.4394,12.5884,58641
16,2021-07-02,12.7634,12.8714,12.1964,12.1964,12.0631,44738
17,2021-07-06,12.1513,12.2773,12.1063,11.9727,11.9741,45101
18,2021-07-07,12.1153,12.2144,11.1252,11.1162,11.0037,51455
19,2021-07-08,10.9092,11.4943,11.4403,10.8012,11.3153,27786
20,2021-07-09,11.4943,11.4943,11.3503,11.2512,11.2263,20023
21,2021-07-12,11.3683,11.4403,11.4223,11.0353,11.2975,23524
22,2021-07-13,11.4043,11.4853,11.0802,10.9272,10.9592,28610
23,2021-07-14,11.1072,11.1162,10.1441,10.1396,10.0333,54030
24,2021-07-15,10.0541,10.4721,10.0811,9.8381,9.971,28282
25,2021-07-16,10.0721,10.2251,9.9191,9.7841,9.8107,33173
26,2021-07-19,9.8111,9.9101,9.8561,9.5411,9.7484,26649
27,2021-07-20,9.8201,10.3511,10.2161,9.8021,10.1045,16278
28,2021-07-21,10.2341,10.5042,10.3511,10.2161,10.2381,8553
29,2021-07-22,10.3241,10.3241,10.0001,9.7571,9.8909,20594
30,2021-07-23,10.0091,10.4862,10.4862,9.9101,10.3716,16358
31,2021-07-26,10.5582,10.6752,10.4052,10.0811,10.2915,22105
32,2021-07-27,10.2611,10.4862,10.4862,9.9461,10.3716,21716
33,2021-07-28,10.4592,10.5402,10.5402,10.2738,10.425,11745
34,2021-07-29,10.5762,10.7022,10.4592,10.3511,10.3449,16285
35,2021-07-30,10.3692,10.5717,10.4052,10.0811,10.2915,10783
36,2021-08-02,10.3692,10.3692,10.0991,9.9011,9.9888,23724
37,2021-08-03,10.0541,10.0541,10.0001,9.6041,9.8909,20534
38,2021-08-04,9.8381,10.0502,9.5861,9.5861,9.4813,10906
39,2021-08-05,9.5861,9.8921,9.8921,9.181,9.784,67724
40,2021-08-06,9.7031,9.8831,9.4691,9.181,9.3656,37551
41,2021-08-09,9.307,9.7841,9.6221,9.1127,9.517,15062
42,2021-08-10,9.5771,9.8831,9.8651,9.5771,9.7573,11396
43,2021-08-11,9.8921,10.0091,9.7751,9.6761,9.6683,11832
44,2021-08-12,9.7751,9.7751,9.5141,9.181,9.4101,12102
45,2021-08-13,9.442,9.4998,9.37,9.2898,9.2677,12636
46,2021-08-16,9.433,9.433,9.199,9.1481,9.0985,13186
47,2021-08-17,9.208,9.298,8.6635,7.9029,8.5688,53957
48,2021-08-18,8.704,9.145,9.028,8.695,8.9294,21364
49,2021-08-19,8.839,9.2482,8.848,8.6491,8.7513,16301
50,2021-08-20,8.812,9.073,8.938,8.7274,8.8404,9381
51,2021-08-23,8.875,9.091,9.01,8.821,8.9116,13877
52,2021-08-24,9.95,10.49,10.17,9.95,10.0589,14440
53,2021-08-25,10.26,10.9499,10.91,10.0,10.7908,18661
54,2021-08-26,10.77,11.4999,11.14,10.5416,11.0183,57328
55,2021-08-27,10.39,11.53,11.44,10.39,11.315,163038
56,2021-08-30,11.48,12.25,12.1,11.37,11.9678,30000
57,2021-08-31,11.96,12.372,12.08,11.608,11.948,21500
58,2021-09-01,12.6,12.77,11.9,11.573,11.77,62700
59,2021-09-02,11.9,12.48,12.07,11.55,12.07,30500
60,2021-09-03,11.93,12.3,11.75,11.6,11.75,42400
61,2021-09-07,11.8,12.1,11.84,11.63,11.84,23971
