,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,330.79,333.94,332.46,328.55,332.46,13240200
1,2021-06-11,332.58,332.83,331.26,328.93,331.26,13584000
2,2021-06-14,331.9,336.82,336.77,329.81,336.77,12250800
3,2021-06-15,336.99,339.92,336.75,335.03,336.75,15795200
4,2021-06-16,336.7,337.55,331.08,328.72,331.08,17232200
5,2021-06-17,330.49,337.98,336.51,330.15,336.51,17794100
6,2021-06-18,334.53,336.15,329.66,329.0,329.66,23025100
7,2021-06-21,331.09,332.92,332.29,327.65,332.29,11337500
8,2021-06-22,332.69,339.92,339.03,332.6,339.03,15345300
9,2021-06-23,339.35,343.42,340.59,338.2,340.59,14817800
10,2021-06-24,341.85,344.9,343.18,341.79,343.18,12329100
11,2021-06-25,342.59,344.12,341.37,339.68,341.37,14588100
12,2021-06-28,342.46,358.14,355.64,341.77,355.64,29156100
13,2021-06-29,356.27,356.74,351.89,349.05,351.89,21417300
14,2021-06-30,352.17,352.92,347.71,347.17,347.71,15107500
15,2021-07-01,346.82,354.67,354.39,346.5,354.39,17137000
16,2021-07-02,355.1,356.44,354.7,352.62,354.7,11521300
17,2021-07-06,356.5,358.79,352.78,349.18,352.78,13488500
18,2021-07-07,355.26,356.49,350.49,350.0,350.49,14218900
19,2021-07-08,345.73,348.33,345.65,342.56,345.65,14406500
20,2021-07-09,345.32,350.71,350.42,345.27,350.42,13010400
21,2021-07-12,351.23,354.19,353.16,349.64,353.16,10018600
22,2021-07-13,351.5,358.49,352.09,348.8,352.09,11456000
23,2021-07-14,354.56,355.2,347.63,346.73,347.63,13894200
24,2021-07-15,349.23,349.23,344.46,340.22,344.46,14781600
25,2021-07-16,344.91,345.99,341.16,340.14,341.16,11020300
26,2021-07-19,337.57,339.79,336.95,334.54,336.95,14372300
27,2021-07-20,338.8,343.45,341.66,334.5,341.66,11024300
28,2021-07-21,341.5,346.52,346.23,341.25,346.23,9279700
29,2021-07-22,346.68,351.54,351.19,345.21,351.19,12385400
30,2021-07-23,360.91,375.33,369.79,357.19,369.79,33680400
31,2021-07-26,369.58,374.44,372.46,368.22,372.46,14925200
32,2021-07-27,371.91,373.15,367.81,364.55,367.81,15705400
33,2021-07-28,374.56,377.55,373.28,366.93,373.28,29676900
34,2021-07-29,361.0,365.52,358.32,356.74,358.32,33413200
35,2021-07-30,354.0,360.73,356.3,352.94,356.3,15966700
36,2021-08-02,358.1,359.4,351.95,350.74,351.95,13180400
37,2021-08-03,352.73,353.77,351.24,347.7,351.24,12406100
38,2021-08-04,352.42,360.48,358.92,351.51,358.92,14180600
39,2021-08-05,359.64,363.9,362.97,356.9,362.97,10247200
40,2021-08-06,361.4,365.15,363.51,361.4,363.51,8918100
41,2021-08-09,363.76,365.78,361.61,360.75,361.61,7798900
42,2021-08-10,361.83,364.1,361.13,359.04,361.13,7469900
43,2021-08-11,362.1,362.36,359.96,357.81,359.96,8400300
44,2021-08-12,358.45,363.0,362.65,357.11,362.65,7170700
45,2021-08-13,362.97,364.66,363.18,361.48,363.18,7192500
46,2021-08-16,362.52,366.95,366.56,357.38,366.56,11222100
47,2021-08-17,362.98,364.67,358.45,355.07,358.45,12328700
48,2021-08-18,356.25,359.86,355.45,355.15,355.45,10042400
49,2021-08-19,351.35,357.57,355.12,351.0,355.12,12004500
50,2021-08-20,354.6,359.99,359.37,353.31,359.37,8693500
51,2021-08-23,359.44,365.69,363.35,359.1,363.35,10942000
52,2021-08-24,363.66,367.96,365.51,361.84,365.51,9235100
53,2021-08-25,365.6,370.86,368.39,365.4,368.39,9684500
54,2021-08-26,368.38,369.44,364.38,364.13,364.38,7888700
55,2021-08-27,365.1,373.74,372.63,364.08,372.63,11214200
56,2021-08-30,372.56,381.49,380.66,370.52,380.66,13547300
57,2021-08-31,379.95,382.76,379.38,378.8,379.38,12345400
58,2021-09-01,379.59,384.33,382.05,378.81,382.05,11567200
59,2021-09-02,381.5,381.75,375.28,374.06,375.28,14838300
60,2021-09-03,374.75,377.16,376.26,373.11,376.26,7509600
61,2021-09-07,375.88,382.95,382.18,373.15,382.18,10798920
