,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,31.31,31.41,31.361,31.31,31.361,2500
1,2021-06-11,31.305,31.305,31.244,31.18,31.244,4400
2,2021-06-14,31.13,31.215,31.215,31.13,31.104,3400
3,2021-06-15,31.13,31.13,30.985,30.938,30.985,6900
4,2021-06-16,30.91,30.91,30.669,30.669,30.669,2600
5,2021-06-17,30.29,30.292,30.218,30.15,30.218,5600
6,2021-06-18,29.92,29.94,29.829,29.829,29.829,1600
7,2021-06-21,29.895,30.23,30.171,29.895,30.171,1600
8,2021-06-22,30.02,30.27,30.192,30.02,30.192,3500
9,2021-06-23,29.98,30.27,30.117,29.98,30.117,5600
10,2021-06-24,30.265,30.33,30.268,30.25,30.268,4000
11,2021-06-25,30.13,30.44,30.365,30.13,30.365,3000
12,2021-06-28,30.22,30.31,30.2811,30.22,30.2811,4469
13,2021-06-29,30.155,30.22,30.1987,30.14,30.1987,2042
14,2021-06-30,29.965,30.2075,30.2075,29.965,30.2075,11554
15,2021-07-01,30.18,30.32,30.263,30.18,30.263,4300
16,2021-07-02,30.42,30.5,30.445,30.42,30.445,2900
17,2021-07-06,30.31,30.365,30.361,30.31,30.361,3700
18,2021-07-07,30.353,30.46,30.436,30.353,30.436,6600
19,2021-07-08,30.02,30.09,30.063,30.02,30.063,3700
20,2021-07-09,30.29,30.5099,30.4721,30.29,30.4721,2586
21,2021-07-12,30.42,30.4567,30.4567,30.42,30.4567,869
22,2021-07-13,30.4759,30.49,30.4267,30.4267,30.4267,2190
23,2021-07-14,30.56,30.64,30.55,30.55,30.55,4500
24,2021-07-15,30.25,30.5,30.481,30.25,30.481,5000
25,2021-07-16,30.38,30.38,30.132,30.11,30.132,4300
26,2021-07-19,29.71,29.71,29.677,29.52,29.677,3100
27,2021-07-20,29.904,29.97,29.947,29.904,29.947,5600
28,2021-07-21,29.99,30.22,30.181,29.99,30.181,3900
29,2021-07-22,30.17,30.193,30.193,30.17,30.193,3300
30,2021-07-23,30.1,30.26,30.255,30.095,30.255,3100
31,2021-07-26,30.25,30.2857,30.2555,30.22,30.2555,13348
32,2021-07-27,30.045,30.1629,30.1629,30.01,30.1629,4031
33,2021-07-28,30.252,30.38,30.355,30.21,30.355,3900
34,2021-07-29,30.535,30.786,30.685,30.49,30.685,3100
35,2021-07-30,30.45,30.52,30.482,30.45,30.482,3700
36,2021-08-02,30.44,30.6,30.5098,30.44,30.5098,1829
37,2021-08-03,30.585,30.69,30.6654,30.56,30.6654,2274
38,2021-08-04,30.59,30.625,30.588,30.56,30.588,8900
39,2021-08-05,30.58,30.59,30.576,30.52,30.576,1000
40,2021-08-06,30.21,30.283,30.242,30.21,30.242,1300
41,2021-08-09,30.138,30.138,30.064,30.03,30.064,4900
42,2021-08-10,30.03,30.031,30.018,30.0,30.018,1700
43,2021-08-11,30.207,30.29,30.265,30.19,30.265,4500
44,2021-08-12,30.155,30.2,30.17,30.13,30.17,13900
45,2021-08-13,30.373,30.373,30.32,30.26,30.32,2600
46,2021-08-16,30.17,30.31,30.259,30.17,30.259,5700
47,2021-08-17,29.93,30.055,30.02,29.9,30.02,5900
48,2021-08-18,29.93,30.11,29.91,29.88,29.91,41600
49,2021-08-19,29.56,29.68,29.68,29.53,29.68,12700
50,2021-08-20,29.697,29.76,29.74,29.697,29.74,2500
51,2021-08-23,30.14,30.22,30.182,30.1,30.182,3300
52,2021-08-24,30.3,30.325,30.295,30.295,30.295,3400
53,2021-08-25,30.114,30.21,30.195,30.114,30.195,8100
54,2021-08-26,30.16,30.16,30.035,29.96,30.035,5100
55,2021-08-27,30.373,30.6,30.548,30.373,30.548,2800
56,2021-08-30,30.513,30.513,30.419,30.39,30.419,1200
57,2021-08-31,30.47,30.57,30.518,30.4,30.518,3100
58,2021-09-01,30.59,30.655,30.63,30.58,30.63,8100
59,2021-09-02,30.44,30.63,30.621,30.44,30.621,1700
60,2021-09-03,30.81,30.905,30.884,30.8,30.884,8600
61,2021-09-07,30.65,30.7278,30.5828,30.56,30.5828,2704
