Date,Open,High,Low,Close,AdjustedClose,Volume
1986-05-15,15.625,15.625,15.625,15.625,15.625,44
1986-05-16,14.375,14.375,14.375,14.375,14.375,17
1986-05-19,14.375,14.375,14.375,14.375,14.375,11
1986-05-20,14.375,14.375,14.375,14.375,14.375,11
1986-05-21,14.375,14.375,14.375,14.375,14.375,3
1986-05-23,14.375,14.375,14.375,14.375,14.375,9
1986-05-27,14.375,14.375,14.375,14.375,14.375,75
1986-05-28,15,16.25,13.75,15,15,24
1986-05-29,15,16.25,13.75,15,15,27
1986-05-30,14.375,14.375,14.375,14.375,14.375,1
1986-06-02,13.75,15,12.5,13.75,13.75,4
1986-06-03,13.125,13.125,13.125,13.125,13.125,5
1986-06-04,13.75,15,12.5,13.75,13.75,13
1986-06-05,13.75,15,12.5,13.75,13.75,7
1986-06-06,13.75,15,12.5,13.75,13.75,1
1986-06-10,13.75,15,12.5,13.75,13.75,1
1986-06-11,13.75,15,12.5,13.75,13.75,30
1986-06-12,14.375,14.375,14.375,14.375,14.375,30
1986-06-13,15.32,15.32,15.32,15.32,15.32,1
1986-06-16,13.4375,14.6875,12.1875,13.4375,13.4375,14
1986-06-17,12.82,12.82,12.82,12.82,12.82,17
1986-06-18,11.25,12.5,10,11.25,11.25,28
1986-06-19,10.9375,10.9375,10.9375,10.9375,10.9375,2
1986-06-20,10.32,10.32,10.32,10.32,10.32,9
1986-06-23,10.625,10.625,10.625,10.625,10.625,3
1986-06-24,10.625,10.625,10.625,10.625,10.625,1
1986-06-25,10.625,10.625,10.625,10.625,10.625,7
1986-06-26,10.625,10.625,10.625,10.625,10.625,4
1986-06-27,10.9375,10.9375,10.9375,10.9375,10.9375,0
1986-06-30,10.9375,10.9375,10.9375,10.9375,10.9375,1
1986-07-01,10.9375,10.9375,10.9375,10.9375,10.9375,5
1986-07-02,10.625,10.625,10.625,10.625,10.625,7
1986-07-03,10.625,10.625,10.625,10.625,10.625,3
1986-07-07,10.32,10.32,10.32,10.32,10.32,7
1986-07-08,9.6875,9.6875,9.6875,9.6875,9.6875,7
1986-07-09,9.6875,9.6875,9.6875,9.6875,9.6875,8
1986-07-10,9.375,9.375,9.375,9.375,9.375,2
1986-07-11,9.375,9.375,9.375,9.375,9.375,11
1986-07-16,9.375,9.375,9.375,9.375,9.375,3
1986-07-18,9.375,9.375,9.375,9.375,9.375,1
1986-07-22,8.125,8.125,8.125,8.125,8.125,12
1986-07-23,7.82,7.82,7.82,7.82,7.82,17
1986-07-24,8.76,8.76,8.76,8.76,8.76,47
1986-07-30,8.125,8.125,8.125,8.125,8.125,18
1986-07-31,7.1875,7.1875,7.1875,7.1875,7.1875,16
1986-08-01,7.51,7.51,7.51,7.51,7.51,7
1986-08-05,7.1875,7.1875,7.1875,7.1875,7.1875,6
1986-08-07,7.1875,7.1875,7.1875,7.1875,7.1875,5
1986-08-08,7.1875,7.1875,7.1875,7.1875,7.1875,9
1986-08-11,7.1875,7.1875,7.1875,7.1875,7.1875,2
1986-08-12,7.1875,7.1875,7.1875,7.1875,7.1875,11
1986-08-13,6.875,6.875,6.875,6.875,6.875,8
1986-08-14,6.25,7.5,5,6.25,6.25,9
1986-08-15,5.9375,5.9375,5.9375,5.9375,5.9375,16
1986-08-18,5.9375,5.9375,5.9375,5.9375,5.9375,0
1986-08-19,6.26,6.26,6.26,6.26,6.26,29
1986-08-21,5.625,5.625,5.625,5.625,5.625,20
1986-08-22,6.57,6.57,6.57,6.57,6.57,48
1986-08-25,6.57,6.57,6.57,6.57,6.57,8
1986-08-26,6.57,6.57,6.57,6.57,6.57,19
1986-08-27,6.875,6.875,6.875,6.875,6.875,18
1986-08-28,6.875,6.875,6.875,6.875,6.875,3
1986-08-29,7.1875,7.1875,7.1875,7.1875,7.1875,1
1986-09-02,7.1875,7.1875,7.1875,7.1875,7.1875,4
1986-09-04,7.1875,7.1875,7.1875,7.1875,7.1875,2
1986-09-05,7.1875,7.1875,7.1875,7.1875,7.1875,5
1986-09-08,7.1875,7.1875,7.1875,7.1875,7.1875,4
1986-09-09,6.875,6.875,6.875,6.875,6.875,6
1986-09-10,7.1875,7.1875,7.1875,7.1875,7.1875,14
1986-09-11,6.875,6.875,6.875,6.875,6.875,10
1986-09-12,6.875,6.875,6.875,6.875,6.875,17
1986-09-15,6.875,6.875,6.875,6.875,6.875,2
1986-09-16,6.875,6.875,6.875,6.875,6.875,4
1986-09-17,6.57,6.57,6.57,6.57,6.57,15
1986-09-18,6.57,6.57,6.57,6.57,6.57,3
1986-09-23,6.25,7.5,5,6.25,6.25,6
1986-09-24,6.25,7.5,5,6.25,6.25,0
1986-09-25,6.25,7.5,5,6.25,6.25,3
1986-09-26,6.25,7.5,5,6.25,6.25,7
1986-09-30,6.875,6.875,6.875,6.875,6.875,3
1986-10-01,6.875,6.875,6.875,6.875,6.875,19
1986-10-03,6.875,6.875,6.875,6.875,6.875,57
1986-10-06,6.875,6.875,6.875,6.875,6.875,24
1986-10-08,6.875,6.875,6.875,6.875,6.875,6
1986-10-09,6.875,6.875,6.875,6.875,6.875,1
1986-10-13,6.875,6.875,6.875,6.875,6.875,43
1986-10-14,6.875,6.875,6.875,6.875,6.875,1
1986-10-15,6.875,6.875,6.875,6.875,6.875,80
1986-10-17,6.875,6.875,6.875,6.875,6.875,8
1986-10-20,6.875,6.875,6.875,6.875,6.875,5
1986-10-21,6.57,6.57,6.57,6.57,6.57,12
1986-10-22,6.57,6.57,6.57,6.57,6.57,3
1986-10-23,6.57,6.57,6.57,6.57,6.57,2
1986-10-24,6.57,6.57,6.57,6.57,6.57,11
1986-10-27,6.57,6.57,6.57,6.57,6.57,1
1986-10-28,6.57,6.57,6.57,6.57,6.57,7
1986-10-30,6.57,6.57,6.57,6.57,6.57,1
1986-10-31,6.57,6.57,6.57,6.57,6.57,9
1986-11-03,6.57,6.57,6.57,6.57,6.57,2
1986-11-06,6.26,6.26,6.26,6.26,6.26,1
1986-11-07,6.26,6.26,6.26,6.26,6.26,3
1986-11-10,6.26,6.26,6.26,6.26,6.26,0
1986-11-11,6.26,6.26,6.26,6.26,6.26,17
1986-11-12,6.26,6.26,6.26,6.26,6.26,9
1986-11-14,6.26,6.26,6.26,6.26,6.26,5
1986-11-18,6.26,6.26,6.26,6.26,6.26,14
1986-11-21,6.26,6.26,6.26,6.26,6.26,7
1986-11-24,6.26,6.26,6.26,6.26,6.26,5
1986-11-25,6.26,6.26,6.26,6.26,6.26,24
1986-11-26,6.26,6.26,6.26,6.26,6.26,11
1986-11-28,6.26,6.26,6.26,6.26,6.26,64
1986-12-01,6.26,6.26,6.26,6.26,6.26,10
1986-12-03,5.625,5.625,5.625,5.625,5.625,21
1986-12-08,5.625,5.625,5.625,5.625,5.625,44
1986-12-09,5.625,5.625,5.625,5.625,5.625,2
1986-12-10,5.01,5.01,5.01,5.01,5.01,18
1986-12-11,5.01,5.01,5.01,5.01,5.01,7
1986-12-15,4.6875,4.6875,4.6875,4.6875,4.6875,14
1986-12-19,4.6875,4.6875,4.6875,4.6875,4.6875,6
1986-12-22,5.32,5.32,5.32,5.32,5.32,35
1986-12-23,5.32,5.32,5.32,5.32,5.32,2
1986-12-24,5.625,5.625,5.625,5.625,5.625,7
1986-12-26,5.32,5.32,5.32,5.32,5.32,29
1986-12-29,5.01,5.01,5.01,5.01,5.01,34
1986-12-30,5.01,5.01,5.01,5.01,5.01,4
1986-12-31,5.01,5.625,4.375,5.01,5.01,47
1987-01-02,5.01,5.625,4.375,5.01,5.01,20
1987-01-05,5.01,5.625,4.375,5.01,5.01,1
1987-01-06,4.85,5.3125,4.375,4.85,4.85,41
1987-01-07,4.85,5.3125,4.375,4.85,4.85,57
1987-01-08,4.85,5.3125,4.375,4.85,4.85,39
1987-01-09,5.01,5.625,4.375,5.01,5.01,122
1987-01-12,5.1563,5.625,4.6875,5.1563,5.1563,34
1987-01-13,5.01,5.625,4.375,5.01,5.01,44
1987-01-14,5.01,5.625,4.375,5.01,5.01,7
1987-01-15,4.85,5.3125,4.375,4.85,4.85,1
1987-01-16,4.85,5.3125,4.375,4.85,4.85,29
1987-01-19,4.85,5.3125,4.375,4.85,4.85,3
1987-01-20,4.6875,5,4.375,4.6875,4.6875,35
1987-01-21,4.5313,5,4.0625,4.5313,4.5313,160
1987-01-22,4.6875,5,4.375,4.6875,4.6875,59
1987-01-26,4.6875,5,4.375,4.6875,4.6875,17
1987-01-27,4.6875,5,4.375,4.6875,4.6875,35
1987-01-28,6.25,7.1875,5.3125,6.25,6.25,86
1987-01-29,6.1,6.875,5.3125,6.1,6.1,35
1987-01-30,5.7813,6.25,5.3125,5.7813,5.7813,23
1987-02-02,5.7813,6.25,5.3125,5.7813,5.7813,16
1987-02-03,5.625,5.9375,5.3125,5.625,5.625,1
1987-02-04,5.4688,5.625,5.3125,5.4688,5.4688,17
1987-02-05,5.1563,5.3125,5,5.1563,5.1563,24
1987-02-06,5.1563,5.3125,5,5.1563,5.1563,18
1987-02-09,5.32,5.625,5,5.32,5.32,5
1987-02-10,5.32,5.625,5,5.32,5.32,34
1987-02-11,5.32,5.625,5,5.32,5.32,4
1987-02-13,5.32,5.625,5,5.32,5.32,0
1987-02-17,5.32,5.625,5,5.32,5.32,43
1987-02-19,5.32,5.625,5,5.32,5.32,20
1987-02-20,5.32,5.625,5,5.32,5.32,83
1987-02-23,5.32,5.625,5,5.32,5.32,43
1987-02-24,5.32,5.625,5,5.32,5.32,61
1987-02-25,5.32,5.625,5,5.32,5.32,69
1987-02-26,4.85,5.3125,4.375,4.85,4.85,53
1987-03-03,4.6875,5,4.375,4.6875,4.6875,14
1987-03-06,4.6875,5,4.375,4.6875,4.6875,1
1987-03-09,4.6875,5,4.375,4.6875,4.6875,1
1987-03-10,4.6875,5,4.375,4.6875,4.6875,36
1987-03-11,4.375,4.6875,4.0625,4.375,4.375,23
1987-03-12,4.2188,4.6875,3.75,4.2188,4.2188,71
1987-03-13,3.76,4.375,3.125,3.76,3.76,50
1987-03-16,3.76,4.375,3.125,3.76,3.76,24
1987-03-17,3.76,4.375,3.125,3.76,3.76,114
1987-03-18,3.6,4.375,2.8125,3.6,3.6,134
1987-03-19,3.76,4.375,3.125,3.76,3.76,1
1987-03-20,3.2813,3.75,2.8125,3.2813,3.2813,51
1987-03-25,3.4375,3.75,3.125,3.4375,3.4375,2
1987-03-26,3.4375,3.75,3.125,3.4375,3.4375,15
1987-03-27,3.4375,3.75,3.125,3.4375,3.4375,50
1987-03-31,3.9063,4.375,3.4375,3.9063,3.9063,14
1987-04-01,3.9063,4.375,3.4375,3.9063,3.9063,14
1987-04-03,3.9063,4.375,3.4375,3.9063,3.9063,3
1987-04-06,3.6,3.75,3.4375,3.6,3.6,63
1987-04-07,3.6,3.75,3.4375,3.6,3.6,10
1987-04-08,3.6,3.75,3.4375,3.6,3.6,10
1987-04-09,3.6,3.75,3.4375,3.6,3.6,4
1987-04-10,5.01,5.625,4.375,5.01,5.01,88
1987-04-15,4.85,5.625,4.0625,4.85,4.85,1
1987-04-20,5.32,6.25,4.375,5.32,5.32,59
1987-04-21,5.32,6.25,4.375,5.32,5.32,98
1987-04-24,4.85,5.625,4.0625,4.85,4.85,21
1987-04-27,4.6875,5.3125,4.0625,4.6875,4.6875,122
1987-04-28,4.6875,5.3125,4.0625,4.6875,4.6875,57
1987-04-29,4.5313,5,4.0625,4.5313,4.5313,14
1987-05-01,4.6875,5.3125,4.0625,4.6875,4.6875,45
1987-05-04,5.01,5.625,4.375,5.01,5.01,14
1987-05-06,5.01,5.625,4.375,5.01,5.01,2
1987-05-07,5,5.3125,4.6875,5,5,67
1987-05-11,4.6875,5,4.375,4.6875,4.6875,46
1987-05-12,4.6875,5,4.375,4.6875,4.6875,25
1987-05-13,4.6875,5,4.375,4.6875,4.6875,27
1987-05-14,4.85,5.3125,4.375,4.85,4.85,36
1987-05-15,4.6875,5,4.375,4.6875,4.6875,16
1987-05-18,4.85,5.3125,4.375,4.85,4.85,51
1987-05-19,5,5.3125,4.6875,5,5,134
1987-05-20,4.85,5,4.6875,4.85,4.85,83
1987-05-21,4.85,5,4.6875,4.85,4.85,1019
1987-05-22,4.6875,5,4.375,4.6875,4.6875,123
1987-05-27,4.5313,5,4.0625,4.5313,4.5313,4
1987-05-28,4.5313,5,4.0625,4.5313,4.5313,123
1987-05-29,4.6875,5,4.375,4.6875,4.6875,33
1987-06-01,4.6875,5,4.375,4.6875,4.6875,4
1987-06-02,4.54,4.6875,4.375,4.54,4.54,31
1987-06-03,4.54,4.6875,4.375,4.54,4.54,57
1987-06-04,4.54,4.6875,4.375,4.54,4.54,86
1987-06-05,4.54,4.6875,4.375,4.54,4.54,43
1987-06-08,4.375,4.6875,4.0625,4.375,4.375,169
1987-06-09,4.2188,4.375,4.0625,4.2188,4.2188,102
1987-06-10,4.2188,4.375,4.0625,4.2188,4.2188,29
1987-06-11,4.2188,4.375,4.0625,4.2188,4.2188,26
1987-06-12,4.07,4.375,3.75,4.07,4.07,49
1987-06-16,4.2188,4.375,4.0625,4.2188,4.2188,11
1987-06-17,4.375,5,3.75,4.375,4.375,418
1987-06-18,4.375,4.6875,4.0625,4.375,4.375,211
1987-06-19,4.375,4.6875,4.0625,4.375,4.375,139
1987-06-22,4.6875,5,4.375,4.6875,4.6875,36
