,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,31.63,31.65,31.65,31.63,31.65,500
1,2021-06-11,31.619,31.647,31.647,31.585,31.647,2700
2,2021-06-14,31.68,31.69,31.69,31.63,31.69,4686
3,2021-06-15,31.69,31.71,31.5832,31.575,31.5832,2762
4,2021-06-16,31.87,31.87,31.448,31.448,31.448,3600
5,2021-06-17,31.18,31.29,31.211,31.18,31.211,4700
6,2021-06-18,30.61,30.61,30.486,30.45,30.486,10300
7,2021-06-21,30.615,30.903,30.903,30.615,30.903,300
8,2021-06-22,30.93,30.959,30.912,30.912,30.912,1800
9,2021-06-23,30.98,30.98,30.704,30.704,30.704,12000
10,2021-06-24,31.06,31.08,30.97,30.95,30.97,9900
11,2021-06-25,30.927,30.965,30.965,30.927,30.965,500
12,2021-06-28,30.68,30.71,30.698,30.67,30.698,1600
13,2021-06-29,30.78,30.78,30.749,30.74,30.749,900
14,2021-06-30,30.46,30.53,30.53,30.41,30.53,1800
15,2021-07-01,30.41,30.41,30.362,30.29,30.362,6300
16,2021-07-02,30.42,30.67,30.67,30.42,30.67,2300
17,2021-07-06,30.59,30.59,30.19,30.04,30.19,16800
18,2021-07-07,30.81,30.81,30.595,30.59,30.595,900
19,2021-07-08,30.02,30.19,30.127,29.96,30.127,2700
20,2021-07-09,30.27,30.68,30.658,30.27,30.658,4900
21,2021-07-12,30.679,30.68,30.657,30.65,30.657,1700
22,2021-07-13,30.5,30.5,30.409,30.409,30.409,1000
23,2021-07-14,30.71,30.71,30.532,30.532,30.532,2900
24,2021-07-15,30.34,30.34,30.266,30.205,30.266,900
25,2021-07-16,30.235,30.235,30.084,30.084,30.084,600
26,2021-07-19,29.61,29.61,29.377,29.22,29.377,21000
27,2021-07-20,29.67,29.786,29.786,29.67,29.786,5000
28,2021-07-21,30.18,30.227,30.227,30.18,30.227,1400
29,2021-07-22,30.175,30.192,30.192,30.175,30.192,600
30,2021-07-23,30.4,30.431,30.422,30.371,30.422,2800
31,2021-07-26,30.455,30.5,30.478,30.455,30.478,1100
32,2021-07-27,30.37,30.389,30.384,30.345,30.384,1600
33,2021-07-28,30.245,30.352,30.352,30.245,30.352,3200
34,2021-07-29,30.65,30.65,30.588,30.588,30.588,600
35,2021-07-30,30.315,30.315,30.29,30.29,30.29,600
36,2021-08-02,30.709,30.709,30.514,30.514,30.514,600
37,2021-08-03,30.62,30.795,30.744,30.62,30.744,4700
38,2021-08-04,30.93,30.93,30.734,30.721,30.734,1100
39,2021-08-05,30.933,30.933,30.933,30.933,30.933,200
40,2021-08-06,31.1,31.1,30.898,30.898,30.898,2800
41,2021-08-09,30.817,30.817,30.805,30.805,30.805,400
42,2021-08-10,30.92,30.97,30.968,30.91,30.968,1400
43,2021-08-11,31.16,31.16,31.122,31.12,31.122,400
44,2021-08-12,31.1,31.1,31.065,31.065,31.065,400
45,2021-08-13,31.29,31.29,31.252,31.252,31.252,900
46,2021-08-16,30.99,31.0,30.9582,30.86,30.9582,3721
47,2021-08-17,30.3,30.34,30.22,30.0781,30.22,4504
48,2021-08-18,30.155,30.155,30.004,30.004,30.004,800
49,2021-08-19,29.73,29.869,29.737,29.654,29.737,22200
50,2021-08-20,29.679,29.8,29.8,29.65,29.8,5000
51,2021-08-23,29.69,30.2,30.131,29.69,30.131,17500
52,2021-08-24,30.33,30.5,30.44,30.25,30.44,6600
53,2021-08-25,30.52,30.64,30.55,30.52,30.55,4000
54,2021-08-26,30.337,30.34,30.25,30.25,30.25,900
55,2021-08-27,30.65,30.65,30.607,30.598,30.607,1900
56,2021-08-30,30.7019,30.7019,30.68,30.68,30.68,700
57,2021-08-31,30.67,30.67,30.6452,30.63,30.6452,4977
58,2021-09-01,31.03,31.0369,30.91,30.91,30.91,1074
59,2021-09-02,31.22,31.223,31.16,31.16,31.16,700
60,2021-09-03,31.261,31.44,31.37,31.261,31.37,700
61,2021-09-07,31.29,31.29,31.2373,31.2373,31.2373,2186
