,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,25.99,26.1231,26.1231,25.99,25.943,9624
1,2021-06-11,26.14,26.15,26.14,26.1201,25.9598,8962
2,2021-06-14,26.1,26.11,26.05,26.025,25.8704,23453
3,2021-06-15,26.04,26.08,26.0774,26.035,25.8976,14456
4,2021-06-16,26.11,26.14,26.08,25.97,25.9002,565927
5,2021-06-17,26.08,26.22,26.141,26.08,25.9608,20988
6,2021-06-18,26.19,26.27,26.2567,26.17,26.0757,15066
7,2021-06-21,26.17,26.18,26.13,26.11,25.9499,8892
8,2021-06-22,26.07,26.16,26.16,26.06,25.9797,5794
9,2021-06-23,26.13,26.15,26.13,26.1201,25.9499,12720
10,2021-06-24,26.16,26.19,26.1615,26.14,25.9812,8562
11,2021-06-25,26.17,26.17,26.1027,26.0509,25.9228,11565
12,2021-06-28,26.18,26.22,26.21,26.17,26.0293,11158
13,2021-06-29,26.19,26.23,26.23,26.19,26.0492,11318
14,2021-06-30,26.19,26.23,26.2,26.19,26.0839,693115
15,2021-07-01,26.2,26.21,26.18,26.14,26.064,11351
16,2021-07-02,26.18,26.25,26.25,26.18,26.1337,8839
17,2021-07-06,26.2801,26.37,26.326,26.28,26.2094,29305
18,2021-07-07,26.38,26.44,26.405,26.38,26.288,10956
19,2021-07-08,26.39,26.44,26.4146,26.39,26.2976,7689
20,2021-07-09,26.31,26.35,26.31,26.3,26.1934,36927
21,2021-07-12,26.34,26.35,26.3003,26.29,26.1838,3725
22,2021-07-13,26.34,26.35,26.215,26.21,26.0989,37469
23,2021-07-14,26.29,26.33,26.33,26.29,26.2134,6268
24,2021-07-15,26.38,26.39,26.38,26.32,26.2631,24831
25,2021-07-16,26.29,26.38,26.355,26.29,26.2382,9909
26,2021-07-19,26.5,26.55,26.53,26.48,26.4125,54997
27,2021-07-20,26.6,26.6,26.46,26.45,26.3428,61938
28,2021-07-21,26.4,26.41,26.39,26.369,26.2731,28817
29,2021-07-22,26.41,26.49,26.48,26.41,26.3627,21874
30,2021-07-23,26.41,26.46,26.46,26.4,26.3428,6480
31,2021-07-26,26.48,26.48,26.43,26.42,26.3129,13016
32,2021-07-27,26.5,26.51,26.502,26.47,26.3846,60140
33,2021-07-28,26.46,26.548,26.548,26.46,26.4304,8371
34,2021-07-29,26.48,26.51,26.5,26.47,26.3826,15385
35,2021-07-30,26.44,26.48,26.46,26.43,26.4024,649664
36,2021-08-02,26.49,26.57,26.5052,26.48,26.4475,3361
37,2021-08-03,26.54,26.56,26.5451,26.5323,26.4873,11857
38,2021-08-04,26.62,26.63,26.55,26.4699,26.4922,13038
39,2021-08-05,26.51,26.52,26.46,26.46,26.4024,87070
40,2021-08-06,26.34,26.34,26.2898,26.2898,26.2326,6987
41,2021-08-09,26.3,26.3,26.2033,26.2018,26.1463,3241
42,2021-08-10,26.26,26.26,26.17,26.15,26.113,44689
43,2021-08-11,26.17,26.22,26.2026,26.13,26.1456,26429
44,2021-08-12,26.175,26.22,26.22,26.17,26.1629,46299
45,2021-08-13,26.27,26.3544,26.3544,26.265,26.297,3256
46,2021-08-16,26.44,26.44,26.37,26.36,26.3126,4885
47,2021-08-17,26.35,26.355,26.34,26.33,26.2827,67689
48,2021-08-18,26.33,26.34,26.3155,26.31,26.2582,9508
49,2021-08-19,26.36,26.39,26.3751,26.33,26.3177,13111
50,2021-08-20,26.4,26.4001,26.387,26.37,26.3296,12111
51,2021-08-23,26.39,26.42,26.4042,26.38,26.3467,48746
52,2021-08-24,26.34,26.385,26.345,26.34,26.2877,22401
53,2021-08-25,26.36,26.36,26.291,26.28,26.291,5300
54,2021-08-26,26.27,26.3,26.29,26.25,26.29,43000
55,2021-08-27,26.295,26.415,26.415,26.295,26.415,8600
56,2021-08-30,26.4,26.48,26.46,26.4,26.4024,17649
57,2021-08-31,26.41,26.45,26.35,26.3401,26.35,27344
58,2021-09-01,26.33,26.38,26.365,26.32,26.365,29757
59,2021-09-02,26.39,26.41,26.3995,26.3699,26.3995,63348
60,2021-09-03,26.32,26.33,26.3216,26.31,26.3216,13742
61,2021-09-07,26.25,26.25,26.21,26.17,26.21,15789
