,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,20.8169,20.8169,20.8169,20.8169,20.6279,36
1,2021-06-21,20.21,20.21,20.2,20.15,20.012,400
2,2021-06-22,20.2,20.2,20.2,20.2,20.012,0
3,2021-06-23,20.2,20.2,20.2,20.2,20.012,0
4,2021-06-24,20.5,20.68,20.68,20.5,20.68,100
5,2021-06-25,20.74,20.74,20.36,20.36,20.36,200
6,2021-06-28,20.33,20.44,20.39,20.22,20.39,4300
7,2021-06-29,20.23,20.34,20.29,20.17,20.29,24600
8,2021-06-30,20.03,20.17,20.17,20.03,20.17,700
9,2021-07-01,19.83,19.89,19.89,19.83,19.89,400
10,2021-07-02,19.97,20.07,20.07,19.85,20.07,1700
11,2021-07-06,19.68,19.68,19.38,19.38,19.38,800
12,2021-07-07,19.47,19.47,19.47,19.47,19.47,300
13,2021-07-08,19.1,19.28,19.17,19.1,19.17,6900
14,2021-07-09,19.26,19.61,19.42,19.25,19.42,2400
15,2021-07-12,19.585,19.765,19.765,19.52,19.765,987
16,2021-07-13,19.765,19.765,19.765,19.765,19.765,55
17,2021-07-14,19.94,19.94,19.9,19.83,19.9,500
18,2021-07-15,19.9,19.9,19.9,19.9,19.9,100
19,2021-07-16,19.71,19.71,19.61,19.61,19.61,100
20,2021-07-19,19.61,19.61,19.61,19.61,19.61,100
21,2021-07-20,19.61,19.61,19.61,19.61,19.61,100
22,2021-07-21,19.61,19.61,19.61,19.61,19.61,100
23,2021-07-22,19.49,19.49,19.49,19.41,19.49,1600
24,2021-07-23,19.75,19.75,19.75,19.75,19.75,800
25,2021-07-26,19.75,19.75,19.75,19.75,19.75,400
26,2021-07-27,19.75,19.75,19.75,19.75,19.75,0
27,2021-07-28,19.64,19.83,19.83,19.54,19.83,800
28,2021-07-29,19.86,19.98,19.98,19.86,19.98,700
29,2021-07-30,19.51,19.51,19.32,19.32,19.32,300
30,2021-08-02,19.6,19.6,19.39,19.31,19.39,3100
31,2021-08-03,19.1,19.44,19.44,19.1,19.44,200
32,2021-08-04,19.19,19.34,19.34,19.19,19.34,400
33,2021-08-05,19.2,19.2,19.17,19.17,19.17,1400
34,2021-08-06,19.14,19.24,19.24,19.14,19.24,400
35,2021-08-09,19.1,19.31,19.15,19.1,19.15,1600
36,2021-08-10,19.3,19.33,19.3,19.3,19.3,800
37,2021-08-11,19.3,19.3,19.3,19.3,19.3,0
38,2021-08-12,19.3,19.3,19.3,19.3,19.3,0
39,2021-08-13,19.3,19.3,19.3,19.3,19.3,0
40,2021-08-16,19.3,19.3,19.3,19.3,19.3,0
41,2021-08-17,18.82,18.85,18.83,18.7,18.83,700
42,2021-08-18,18.78,18.86,18.74,18.71,18.74,2800
43,2021-08-19,18.53,18.57,18.57,18.5,18.57,16700
44,2021-08-20,18.57,18.57,18.57,18.57,18.57,0
45,2021-08-23,18.9299,18.9299,18.92,18.92,18.92,2581
46,2021-08-24,19.0,19.0,19.0,19.0,19.0,121
47,2021-08-25,19.37,19.43,19.43,19.36,19.43,700
48,2021-08-26,19.43,19.43,19.43,19.43,19.43,0
49,2021-08-27,19.53,19.53,19.45,19.45,19.45,600
50,2021-08-30,19.45,19.45,19.45,19.45,19.45,0
51,2021-08-31,19.45,19.45,19.45,19.45,19.45,0
52,2021-09-01,19.9,19.9,19.66,19.66,19.66,1200
53,2021-09-02,18.12,19.66,19.37,18.12,19.37,2600
54,2021-09-03,19.35,19.47,19.34,19.34,19.34,1200
55,2021-09-07,19.59,19.59,19.3923,19.3923,19.3923,2606
