,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,27.961,28.1,28.015,27.961,28.015,1300
1,2021-06-11,28.19,28.19,28.154,28.06,28.154,1500
2,2021-06-14,28.18,28.2,28.186,28.12,28.186,3800
3,2021-06-15,28.24,28.28,28.237,28.237,28.237,2200
4,2021-06-16,28.329,28.329,28.259,28.259,28.259,300
5,2021-06-17,28.19,28.19,28.181,28.12,28.181,2200
6,2021-06-18,27.97,27.97,27.832,27.809,27.832,2900
7,2021-06-21,27.93,28.09,28.051,27.911,28.051,800
8,2021-06-22,28.032,28.08,28.08,28.032,28.08,1500
9,2021-06-23,28.06,28.06,27.908,27.908,27.908,500
10,2021-06-24,28.15,28.15,28.15,28.15,28.15,300
11,2021-06-25,28.171,28.26,28.24,28.171,28.24,2000
12,2021-06-28,28.157,28.23,28.15,28.15,28.15,3600
13,2021-06-29,28.11,28.231,28.231,28.11,28.231,2600
14,2021-06-30,28.07,28.07,28.07,28.07,28.07,600
15,2021-07-01,28.162,28.176,28.176,28.162,28.176,700
16,2021-07-02,28.27,28.27,28.22,28.22,28.22,1200
17,2021-07-06,28.3,28.3,28.11,28.1,28.11,3532
18,2021-07-07,28.295,28.37,28.317,28.22,28.317,4400
19,2021-07-08,27.981,28.07,27.92,27.92,27.92,900
20,2021-07-09,28.23,28.274,28.274,28.23,28.274,300
21,2021-07-12,28.452,28.452,28.452,28.452,28.452,100
22,2021-07-13,28.46,28.529,28.46,28.46,28.46,2300
23,2021-07-14,28.59,28.59,28.493,28.47,28.493,1600
24,2021-07-15,28.251,28.349,28.349,28.251,28.349,200
25,2021-07-16,28.231,28.3,28.234,28.231,28.234,600
26,2021-07-19,27.76,27.85,27.7886,26.29,27.7886,12263
27,2021-07-20,28.06,28.06,28.06,28.06,28.06,202
28,2021-07-21,28.29,28.36,28.36,28.27,28.36,3300
29,2021-07-22,28.249,28.296,28.296,28.235,28.296,1000
30,2021-07-23,28.56,28.58,28.58,28.535,28.58,1700
31,2021-07-26,28.5509,28.5509,28.5509,28.5509,28.5509,111
32,2021-07-27,28.34,28.415,28.415,28.34,28.415,572
33,2021-07-28,28.43,28.454,28.454,28.415,28.454,1500
34,2021-07-29,28.575,28.64,28.64,28.575,28.64,2500
35,2021-07-30,28.437,28.437,28.434,28.434,28.434,300
36,2021-08-02,28.583,28.583,28.583,28.583,28.583,500
37,2021-08-03,28.75,28.779,28.739,28.62,28.739,3200
38,2021-08-04,28.77,28.77,28.76,28.719,28.76,3400
39,2021-08-05,28.741,28.741,28.741,28.741,28.741,100
40,2021-08-06,28.63,28.647,28.637,28.57,28.637,8200
41,2021-08-09,28.647,28.779,28.735,28.64,28.735,2500
42,2021-08-10,28.7,28.812,28.799,28.7,28.799,2400
43,2021-08-11,28.861,29.019,28.96,28.861,28.96,800
44,2021-08-12,28.9,29.01,28.966,28.9,28.966,3800
45,2021-08-13,28.951,29.011,29.011,28.951,29.011,300
46,2021-08-16,28.69,28.91,28.898,28.69,28.898,2700
47,2021-08-17,28.77,28.78,28.775,28.77,28.775,1000
48,2021-08-18,28.75,28.75,28.605,28.605,28.605,400
49,2021-08-19,28.515,28.515,28.515,28.515,28.515,100
50,2021-08-20,28.71,28.71,28.683,28.683,28.683,200
51,2021-08-23,28.711,28.74,28.74,28.71,28.74,1600
52,2021-08-24,28.77,28.77,28.741,28.74,28.741,600
53,2021-08-25,28.632,28.695,28.689,28.632,28.689,800
54,2021-08-26,28.633,28.633,28.633,28.633,28.633,100
55,2021-08-27,28.671,28.71,28.71,28.671,28.71,1500
56,2021-08-30,28.7766,28.86,28.86,28.7766,28.86,981
57,2021-08-31,28.68,28.7169,28.7169,28.68,28.7169,608
58,2021-09-01,28.72,28.86,28.86,28.72,28.86,2215
59,2021-09-02,28.98,28.98,28.862,28.811,28.862,500
60,2021-09-03,29.027,29.027,29.027,29.027,29.027,100
61,2021-09-07,29.09,29.17,29.17,29.09,29.17,610
