,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,43.7,43.795,43.775,43.68,43.775,2700
1,2021-06-11,44.0,44.0,43.985,43.825,43.985,6600
2,2021-06-14,44.24,44.24,43.8238,43.69,43.8238,3001
3,2021-06-15,43.76,43.92,43.8249,43.71,43.8249,7595
4,2021-06-16,43.9,43.9,43.494,43.35,43.494,6100
5,2021-06-17,43.34,43.34,43.25,43.03,43.25,3500
6,2021-06-18,42.9,42.9,42.677,42.677,42.677,2100
7,2021-06-21,43.32,43.3993,43.3922,43.32,43.3922,2166
8,2021-06-22,43.62,43.62,43.5627,43.24,43.5627,4250
9,2021-06-23,43.54,43.61,43.491,43.491,43.491,1000
10,2021-06-24,43.65,43.769,43.709,43.59,43.709,4100
11,2021-06-25,43.92,44.04,44.04,43.911,44.04,1700
12,2021-06-28,43.84,44.0405,44.0405,43.84,44.0405,2962
13,2021-06-29,44.07,44.24,44.0862,44.0,44.0862,5153
14,2021-06-30,44.16,44.16,44.08,43.9401,44.08,3805
15,2021-07-01,44.36,44.38,44.267,44.2,44.267,10800
16,2021-07-02,44.6,44.6,44.459,44.271,44.459,18300
17,2021-07-06,44.58,44.58,44.283,43.91,44.283,13600
18,2021-07-07,44.12,44.6,44.562,44.12,44.562,6600
19,2021-07-08,43.95,44.379,44.113,43.95,44.113,2800
20,2021-07-09,44.51,44.794,44.794,44.5,44.794,4000
21,2021-07-12,44.84,44.8499,44.8231,44.72,44.8231,7692
22,2021-07-13,44.62,44.6554,44.4344,44.39,44.4344,3424
23,2021-07-14,44.656,44.665,44.42,44.335,44.42,8000
24,2021-07-15,44.34,44.439,44.439,44.285,44.439,3800
25,2021-07-16,44.67,44.67,44.257,44.257,44.257,4000
26,2021-07-19,43.84,43.84,43.686,43.435,43.686,9300
27,2021-07-20,43.97,44.61,44.499,43.97,44.499,4300
28,2021-07-21,44.77,44.77,44.688,44.644,44.688,1500
29,2021-07-22,44.8,44.8,44.554,44.44,44.554,2800
30,2021-07-23,44.625,45.062,45.062,44.625,45.062,3200
31,2021-07-26,45.05,45.069,45.011,44.951,45.011,2300
32,2021-07-27,45.02,45.02,44.929,44.73,44.929,3800
33,2021-07-28,44.88,45.01,44.942,44.85,44.942,1800
34,2021-07-29,45.095,45.41,45.333,45.095,45.333,1600
35,2021-07-30,45.05,45.42,45.291,45.05,45.291,1900
36,2021-08-02,45.5,45.59,45.29,45.29,45.29,8177
37,2021-08-03,45.26,45.72,45.6798,45.19,45.6798,4206
38,2021-08-04,45.63,45.63,45.4148,45.395,45.4148,7757
39,2021-08-05,45.58,45.58,45.455,45.355,45.455,8000
40,2021-08-06,45.57,45.575,45.5153,45.5153,45.5153,2628
41,2021-08-09,45.62,45.62,45.423,45.37,45.423,2200
42,2021-08-10,45.68,45.68,45.476,45.476,45.476,7100
43,2021-08-11,45.8,45.8,45.728,45.575,45.728,5500
44,2021-08-12,45.95,45.95,45.7185,45.6,45.7185,2684
45,2021-08-13,45.94,45.94,45.725,45.724,45.725,6519
46,2021-08-16,45.8,45.945,45.945,45.78,45.945,2500
47,2021-08-17,45.635,45.635,45.627,45.465,45.627,2700
48,2021-08-18,45.62,45.62,45.1918,45.1918,45.1918,2677
49,2021-08-19,45.08,45.39,45.257,45.08,45.257,4900
50,2021-08-20,45.5,45.719,45.662,45.5,45.662,8500
51,2021-08-23,46.02,46.02,45.791,45.791,45.791,9200
52,2021-08-24,46.03,46.03,45.882,45.85,45.882,3000
53,2021-08-25,46.0,46.25,46.21,45.9781,46.21,2138
54,2021-08-26,46.34,46.34,45.95,45.895,45.95,1500
55,2021-08-27,46.109,46.47,46.376,46.04,46.376,2900
56,2021-08-30,46.63,46.632,46.531,46.404,46.531,2900
57,2021-08-31,46.449,46.449,46.432,46.36,46.432,3500
58,2021-09-01,46.346,46.56,46.491,46.29,46.491,4200
59,2021-09-02,46.46,46.791,46.791,46.46,46.791,2500
60,2021-09-03,46.709,46.82,46.748,46.709,46.748,8100
61,2021-09-07,46.73,46.73,46.1491,46.1491,46.1491,6158
