,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,25.36,25.38,25.37,25.355,25.3336,109837
1,2021-06-11,25.36,25.37,25.37,25.35,25.3336,137103
2,2021-06-14,25.37,25.375,25.32,25.32,25.2837,247364
3,2021-06-15,25.33,25.36,25.36,25.33,25.3236,373554
4,2021-06-16,25.36,25.3699,25.36,25.35,25.3236,79443
5,2021-06-17,25.36,25.369,25.36,25.35,25.3236,131710
6,2021-06-18,25.35,25.37,25.36,25.34,25.3236,252907
7,2021-06-21,25.38,25.38,25.37,25.35,25.3336,232991
8,2021-06-22,25.37,25.37,25.36,25.36,25.3236,113216
9,2021-06-23,25.37,25.38,25.37,25.36,25.3336,282048
10,2021-06-24,25.38,25.4,25.36,25.31,25.3236,310789
11,2021-06-25,25.38,25.38,25.37,25.3623,25.3336,690770
12,2021-06-28,25.37,25.39,25.375,25.37,25.3386,127966
13,2021-06-29,25.37,25.39,25.38,25.37,25.3436,175462
14,2021-06-30,25.39,25.39,25.38,25.38,25.3436,142914
15,2021-07-01,25.36,25.4,25.37,25.36,25.3459,176278
16,2021-07-02,25.37,25.37,25.365,25.36,25.3409,54712
17,2021-07-06,25.37,25.38,25.36,25.36,25.3359,112318
18,2021-07-07,25.37,25.37,25.36,25.35,25.3359,159407
19,2021-07-08,25.35,25.38,25.375,25.35,25.3509,290047
20,2021-07-09,25.37,25.38,25.37,25.36,25.3459,149693
21,2021-07-12,25.36,25.385,25.37,25.36,25.3459,273081
22,2021-07-13,25.38,25.38,25.37,25.37,25.3459,100358
23,2021-07-14,25.37,25.38,25.37,25.37,25.3459,142539
24,2021-07-15,25.37,25.38,25.38,25.37,25.3559,232735
25,2021-07-16,25.38,25.38,25.37,25.37,25.3459,90137
26,2021-07-19,25.39,25.39,25.37,25.365,25.3459,158645
27,2021-07-20,25.38,25.395,25.38,25.37,25.3559,355361
28,2021-07-21,25.39,25.39,25.37,25.37,25.3459,164828
29,2021-07-22,25.37,25.38,25.38,25.37,25.3559,66277
30,2021-07-23,25.39,25.39,25.375,25.37,25.3509,159566
31,2021-07-26,25.37,25.38,25.3749,25.36,25.3508,71242
32,2021-07-27,25.38,25.38,25.38,25.3602,25.3559,63500
33,2021-07-28,25.38,25.39,25.38,25.375,25.3559,114461
34,2021-07-29,25.37,25.39,25.385,25.37,25.3609,108340
35,2021-07-30,25.39,25.39,25.37,25.37,25.3459,54624
36,2021-08-02,25.36,25.38,25.38,25.36,25.3683,105894
37,2021-08-03,25.39,25.39,25.38,25.36,25.3683,125857
38,2021-08-04,25.37,25.37,25.37,25.36,25.3583,445964
39,2021-08-05,25.36,25.37,25.37,25.36,25.3583,78133
40,2021-08-06,25.37,25.37,25.37,25.36,25.3583,123620
41,2021-08-09,25.37,25.38,25.37,25.36,25.3583,78147
42,2021-08-10,25.37,25.37,25.37,25.3583,25.3583,74759
43,2021-08-11,25.36,25.37,25.37,25.36,25.3583,114590
44,2021-08-12,25.37,25.38,25.38,25.36,25.3683,177100
45,2021-08-13,25.37,25.38,25.37,25.36,25.3583,97548
46,2021-08-16,25.36,25.38,25.375,25.36,25.3633,124343
47,2021-08-17,25.36,25.37,25.37,25.36,25.3583,71671
48,2021-08-18,25.37,25.38,25.36,25.36,25.3483,119853
49,2021-08-19,25.37,25.38,25.38,25.36,25.3683,1493489
50,2021-08-20,25.38,25.38,25.37,25.37,25.3583,110978
51,2021-08-23,25.36,25.38,25.36,25.36,25.3483,144403
52,2021-08-24,25.37,25.38,25.38,25.36,25.3683,103840
53,2021-08-25,25.38,25.38,25.36,25.36,25.3483,106859
54,2021-08-26,25.38,25.38,25.38,25.36,25.3683,143378
55,2021-08-27,25.38,25.39,25.38,25.36,25.3683,166176
56,2021-08-30,25.37,25.38,25.37,25.36,25.3583,931935
57,2021-08-31,25.36,25.38,25.365,25.35,25.3533,444735
58,2021-09-01,25.38,25.38,25.365,25.36,25.365,112340
59,2021-09-02,25.36,25.37,25.36,25.36,25.36,90382
60,2021-09-03,25.37,25.38,25.36,25.36,25.36,127853
61,2021-09-07,25.36,25.37,25.36,25.36,25.36,155172
