,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,72.45,72.47,72.09,71.6,72.09,15400
1,2021-06-11,72.49,73.13,73.13,72.3,73.13,241800
2,2021-06-14,73.7,73.76,73.38,73.33,73.38,7900
3,2021-06-15,73.39,73.41,72.97,72.72,72.97,26900
4,2021-06-16,72.67,72.76,72.42,71.75,72.42,14800
5,2021-06-17,72.19,72.78,72.65,71.9,72.65,18200
6,2021-06-18,71.89,72.59,71.38,71.17,71.38,19100
7,2021-06-21,71.64,72.76,72.66,71.64,72.66,17100
8,2021-06-22,72.43,73.22,73.15,72.2,73.15,18200
9,2021-06-23,73.25,73.88,73.62,73.25,73.62,99200
10,2021-06-24,74.19,74.53,74.43,74.15,74.43,102900
11,2021-06-25,74.72,74.87,74.85,74.32,74.85,40800
12,2021-06-28,75.6,75.66,75.64,75.07,75.64,44000
13,2021-06-29,75.72,76.05,75.56,75.36,75.56,41300
14,2021-06-30,75.38,75.58,75.35,75.1,75.35,258800
15,2021-07-01,75.84,75.84,75.63,75.15,75.63,44900
16,2021-07-02,75.6,75.72,75.24,74.94,75.24,12800
17,2021-07-06,75.32,75.37,74.49,74.08,74.49,55800
18,2021-07-07,74.63,74.75,73.55,73.08,73.55,118800
19,2021-07-08,71.93,73.44,73.17,71.34,73.17,51500
20,2021-07-09,73.82,74.38,74.37,73.58,74.37,15300
21,2021-07-12,74.41,74.41,74.14,73.91,74.14,26800
22,2021-07-13,73.83,73.83,72.99,72.99,72.99,14000
23,2021-07-14,73.44,73.44,71.53,71.53,71.53,10600
24,2021-07-15,71.11,71.66,70.89,70.31,70.89,18200
25,2021-07-16,71.47,71.47,70.32,70.25,70.32,13400
26,2021-07-19,68.94,70.43,69.91,68.94,69.91,23900
27,2021-07-20,70.14,72.17,71.91,69.95,71.91,18900
28,2021-07-21,72.36,73.16,73.12,72.29,73.12,236100
29,2021-07-22,73.12,73.12,72.75,72.33,72.75,24800
30,2021-07-23,73.05,73.3,73.27,72.45,73.27,189500
31,2021-07-26,73.18,73.24,73.06,72.86,73.06,26300
32,2021-07-27,72.6,72.68,72.23,71.37,72.23,29700
33,2021-07-28,72.43,73.56,73.28,72.25,73.28,23900
34,2021-07-29,73.65,74.34,73.77,73.51,73.77,134600
35,2021-07-30,73.29,74.15,73.52,73.29,73.52,52900
36,2021-08-02,74.26,74.26,73.25,73.18,73.25,38800
37,2021-08-03,73.1,73.55,73.5,72.7,73.5,8500
38,2021-08-04,73.37,74.04,73.55,73.33,73.55,35800
39,2021-08-05,73.59,74.42,74.33,73.59,74.33,16200
40,2021-08-06,74.6,74.6,74.1,73.78,74.1,12600
41,2021-08-09,73.86,74.43,74.17,73.86,74.17,28000
42,2021-08-10,74.45,74.49,73.7,73.68,73.7,15400
43,2021-08-11,73.62,74.04,73.94,73.04,73.94,71200
44,2021-08-12,73.91,74.03,73.91,73.59,73.91,8600
45,2021-08-13,73.86,73.86,73.48,73.36,73.48,20000
46,2021-08-16,72.67,73.22,72.99,72.55,72.99,5200
47,2021-08-17,72.36,72.45,71.9,71.22,71.9,22700
48,2021-08-18,71.86,72.33,71.45,71.39,71.45,13600
49,2021-08-19,70.69,71.39,70.86,70.55,70.86,12900
50,2021-08-20,70.85,71.88,71.82,70.85,71.82,51200
51,2021-08-23,72.45,73.04,73.0,72.45,73.0,12600
52,2021-08-24,73.4,73.92,73.92,73.29,73.92,10700
53,2021-08-25,73.92,74.55,74.29,73.92,74.29,22500
54,2021-08-26,74.27,74.39,73.55,73.55,73.55,10500
55,2021-08-27,73.84,75.45,75.28,73.84,75.28,11900
56,2021-08-30,75.07,75.62,75.46,75.07,75.46,7400
57,2021-08-31,75.51,75.51,75.25,75.08,75.25,7300
58,2021-09-01,75.57,76.17,75.95,75.4,75.95,17000
59,2021-09-02,76.21,76.67,76.52,76.21,76.52,49700
60,2021-09-03,76.46,76.56,76.53,76.21,76.53,9400
61,2021-09-07,76.67,76.67,75.97,75.9287,75.97,7916
