,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,169.75,171.54,170.64,169.75,170.4606,18221
1,2021-06-11,169.66,173.04,172.69,169.66,172.5084,24318
2,2021-06-14,174.86,174.86,171.79,171.61,171.6094,16288
3,2021-06-15,171.27,172.79,171.36,170.95,171.1798,35638
4,2021-06-16,172.89,172.89,170.07,169.84,169.8912,37571
5,2021-06-17,169.8,171.94,170.51,168.43,170.3307,81487
6,2021-06-18,170.11,171.52,170.75,169.28,170.5705,45530
7,2021-06-21,170.82,175.53,174.42,170.68,174.2366,31999
8,2021-06-22,173.9558,175.16,174.3,172.91,174.1167,22738
9,2021-06-23,176.03,176.03,174.1,173.72,173.9169,18565
10,2021-06-24,176.18,176.18,174.07,172.83,173.887,47843
11,2021-06-25,174.36,174.59,173.73,173.04,173.5473,20713
12,2021-06-28,173.48,174.36,173.57,172.06,173.387,24500
13,2021-06-29,173.88,174.713,173.47,173.47,173.47,14900
14,2021-06-30,172.67,173.03,171.26,170.36,171.26,24200
15,2021-07-01,170.73,172.76,172.25,170.03,172.25,20300
16,2021-07-02,174.45,174.99,174.64,172.28,174.64,17300
17,2021-07-06,174.64,175.6,175.43,172.22,175.43,31300
18,2021-07-07,175.635,175.66,174.75,173.68,174.75,24200
19,2021-07-08,173.53,176.17,174.97,170.1,174.97,36400
20,2021-07-09,174.7,178.22,178.14,174.7,178.14,18100
21,2021-07-12,178.1,179.26,179.06,178.1,179.06,12300
22,2021-07-13,178.089,180.43,178.16,177.36,178.16,17700
23,2021-07-14,178.01,180.21,178.35,178.01,178.35,13200
24,2021-07-15,179.2,179.765,175.9,175.58,175.9,95700
25,2021-07-16,176.02,181.31,180.53,176.02,180.53,60400
26,2021-07-19,179.44,179.44,174.87,173.35,174.87,26000
27,2021-07-20,175.07,179.16,178.87,171.34,178.87,17500
28,2021-07-21,179.57,185.23,184.89,179.51,184.89,34600
29,2021-07-22,185.7,185.7,182.55,181.97,182.55,18600
30,2021-07-23,182.57,183.18,182.16,181.19,182.16,47400
31,2021-07-26,181.71,182.53,180.69,180.69,180.69,24400
32,2021-07-27,186.65,188.35,184.58,180.36,184.58,49000
33,2021-07-28,185.95,189.9,187.37,184.9,187.37,37500
34,2021-07-29,189.79,191.2,189.01,188.66,189.01,29900
35,2021-07-30,188.83,189.4,185.96,185.3,185.96,52300
36,2021-08-02,185.96,187.425,186.65,185.6,186.65,14200
37,2021-08-03,186.531,186.84,186.21,184.75,186.21,24300
38,2021-08-04,186.52,190.37,189.5,186.52,189.5,20700
39,2021-08-05,189.34,191.79,190.81,189.34,190.81,1670000
40,2021-08-06,189.0,189.85,189.37,187.73,189.37,16400
41,2021-08-09,190.34,190.55,189.25,188.56,189.25,14500
42,2021-08-10,190.43,190.48,189.76,189.61,189.76,28200
43,2021-08-11,190.97,191.775,189.7,189.59,189.7,30900
44,2021-08-12,189.82,191.151,190.14,189.26,190.14,20600
45,2021-08-13,189.48,190.47,189.16,189.16,189.16,18200
46,2021-08-16,189.1,189.45,188.36,188.01,188.36,35600
47,2021-08-17,186.5,186.66,186.45,184.13,186.45,17200
48,2021-08-18,186.45,186.48,182.83,182.33,182.83,25000
49,2021-08-19,182.4,185.11,184.9,181.11,184.9,29000
50,2021-08-20,183.28,187.34,187.21,183.28,187.21,15600
51,2021-08-23,189.1,189.15,188.32,187.39,188.32,9400
52,2021-08-24,187.793,188.79,188.34,186.91,188.34,11400
53,2021-08-25,189.09,189.09,188.33,187.32,188.33,12600
54,2021-08-26,188.08,188.08,187.03,184.8,187.03,24500
55,2021-08-27,186.76,188.35,184.74,184.74,184.74,16800
56,2021-08-30,186.85,187.68,186.38,185.06,186.38,12900
57,2021-08-31,187.249,187.27,186.07,185.76,186.07,49300
58,2021-09-01,187.16,188.11,187.79,185.75,187.79,44000
59,2021-09-02,188.82,190.04,190.04,187.383,190.04,13200
60,2021-09-03,190.59,190.59,188.89,187.73,188.89,13100
61,2021-09-07,186.76,188.05,186.97,185.83,186.97,10341
