,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,1.3,1.334,1.31,1.283,1.31,399000
1,2021-06-11,1.32,1.33,1.29,1.27,1.29,216300
2,2021-06-14,1.27,1.286,1.27,1.25,1.27,335000
3,2021-06-15,1.27,1.27,1.23,1.23,1.23,396200
4,2021-06-16,1.27,1.28,1.25,1.22,1.25,284000
5,2021-06-17,1.22,1.222,1.22,1.19,1.22,391300
6,2021-06-18,1.22,1.23,1.23,1.21,1.23,147600
7,2021-06-21,1.24,1.26,1.21,1.21,1.21,177100
8,2021-06-22,1.24,1.24,1.2,1.2,1.2,188700
9,2021-06-23,1.2,1.22,1.19,1.19,1.19,125300
10,2021-06-24,1.27,1.27,1.21,1.21,1.21,95300
11,2021-06-25,1.2,1.23,1.19,1.19,1.19,117100
12,2021-06-28,1.21,1.225,1.215,1.18,1.215,336800
13,2021-06-29,1.19,1.22,1.22,1.19,1.22,258200
14,2021-06-30,1.21,1.22,1.2,1.19,1.2,209900
15,2021-07-01,1.2,1.22,1.22,1.2,1.22,175200
16,2021-07-02,1.22,1.23,1.19,1.15,1.19,381300
17,2021-07-06,1.18,1.21,1.18,1.18,1.18,165800
18,2021-07-07,1.18,1.189,1.15,1.146,1.15,281200
19,2021-07-08,1.15,1.156,1.115,1.1,1.115,336800
20,2021-07-09,1.15,1.152,1.15,1.13,1.15,171400
21,2021-07-12,1.15,1.15,1.14,1.1,1.14,161300
22,2021-07-13,1.12,1.12,1.105,1.1,1.105,192000
23,2021-07-14,1.13,1.13,1.1,1.1,1.1,90500
24,2021-07-15,1.1,1.11,1.1,1.09,1.1,240800
25,2021-07-16,1.09,1.106,1.06,1.05,1.06,287500
26,2021-07-19,1.05,1.06,1.03,0.99,1.03,392000
27,2021-07-20,1.02,1.02,0.989,0.97,0.989,642300
28,2021-07-21,0.99,1.04,1.04,0.99,1.04,116700
29,2021-07-22,1.05,1.05,1.04,1.02,1.04,120300
30,2021-07-23,1.03,1.05,1.02,1.0,1.02,224300
31,2021-07-26,1.01,1.02,1.0,1.0,1.0,299300
32,2021-07-27,1.02,1.035,0.97,0.957,0.97,386800
33,2021-07-28,0.97,1.0,0.997,0.96,0.997,181700
34,2021-07-29,1.02,1.04,1.03,1.015,1.03,230600
35,2021-07-30,1.02,1.04,0.992,0.981,0.992,261400
36,2021-08-02,0.9844,0.9999,0.9594,0.9302,0.9594,455702
37,2021-08-03,0.965,1.0,0.981,0.9401,0.981,339868
38,2021-08-04,0.997,1.02,0.98,0.97,0.98,202900
39,2021-08-05,1.01,1.01,0.97,0.94,0.97,283500
40,2021-08-06,0.95,0.954,0.954,0.904,0.954,238600
41,2021-08-09,0.961,0.961,0.901,0.901,0.901,237600
42,2021-08-10,0.93,0.93,0.901,0.888,0.901,537900
43,2021-08-11,0.9,0.91,0.88,0.87,0.88,467700
44,2021-08-12,0.88,0.905,0.885,0.87,0.885,605500
45,2021-08-13,0.916,0.918,0.88,0.87,0.88,233100
46,2021-08-16,0.89,0.896,0.865,0.861,0.865,386200
47,2021-08-17,0.84,0.855,0.815,0.807,0.815,407500
48,2021-08-18,0.801,0.81,0.752,0.723,0.752,767200
49,2021-08-19,0.73,0.75,0.712,0.712,0.712,499300
50,2021-08-20,0.74,0.75,0.673,0.66,0.673,815000
51,2021-08-23,0.68,0.718,0.718,0.68,0.718,518900
52,2021-08-24,0.75,0.75,0.75,0.72,0.75,188100
53,2021-08-25,0.768,0.768,0.72,0.72,0.72,352400
54,2021-08-26,0.72,0.745,0.715,0.71,0.715,593200
55,2021-08-27,0.72,0.759,0.75,0.72,0.75,463700
56,2021-08-30,0.752,0.758,0.75,0.732,0.75,377000
57,2021-08-31,0.78,0.78,0.749,0.719,0.749,384600
58,2021-09-01,0.752,0.76,0.736,0.726,0.736,423000
59,2021-09-02,0.735,0.75,0.736,0.735,0.736,216500
60,2021-09-03,0.75,0.78,0.78,0.739,0.78,274100
61,2021-09-07,0.78,0.789,0.7695,0.7587,0.7695,222596
