,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,31.18,31.27,31.26,31.13,31.0881,105078
1,2021-06-11,31.27,31.3847,31.3847,31.18,31.2121,10223
2,2021-06-14,31.34,31.48,31.37,31.232,31.1975,20627
3,2021-06-15,31.32,31.595,31.46,31.32,31.287,68233
4,2021-06-16,31.49,31.49,30.975,30.9212,30.8047,66864
5,2021-06-17,30.9601,31.115,30.95,30.8637,30.7798,12542
6,2021-06-18,30.79,30.79,30.07,30.0201,29.9047,26490
7,2021-06-21,30.16,30.52,30.49,30.14,30.3223,27500
8,2021-06-22,30.47,30.47,30.27,30.27,30.1035,14900
9,2021-06-23,30.29,30.29,29.99,29.98,29.825,13300
10,2021-06-24,29.88,29.94,29.91,29.73,29.91,19600
11,2021-06-25,29.91,30.29,30.27,29.9,30.27,30500
12,2021-06-28,30.39,30.41,30.36,30.25,30.36,14800
13,2021-06-29,30.34,30.46,29.91,29.86,29.91,21400
14,2021-06-30,29.9,29.97,29.93,29.78,29.93,45400
15,2021-07-01,29.94,30.35,30.24,29.92,30.24,279800
16,2021-07-02,30.33,30.33,30.29,30.13,30.29,14300
17,2021-07-06,30.28,30.2875,30.26,29.88,30.26,14167
18,2021-07-07,30.22,30.47,30.47,30.17,30.47,39200
19,2021-07-08,30.4,30.44,30.31,30.29,30.31,12500
20,2021-07-09,30.25,30.51,30.5,30.23,30.5,9600
21,2021-07-12,30.39,30.6,30.55,30.39,30.55,13661
22,2021-07-13,30.5,30.52,30.24,30.1901,30.24,15645
23,2021-07-14,30.35,30.57,30.46,30.16,30.46,12900
24,2021-07-15,30.44,30.8,30.78,30.44,30.78,33700
25,2021-07-16,30.87,31.18,31.04,30.87,31.04,26900
26,2021-07-19,30.91,31.03,30.41,30.12,30.41,20500
27,2021-07-20,30.45,30.86,30.68,30.45,30.68,8200
28,2021-07-21,30.65,30.75,30.37,30.35,30.37,19300
29,2021-07-22,30.44,30.49,30.37,30.28,30.37,27000
30,2021-07-23,30.47,30.77,30.76,30.44,30.76,17300
31,2021-07-26,30.75,30.78,30.76,30.66,30.76,20700
32,2021-07-27,30.81,31.32,31.27,30.75,31.27,25400
33,2021-07-28,31.04,31.14,31.08,30.86,31.08,243800
34,2021-07-29,31.1,31.21,31.14,31.01,31.14,28000
35,2021-07-30,31.29,31.35,30.82,30.79,30.82,27000
36,2021-08-02,31.0,31.17,31.03,30.93,31.03,56900
37,2021-08-03,31.12,31.27,31.2,31.02,31.2,48800
38,2021-08-04,31.05,31.05,31.01,30.72,31.01,45400
39,2021-08-05,31.12,31.37,31.35,31.04,31.35,52900
40,2021-08-06,31.32,31.63,31.42,31.32,31.42,27200
41,2021-08-09,31.39,31.47,31.47,31.2708,31.47,21677
42,2021-08-10,31.41,31.56,31.49,31.371,31.49,71912
43,2021-08-11,31.51,31.75,31.71,31.51,31.71,36900
44,2021-08-12,31.71,31.8,31.7,31.63,31.7,17800
45,2021-08-13,31.74,31.94,31.9,31.69,31.9,24900
46,2021-08-16,31.93,32.28,32.01,31.93,32.01,45100
47,2021-08-17,31.98,32.02,32.02,31.72,32.02,53400
48,2021-08-18,31.92,32.0,31.85,31.75,31.85,25200
49,2021-08-19,31.81,32.16,31.86,31.81,31.86,16600
50,2021-08-20,31.86,32.22,32.2,31.75,32.2,33800
51,2021-08-23,32.14,32.18,31.87,31.8,31.87,21200
52,2021-08-24,31.86,31.86,31.7,31.57,31.7,33300
53,2021-08-25,31.7,31.84,31.75,31.54,31.75,29800
54,2021-08-26,31.69,31.73,31.62,31.57,31.62,14500
55,2021-08-27,31.77,31.83,31.7,31.62,31.7,26900
56,2021-08-30,31.67,31.74,31.69,31.62,31.69,23414
57,2021-08-31,31.65,31.829,31.69,31.5911,31.69,72133
58,2021-09-01,31.72,32.13,32.05,31.72,32.05,142192
59,2021-09-02,32.06,32.27,32.26,32.06,32.26,12600
60,2021-09-03,32.21,32.21,32.0,32.0,32.0,13100
61,2021-09-07,32.0,32.0,31.53,31.53,31.53,62372
