,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,32.61,32.83,32.7417,32.5731,32.554,3191
1,2021-06-11,33.06,33.06,32.6161,32.49,32.4291,3236
2,2021-06-14,32.62,32.62,32.5611,32.48,32.3744,5093
3,2021-06-15,32.38,32.45,32.3795,32.29,32.1939,1497
4,2021-06-16,32.37,32.37,32.2258,32.08,32.0411,2093
5,2021-06-17,32.1,32.1,31.8993,31.84,31.7164,1585
6,2021-06-18,31.6701,31.73,31.6581,31.625,31.4766,3144
7,2021-06-21,31.99,32.0,31.986,31.75,31.8029,3900
8,2021-06-22,31.78,32.04,31.98,31.73,31.797,3300
9,2021-06-23,32.054,32.31,32.12,32.02,31.9362,16500
10,2021-06-24,32.115,32.163,32.15,32.031,31.966,3900
11,2021-06-25,32.1,32.1,32.016,31.96,32.016,5000
12,2021-06-28,31.92,31.944,31.912,31.86,31.912,1700
13,2021-06-29,32.01,32.01,31.85,31.8,31.85,7000
14,2021-06-30,31.92,31.946,31.946,31.85,31.946,1500
15,2021-07-01,31.69,32.0334,32.0334,31.69,32.0334,4193
16,2021-07-02,31.97,32.0703,32.0703,31.97,32.0703,811
17,2021-07-06,31.84,31.87,31.83,31.56,31.83,6100
18,2021-07-07,31.99,32.0,31.661,31.661,31.661,9500
19,2021-07-08,31.67,31.67,31.56,31.52,31.56,3100
20,2021-07-09,31.879,32.0,31.817,31.74,31.817,7000
21,2021-07-12,31.86,31.9077,31.9077,31.85,31.9077,2563
22,2021-07-13,31.9,32.13,31.94,31.8965,31.94,8811
23,2021-07-14,31.98,31.98,31.71,31.64,31.71,7900
24,2021-07-15,31.56,31.74,31.66,31.56,31.66,700
25,2021-07-16,31.69,31.7,31.532,31.532,31.532,3100
26,2021-07-19,31.39,31.39,31.16,31.0,31.16,3352
27,2021-07-20,31.33,31.59,31.48,31.19,31.48,13856
28,2021-07-21,31.55,31.73,31.642,31.55,31.642,8800
29,2021-07-22,31.5,31.66,31.606,31.48,31.606,9100
30,2021-07-23,32.0,32.0,31.58,31.58,31.58,800
31,2021-07-26,31.34,32.01,31.887,31.34,31.887,4800
32,2021-07-27,31.54,32.09,31.94,31.34,31.94,17000
33,2021-07-28,32.25,32.25,32.154,31.725,32.154,2000
34,2021-07-29,32.39,32.39,32.22,32.22,32.22,3600
35,2021-07-30,32.23,32.37,32.222,32.22,32.222,2000
36,2021-08-02,32.26,32.38,32.306,32.25,32.306,1100
37,2021-08-03,32.21,32.22,32.22,32.06,32.22,6100
38,2021-08-04,32.47,32.47,31.965,31.93,31.965,5700
39,2021-08-05,32.02,32.081,32.081,32.02,32.081,200
40,2021-08-06,32.06,32.06,31.87,31.75,31.87,6700
41,2021-08-09,32.06,32.06,31.9602,31.9,31.9602,3095
42,2021-08-10,32.01,32.01,31.99,31.88,31.99,2677
43,2021-08-11,31.91,32.077,32.077,31.82,32.077,12000
44,2021-08-12,31.99,31.995,31.995,31.88,31.995,3900
45,2021-08-13,32.07,32.07,32.039,32.0,32.039,1139
46,2021-08-16,32.0,32.0,31.899,31.88,31.899,1200
47,2021-08-17,31.722,31.722,31.595,31.55,31.595,3000
48,2021-08-18,31.69,31.7107,31.54,31.54,31.54,4317
49,2021-08-19,31.51,31.51,31.27,31.2,31.27,2200
50,2021-08-20,31.19,31.19,31.16,31.1,31.16,5700
51,2021-08-23,31.14,31.28,31.17,31.14,31.17,4400
52,2021-08-24,31.31,31.98,31.97,31.23,31.97,11300
53,2021-08-25,32.04,32.04,31.935,31.935,31.935,700
54,2021-08-26,31.93,31.93,31.897,31.897,31.897,900
55,2021-08-27,32.02,32.4,32.28,32.02,32.28,7100
56,2021-08-30,32.13,32.33,32.307,32.13,32.307,8200
57,2021-08-31,32.27,32.44,32.44,32.27,32.44,1700
58,2021-09-01,32.57,32.63,32.62,32.37,32.62,2100
59,2021-09-02,32.86,32.86,32.59,32.55,32.59,1100
60,2021-09-03,32.43,32.55,32.52,32.43,32.52,1400
61,2021-09-07,32.374,32.44,32.3898,32.36,32.3898,2196
