,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,10.39,10.405,10.405,10.39,10.405,1600
1,2021-06-11,10.41,10.41,10.4,10.4,10.4,2000
2,2021-06-14,10.4,10.4,10.4,10.4,10.4,0
3,2021-06-15,10.39,10.432,10.432,10.39,10.432,600
4,2021-06-16,10.432,10.432,10.432,10.432,10.432,0
5,2021-06-17,10.432,10.432,10.432,10.432,10.432,0
6,2021-06-18,10.432,10.432,10.432,10.432,10.432,0
7,2021-06-21,10.471,10.587,10.436,10.4,10.436,3500
8,2021-06-22,10.436,10.436,10.436,10.436,10.436,0
9,2021-06-23,10.436,10.436,10.436,10.436,10.436,0
10,2021-06-24,10.436,10.436,10.436,10.436,10.436,0
11,2021-06-25,10.436,10.436,10.436,10.436,10.436,0
12,2021-06-28,10.71,10.74,10.42,10.42,10.42,2900
13,2021-06-29,10.457,10.457,10.457,10.457,10.457,200
14,2021-06-30,10.49,10.49,10.46,10.46,10.46,10900
15,2021-07-01,10.46,10.46,10.46,10.46,10.46,0
16,2021-07-02,10.7,10.7,10.7,10.7,10.7,100
17,2021-07-06,10.7,10.7,10.7,10.7,10.7,0
18,2021-07-07,10.48,10.48,10.47,10.47,10.47,1500
19,2021-07-08,10.45,10.45,10.45,10.45,10.45,300
20,2021-07-09,10.45,10.45,10.45,10.45,10.45,0
21,2021-07-12,10.45,10.45,10.45,10.45,10.45,0
22,2021-07-13,10.47,10.5,10.48,10.47,10.48,4100
23,2021-07-14,10.48,10.48,10.48,10.48,10.48,0
24,2021-07-15,10.47,10.5,10.5,10.47,10.5,700
25,2021-07-16,10.5,10.5,10.5,10.5,10.5,100
26,2021-07-19,10.5,10.5,10.5,10.5,10.5,0
27,2021-07-20,10.47,10.47,10.47,10.47,10.47,500
28,2021-07-21,10.47,10.47,10.47,10.47,10.47,0
29,2021-07-22,10.47,10.47,10.47,10.47,10.47,0
30,2021-07-23,10.47,10.47,10.47,10.47,10.47,0
31,2021-07-26,10.47,10.47,10.47,10.47,10.47,0
32,2021-07-27,10.47,10.47,10.47,10.47,10.47,0
33,2021-07-28,10.47,10.47,10.47,10.47,10.47,0
34,2021-07-29,10.47,10.47,10.47,10.47,10.47,0
35,2021-07-30,10.47,10.47,10.47,10.47,10.47,0
36,2021-08-02,10.47,10.47,10.47,10.47,10.47,0
37,2021-08-03,10.47,10.47,10.47,10.47,10.47,0
38,2021-08-04,10.47,10.47,10.47,10.47,10.47,0
39,2021-08-05,10.47,10.47,10.47,10.47,10.47,0
40,2021-08-06,10.47,10.47,10.47,10.47,10.47,0
41,2021-08-09,10.47,10.47,10.47,10.47,10.47,0
42,2021-08-10,10.47,10.47,10.47,10.47,10.47,0
43,2021-08-11,10.45,10.45,10.43,10.43,10.43,6700
44,2021-08-12,10.43,10.44,10.44,10.43,10.44,1200
45,2021-08-13,10.44,10.44,10.44,10.44,10.44,0
46,2021-08-16,10.44,10.466,10.466,10.44,10.466,400
47,2021-08-17,10.466,10.466,10.466,10.466,10.466,0
48,2021-08-18,10.466,10.466,10.466,10.466,10.466,0
49,2021-08-19,10.614,10.614,10.43,10.42,10.43,3400
50,2021-08-20,10.45,10.45,10.39,10.39,10.39,6800
51,2021-08-23,10.4,10.4,10.4,10.4,10.4,100
52,2021-08-24,10.4,10.42,10.42,10.4,10.42,1000
53,2021-08-25,10.42,10.42,10.42,10.42,10.42,0
54,2021-08-26,10.43,10.43,10.43,10.43,10.43,100
55,2021-08-27,10.45,10.45,10.425,10.415,10.425,54400
56,2021-08-30,10.425,10.425,10.425,10.425,10.425,0
57,2021-08-31,10.425,10.425,10.425,10.425,10.425,0
58,2021-09-01,10.4,10.4,10.4,10.4,10.4,100
59,2021-09-02,10.4,10.4,10.4,10.4,10.4,0
60,2021-09-03,10.4,10.4,10.4,10.4,10.4,0
61,2021-09-07,10.4,10.4,10.4,10.4,10.4,0
