,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,6.35,6.38,6.34,6.255,6.2236,9427906
1,2021-06-11,6.43,6.445,6.43,6.3226,6.312,9203304
2,2021-06-14,6.44,6.45,6.33,6.3,6.2138,7387891
3,2021-06-15,6.3,6.33,6.31,6.1629,6.1942,9464630
4,2021-06-16,6.24,6.25,5.96,5.91,5.8506,19249939
5,2021-06-17,5.93,5.93,5.71,5.68,5.6052,27387230
6,2021-06-18,5.81,5.86,5.75,5.69,5.6444,14602200
7,2021-06-21,5.71,5.985,5.93,5.68,5.8211,11574100
8,2021-06-22,5.9,6.01,5.96,5.85,5.8506,14692340
9,2021-06-23,5.99,6.06,5.97,5.94,5.8604,9321032
10,2021-06-24,6.08,6.32,6.22,6.0201,6.1058,13128540
11,2021-06-25,6.29,6.34,6.17,6.17,6.0567,11792020
12,2021-06-28,6.23,6.24,6.16,6.05,6.0469,13568710
13,2021-06-29,6.22,6.23,6.08,5.99,5.9684,35935113
14,2021-06-30,6.02,6.02,5.9,5.85,5.7917,20038520
15,2021-07-01,5.96,5.97,5.69,5.66,5.5855,11266020
16,2021-07-02,5.78,5.89,5.82,5.72,5.7132,7438800
17,2021-07-06,5.67,5.745,5.64,5.59,5.5365,11929420
18,2021-07-07,5.71,5.8,5.71,5.6309,5.6052,6671343
19,2021-07-08,5.53,5.573,5.5,5.4023,5.399,8057452
20,2021-07-09,5.61,5.75,5.71,5.56,5.6052,7929032
21,2021-07-12,5.64,5.855,5.83,5.61,5.723,7727182
22,2021-07-13,5.9,5.91,5.83,5.8,5.723,10127100
23,2021-07-14,5.99,6.1,5.86,5.805,5.7524,12961410
24,2021-07-15,5.88,5.98,5.81,5.73,5.7033,9566811
25,2021-07-16,5.82,5.845,5.72,5.655,5.615,9599538
26,2021-07-19,5.48,5.58,5.57,5.41,5.4678,9335639
27,2021-07-20,5.51,5.65,5.6,5.43,5.4972,7872362
28,2021-07-21,5.62,5.84,5.82,5.6,5.7132,8255409
29,2021-07-22,5.79,5.86,5.82,5.7,5.7132,8215348
30,2021-07-23,5.88,5.94,5.84,5.83,5.7328,8872453
31,2021-07-26,5.91,6.1,6.08,5.9,5.9684,9351384
32,2021-07-27,6.01,6.015,5.9,5.8,5.7917,8473596
33,2021-07-28,5.94,5.99,5.95,5.84,5.8408,4446428
34,2021-07-29,6.05,6.14,6.13,6.02,6.0175,9193663
35,2021-07-30,6.05,6.14,5.93,5.89,5.8211,6937732
36,2021-08-02,6.02,6.06,5.92,5.89,5.8113,6733853
37,2021-08-03,5.87,6.035,5.99,5.735,5.88,8854415
38,2021-08-04,6.07,6.135,6.02,5.87,5.9095,8197068
39,2021-08-05,6.01,6.04,5.88,5.785,5.7721,10311570
40,2021-08-06,5.96,5.97,5.93,5.83,5.8211,6460419
41,2021-08-09,5.83,5.92,5.89,5.76,5.7819,5549173
42,2021-08-10,5.91,6.11,6.07,5.88,5.9586,8781384
43,2021-08-11,6.12,6.14,6.12,5.96,6.0077,11546310
44,2021-08-12,6.08,6.13,6.0,5.985,5.8899,14504320
45,2021-08-13,5.99,6.0,5.95,5.88,5.8408,5752224
46,2021-08-16,5.83,5.83,5.71,5.67,5.605,6687000
47,2021-08-17,5.58,5.61,5.46,5.4,5.46,5960700
48,2021-08-18,5.37,5.46,5.33,5.32,5.33,12924100
49,2021-08-19,5.13,5.17,5.1,5.05,5.1,8071000
50,2021-08-20,5.06,5.15,5.09,5.0,5.09,5053300
51,2021-08-23,5.15,5.22,5.15,5.11,5.15,5080900
52,2021-08-24,5.38,5.5,5.45,5.34,5.45,8413600
53,2021-08-25,5.48,5.54,5.53,5.42,5.53,5390300
54,2021-08-26,5.42,5.47,5.37,5.33,5.37,5456700
55,2021-08-27,5.45,5.56,5.55,5.41,5.55,5084600
56,2021-08-30,5.52,5.55,5.47,5.43,5.47,7508000
57,2021-08-31,5.49,5.49,5.42,5.39,5.42,6909900
58,2021-09-01,5.27,5.47,5.4,5.26,5.4,4992700
59,2021-09-02,5.38,5.44,5.25,5.22,5.25,14010900
60,2021-09-03,5.33,5.36,5.21,5.21,5.21,6943600
61,2021-09-07,5.3,5.4,5.33,5.25,5.33,4709358
