,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,9.12,9.1699,9.165,9.12,8.9833,112390
1,2021-06-11,9.15,9.15,9.09,9.0827,8.9098,110813
2,2021-06-14,8.96,9.05,9.045,8.95,8.8657,183932
3,2021-06-15,9.05,9.05,9.0,8.98,8.8216,148165
4,2021-06-16,9.0,9.03,8.9,8.87,8.7236,247324
5,2021-06-17,8.67,8.7,8.61,8.59,8.4393,597885
6,2021-06-18,8.61,8.65,8.56,8.56,8.3903,161156
7,2021-06-21,8.59,8.62,8.61,8.56,8.4979,228260
8,2021-06-22,8.6,8.6,8.58,8.551,8.4683,227817
9,2021-06-23,8.59,8.65,8.56,8.56,8.4485,198447
10,2021-06-24,8.63,8.63,8.56,8.55,8.4485,121652
11,2021-06-25,8.61,8.6299,8.585,8.57,8.4732,210963
12,2021-06-28,8.59,8.6,8.585,8.58,8.4732,218001
13,2021-06-29,8.49,8.52,8.5,8.46,8.3893,313265
14,2021-06-30,8.5,8.57,8.55,8.47,8.4387,267548
15,2021-07-01,8.59,8.59,8.56,8.53,8.4485,361716
16,2021-07-02,8.65,8.65,8.625,8.585,8.5127,258604
17,2021-07-06,8.71,8.75,8.665,8.64,8.5522,371744
18,2021-07-07,8.68,8.7199,8.7032,8.67,8.5899,257682
19,2021-07-08,8.73,8.735,8.68,8.65,8.567,244215
20,2021-07-09,8.7,8.73,8.73,8.68,8.6163,217060
21,2021-07-12,8.72,8.72,8.705,8.645,8.5916,151329
22,2021-07-13,8.71,8.75,8.715,8.71,8.6015,258457
23,2021-07-14,8.8,8.8,8.79,8.755,8.6755,135035
24,2021-07-15,8.76,8.79,8.78,8.75,8.6657,231541
25,2021-07-16,8.79,8.79,8.72,8.72,8.6064,110072
26,2021-07-19,8.72,8.74,8.72,8.71,8.6064,181164
27,2021-07-20,8.72,8.75,8.7,8.67,8.6218,121698
28,2021-07-21,8.69,8.7,8.68,8.6695,8.602,116164
29,2021-07-22,8.69,8.7,8.68,8.65,8.602,128905
30,2021-07-23,8.7,8.7,8.665,8.645,8.5871,95349
31,2021-07-26,8.7,8.7,8.655,8.65,8.5772,120534
32,2021-07-27,8.65,8.68,8.65,8.64,8.5723,131689
33,2021-07-28,8.65,8.6999,8.695,8.64,8.6168,115954
34,2021-07-29,8.73,8.79,8.77,8.73,8.6912,128329
35,2021-07-30,8.78,8.7999,8.73,8.7201,8.6515,125262
36,2021-08-02,8.7,8.7503,8.74,8.7,8.6614,126899
37,2021-08-03,8.75,8.75,8.75,8.72,8.6714,107765
38,2021-08-04,8.75,8.806,8.74,8.7101,8.6614,102941
39,2021-08-05,8.75,8.75,8.73,8.6951,8.6515,62513
40,2021-08-06,8.62,8.62,8.51,8.51,8.4335,236229
41,2021-08-09,8.45,8.45,8.37,8.35,8.2948,474823
42,2021-08-10,8.37,8.4,8.375,8.32,8.2997,214741
43,2021-08-11,8.39,8.48,8.475,8.39,8.3988,96632
44,2021-08-12,8.47,8.48,8.47,8.42,8.3939,196444
45,2021-08-13,8.51,8.58,8.58,8.5001,8.5029,191628
46,2021-08-16,8.58,8.611,8.6,8.57,8.523,121900
47,2021-08-17,8.63,8.63,8.6,8.57,8.523,170000
48,2021-08-18,8.62,8.62,8.6,8.58,8.523,237500
49,2021-08-19,8.56,8.56,8.51,8.491,8.51,128300
50,2021-08-20,8.47,8.54,8.53,8.47,8.53,113400
51,2021-08-23,8.59,8.6,8.58,8.56,8.58,119600
52,2021-08-24,8.59,8.6,8.56,8.56,8.56,117500
53,2021-08-25,8.57,8.577,8.55,8.53,8.55,118600
54,2021-08-26,8.54,8.57,8.545,8.53,8.545,106600
55,2021-08-27,8.585,8.605,8.595,8.53,8.595,127600
56,2021-08-30,8.6,8.611,8.6,8.58,8.6,116300
57,2021-08-31,8.6,8.62,8.615,8.58,8.615,125800
58,2021-09-01,8.65,8.65,8.62,8.59,8.62,162400
59,2021-09-02,8.61,8.63,8.62,8.6,8.62,189100
60,2021-09-03,8.62,8.65,8.63,8.62,8.63,107900
61,2021-09-07,8.61,8.6289,8.61,8.59,8.61,100251
