Date,Open,High,Low,Close,AdjustedClose,Volume
2007-04-26,35.8,35.96,35.8,35.9,35.9,59600
2007-04-27,35.86,36.04,35.84,35.99,35.99,51700
2007-04-30,35.92,36.14,35.86,35.86,35.86,24900
2007-05-01,35.88,35.88,35.7,35.827,35.827,6600
2007-05-02,35.86,36.11,35.86,36.06,36.06,7100
2007-05-03,35.98,36.12,35.98,36.03,36.03,19300
2007-05-04,36.28,36.39,36.28,36.37,36.37,36700
2007-05-07,36.42,36.52,36.41,36.48,36.48,79800
2007-05-08,36.13,36.14,36,36.14,36.14,16400
2007-05-09,36.2,36.4,36.2,36.4,36.4,7300
2007-05-10,36.21,36.3,35.83,35.83,35.83,11300
2007-05-11,36.21,36.34,36.14,36.34,36.34,13300
2007-05-14,36.25,36.25,36.06,36.16,36.16,40900
2007-05-15,36,36.26,35.95,35.95,35.95,10500
2007-05-16,36,36.09,35.89,36.09,36.09,13100
2007-05-17,35.83,35.95,35.71,35.93,35.93,11300
2007-05-18,35.93,36.09,35.93,36.07,36.07,6700
2007-05-21,35.97,36.11,35.88,36.03,36.03,11000
2007-05-22,36.25,36.27,36.18,36.2,36.2,6900
2007-05-23,36.5,36.54,36.4,36.4,36.4,3200
2007-05-24,36.23,36.27,35.83,35.83,35.83,9800
2007-05-25,35.94,36.07,35.93,36.07,36.07,29900
2007-05-29,36.36,36.39,36.0801,36.1401,36.1401,13900
2007-05-30,36,36.33,36,36.25,36.25,18500
2007-05-31,36.66,36.77,36.6001,36.75,36.75,7300
2007-06-01,36.93,37.04,36.9,36.94,36.94,82000
2007-06-04,37.03,37.21,37.03,37.21,37.21,48700
2007-06-05,37.12,37.13,36.9,37.048,37.048,89300
2007-06-06,36.78,36.78,36.54,36.6,36.6,48300
2007-06-07,36.4,36.5,35.9,36,36,34200
2007-06-08,35.9,36.33,35.9,36.33,36.33,12500
2007-06-11,36.1,36.32,35.97,36.21,36.21,10200
2007-06-12,35.94,36.17,35.85,35.99,35.99,291100
2007-06-13,35.83,38.54,35.82,36.08,36.08,160800
2007-06-14,36.3,36.43,36.23,36.41,36.41,86200
2007-06-15,36.68,38.23,36.6,36.72,36.72,20100
2007-06-18,36.82,36.84,36.672,36.84,36.84,26000
2007-06-19,36.74,36.92,36.72,36.9,36.9,25200
2007-06-20,36.87,36.87,36.76,36.8,36.8,290800
2007-06-21,36.6,38.81,36.59,36.86,36.86,58400
2007-06-22,36.67,36.67,36.31,36.4,36.4,63300
2007-06-25,36.33,36.49,36.01,36.12,36.12,25700
2007-06-26,36.36,36.55,36.12,36.14,36.14,23200
2007-06-27,35.9,36.23,35.87,36.23,36.23,21500
2007-06-28,36.4,36.63,36.4,36.44,36.44,22100
2007-06-29,36.72,36.77,36.5,36.63,36.63,38400
2007-07-02,37.08,37.34,37.08,37.34,37.34,14700
2007-07-03,37.5,37.59,37.431,37.59,37.59,14300
2007-07-05,37.6,37.66,37.485,37.66,37.66,27300
2007-07-06,37.65,37.85,37.65,37.82,37.82,23600
2007-07-09,37.98,38.04,37.9299,37.96,37.96,15800
2007-07-10,37.84,37.98,37.67,37.71,37.71,17700
2007-07-11,37.7701,37.98,37.7701,37.98,37.98,8900
2007-07-12,38.1,38.49,38.1,38.49,38.49,14200
2007-07-13,38.4,38.5,38.35,38.42,38.42,5900
2007-07-16,38.4,38.4099,38.25,38.28,38.28,5500
2007-07-17,38.28,38.3,38.14,38.21,38.21,13000
2007-07-18,38.1,38.24,38.02,38.24,38.24,6200
2007-07-19,38.45,38.48,38.36,38.44,38.44,104100
2007-07-20,38.5,38.5,38.2,38.31,38.31,6500
2007-07-23,38.42,38.48,38.31,38.33,38.33,18400
2007-07-24,38.19,38.23,37.64,37.81,37.81,46600
2007-07-25,38.05,38.07,37.73,37.93,37.93,6500
2007-07-26,37.14,37.16,36.4,36.6,36.6,71000
2007-07-27,36.38,36.52,36.1,36.1,36.1,41600
2007-07-30,36.55,36.89,36.49,36.81,36.81,11100
2007-07-31,37.23,37.33,36.97,37.05,37.05,240400
2007-08-01,36.4,36.46,35.97,35.97,35.97,16000
2007-08-02,36.58,36.74,36.52,36.68,36.68,3600
2007-08-03,36.3001,36.53,36.1,36.15,36.15,128700
2007-08-06,36.2,36.49,35.9,36.49,36.49,95000
2007-08-07,36,36.34,36,36.31,36.31,4300
2007-08-08,36.52,36.77,36.4,36.64,36.64,20400
2007-08-09,35.78,36.12,35.67,35.76,35.76,10100
2007-08-10,34.98,35.3,34.89,35.3,35.3,30900
2007-08-13,35.55,35.57,35.3,35.31,35.31,6500
2007-08-14,35.34,35.34,34.01,34.8799,34.8799,43300
2007-08-15,34.48,34.56,33.84,33.84,33.84,90500
2007-08-16,33.3,33.44,32.55,33.44,33.44,30700
2007-08-17,33.1,34.75,33,33.49,33.49,20200
2007-08-20,33.61,33.82,33.45,33.79,33.79,22800
2007-08-21,33.68,36.5,33.58,33.75,33.75,19200
2007-08-22,34.28,34.55,34.28,34.52,34.52,12000
2007-08-23,34.95,34.95,34.56,34.68,34.68,23100
2007-08-24,34.8999,35.24,34.8999,35.24,35.24,5400
2007-08-27,35.18,35.18,35,35.04,35.04,7300
2007-08-28,34.87,34.87,34.33,34.4,34.4,16400
2007-08-29,34.79,35.17,34.7,35.17,35.17,13600
2007-08-30,34.74,35.1,34.66,34.83,34.83,91300
2007-08-31,35.47,35.67,35.38,35.58,35.58,16000
2007-09-04,35.66,36.11,35.66,36.11,36.11,46600
2007-09-05,36.4,36.4,35.43,35.56,35.56,154300
2007-09-06,35.5,35.73,35.35,35.7,35.7,108700
