,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,131.16,132.34,132.13,131.16,131.6249,37200
1,2021-06-11,131.66,131.66,131.62,131.2301,131.1168,52444
2,2021-06-14,131.48,132.02,131.88,131.27,131.3758,40704
3,2021-06-15,130.97,130.97,130.04,129.94,129.5429,29481
4,2021-06-16,128.99,129.39,128.0,127.7575,127.5107,22323
5,2021-06-17,128.99,130.1794,129.88,128.99,129.3835,40093
6,2021-06-18,129.97,130.05,129.58,129.29,129.085,15300
7,2021-06-21,128.93,129.15,129.12,127.97,129.12,35900
8,2021-06-22,128.21,128.38,128.3,128.0,128.3,19900
9,2021-06-23,129.67,130.58,129.83,129.26,129.83,39700
10,2021-06-24,130.48,131.39,131.18,130.45,131.18,23500
11,2021-06-25,132.92,133.52,133.38,132.69,133.38,31200
12,2021-06-28,133.67,134.4199,133.98,133.5926,133.98,19108
13,2021-06-29,132.61,133.74,133.74,132.1468,133.74,34317
14,2021-06-30,132.51,132.8262,132.7,132.3,132.7,14880
15,2021-07-01,132.68,132.76,131.38,130.84,131.38,14400
16,2021-07-02,129.62,129.64,129.52,129.08,129.52,25900
17,2021-07-06,127.36,127.36,126.32,125.87,126.32,57700
18,2021-07-07,127.3,127.55,126.1,125.99,126.1,420900
19,2021-07-08,122.78,123.42,122.96,122.08,122.96,285600
20,2021-07-09,124.81,126.33,125.77,124.59,125.77,48200
21,2021-07-12,125.35,125.93,125.43,125.06,125.43,111100
22,2021-07-13,126.75,127.67,126.94,126.56,126.94,42700
23,2021-07-14,127.71,127.82,126.6,126.37,126.6,35400
24,2021-07-15,127.6,128.09,127.61,127.0,127.61,27400
25,2021-07-16,127.54,127.66,126.22,126.06,126.22,19400
26,2021-07-19,124.56,125.0,124.49,123.55,124.49,45200
27,2021-07-20,123.75,124.73,124.5,123.49,124.5,49000
28,2021-07-21,124.08,125.5,125.4,124.08,125.4,45100
29,2021-07-22,125.64,126.0,125.63,125.15,125.63,10400
30,2021-07-23,122.44,122.44,121.46,120.6,121.46,71900
31,2021-07-26,116.37,117.12,115.0,114.89,115.0,313000
32,2021-07-27,110.12,110.73,110.39,107.93,110.39,215300
33,2021-07-28,113.72,117.08,116.8,113.72,116.8,330900
34,2021-07-29,117.51,117.51,116.37,115.49,116.37,472100
35,2021-07-30,114.61,116.07,115.74,114.48,115.74,252200
36,2021-08-02,116.89,117.85,117.29,116.56,117.29,35000
37,2021-08-03,115.94,115.99,115.91,115.15,115.91,112400
38,2021-08-04,117.06,118.26,117.57,116.93,117.57,66000
39,2021-08-05,116.19,116.8,116.38,115.9,116.38,34500
40,2021-08-06,116.13,116.22,115.01,114.69,115.01,57200
41,2021-08-09,116.16,117.3499,116.95,116.16,116.95,32963
42,2021-08-10,118.6,118.6,117.8,117.6249,117.8,13921
43,2021-08-11,119.1,119.1,118.33,117.81,118.33,15700
44,2021-08-12,117.11,117.11,116.54,116.28,116.54,69200
45,2021-08-13,116.44,116.44,116.27,115.79,116.27,23300
46,2021-08-16,114.61,114.65,114.06,113.63,114.06,47600
47,2021-08-17,110.89,111.71,110.88,110.06,110.88,234000
48,2021-08-18,111.88,112.58,111.7,111.53,111.7,47800
49,2021-08-19,109.64,110.16,109.06,108.8,109.06,118200
50,2021-08-20,108.29,109.6,108.49,107.98,108.49,47400
51,2021-08-23,109.76,110.88,110.86,109.2,110.86,43700
52,2021-08-24,113.81,115.39,115.34,113.81,115.34,64200
53,2021-08-25,114.56,114.71,114.44,113.87,114.44,371200
54,2021-08-26,113.37,113.81,112.65,112.61,112.65,40500
55,2021-08-27,112.93,113.07,112.91,112.48,112.91,19600
56,2021-08-30,112.71,113.52,113.29,111.76,113.29,77600
57,2021-08-31,115.37,115.71,115.62,114.85,115.62,45800
58,2021-09-01,116.62,118.54,118.15,116.62,118.15,68400
59,2021-09-02,118.32,118.95,117.58,117.34,117.58,61992
60,2021-09-03,117.07,117.86,117.15,116.97,117.15,917230
61,2021-09-07,119.6,120.74,120.37,119.6,120.37,41823
