,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,7.64,7.85,7.72,7.5,7.72,479100
1,2021-06-11,7.71,7.83,7.64,7.62,7.64,161200
2,2021-06-14,7.64,7.75,7.35,7.3,7.35,172600
3,2021-06-15,7.3,7.61,7.55,7.15,7.55,335900
4,2021-06-16,7.45,7.83,7.72,7.41,7.72,222200
5,2021-06-17,7.71,7.72,7.34,7.31,7.34,152000
6,2021-06-18,7.11,7.49,7.17,7.07,7.17,237900
7,2021-06-21,7.23,7.4,7.32,7.14,7.32,117800
8,2021-06-22,7.28,7.28,7.23,7.1,7.23,80000
9,2021-06-23,7.27,7.38,7.32,7.27,7.32,73200
10,2021-06-24,7.35,7.38,7.33,7.19,7.33,81800
11,2021-06-25,7.39,7.92,7.75,7.33,7.75,1629000
12,2021-06-28,7.96,8.2,8.0,7.81,8.0,332500
13,2021-06-29,8.01,8.45,8.4,8.0,8.4,314000
14,2021-06-30,8.4,8.55,8.33,8.26,8.33,258600
15,2021-07-01,8.49,8.49,8.24,8.1,8.24,307000
16,2021-07-02,8.28,8.36,8.23,8.2,8.23,176200
17,2021-07-06,8.45,8.45,8.15,7.97,8.15,232800
18,2021-07-07,8.2,8.2,8.14,7.99,8.14,183500
19,2021-07-08,8.07,8.08,8.03,7.86,8.03,180400
20,2021-07-09,8.06,8.23,8.17,7.94,8.17,204000
21,2021-07-12,8.21,8.26,8.02,7.99,8.02,149500
22,2021-07-13,8.05,8.2,7.99,7.98,7.99,147800
23,2021-07-14,8.07,8.07,7.64,7.61,7.64,185600
24,2021-07-15,7.57,7.82,7.61,7.24,7.61,170600
25,2021-07-16,7.67,7.78,7.57,7.52,7.57,85100
26,2021-07-19,7.52,7.57,7.36,7.25,7.36,186900
27,2021-07-20,7.21,7.79,7.58,7.21,7.58,233900
28,2021-07-21,7.65,8.09,8.01,7.65,8.01,178800
29,2021-07-22,8.03,8.11,8.05,7.87,8.05,135800
30,2021-07-23,8.11,8.31,8.15,8.07,8.15,167300
31,2021-07-26,8.18,8.2,7.78,7.54,7.78,260800
32,2021-07-27,7.76,7.81,7.68,7.6,7.68,154600
33,2021-07-28,7.74,8.03,8.0,7.74,8.0,108900
34,2021-07-29,8.04,8.17,8.05,7.94,8.05,146400
35,2021-07-30,8.01,8.16,7.89,7.84,7.89,109300
36,2021-08-02,7.99,8.04,7.99,7.72,7.99,184800
37,2021-08-03,8.15,8.45,8.29,7.92,8.29,317600
38,2021-08-04,8.32,8.44,8.16,8.13,8.16,236800
39,2021-08-05,8.21,8.28,8.0,7.97,8.0,268300
40,2021-08-06,8.0,8.05,7.93,7.8,7.93,179200
41,2021-08-09,7.98,7.99,7.85,7.75,7.85,151300
42,2021-08-10,7.85,8.07,8.03,7.72,8.03,172200
43,2021-08-11,8.05,8.34,8.26,7.97,8.26,161700
44,2021-08-12,8.27,8.58,8.47,8.19,8.47,243400
45,2021-08-13,8.58,8.75,8.46,8.32,8.46,254000
46,2021-08-16,8.4,8.4,8.21,8.11,8.21,133300
47,2021-08-17,8.15,8.15,7.99,7.8,7.99,183100
48,2021-08-18,7.99,8.47,8.1,7.81,8.1,209000
49,2021-08-19,8.0,8.35,8.33,7.95,8.33,165700
50,2021-08-20,8.23,8.3,7.95,7.88,7.95,238200
51,2021-08-23,8.08,8.11,8.07,7.93,8.07,301300
52,2021-08-24,8.12,8.29,8.25,8.08,8.25,146700
53,2021-08-25,8.25,8.3,8.24,8.16,8.24,114900
54,2021-08-26,8.18,8.28,8.14,8.07,8.14,140500
55,2021-08-27,8.16,8.29,8.18,8.13,8.18,124900
56,2021-08-30,8.26,8.4,8.26,8.18,8.26,157400
57,2021-08-31,8.3,8.38,8.26,8.21,8.26,180400
58,2021-09-01,8.25,8.31,8.29,8.05,8.29,239300
59,2021-09-02,8.37,8.48,8.35,8.18,8.35,286400
60,2021-09-03,8.36,8.48,8.24,8.21,8.24,133800
61,2021-09-07,8.21,8.33,8.3,8.21,8.3,110358
