,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,44.57,44.6444,44.48,44.33,44.1453,364519
1,2021-06-11,44.51,44.84,44.84,44.29,44.5026,306073
2,2021-06-14,44.71,44.84,44.34,44.24,44.0064,288407
3,2021-06-15,44.29,44.598,44.45,44.1539,44.1156,236930
4,2021-06-16,44.5,44.69,43.81,43.73,43.4804,274668
5,2021-06-17,43.75,43.84,43.51,43.45,43.1826,263465
6,2021-06-18,43.37,43.37,41.94,41.85,41.6245,684105
7,2021-06-21,42.04,43.09,42.96,41.98,42.6368,312526
8,2021-06-22,42.85,42.92,42.49,42.43,42.1703,321156
9,2021-06-23,42.41,42.82,41.75,41.48,41.4359,460186
10,2021-06-24,41.79,42.23,42.16,41.53,41.8428,253585
11,2021-06-25,42.16,42.9,42.82,42.0,42.4978,596892
12,2021-06-28,42.71,42.76,42.53,42.25,42.21,272604
13,2021-06-29,42.58,42.81,41.85,41.77,41.5351,422528
14,2021-06-30,41.75,42.48,42.28,41.51,41.9619,570423
15,2021-07-01,42.48,42.9,42.53,42.37,42.21,356432
16,2021-07-02,42.67,42.67,42.41,42.265,42.0909,211321
17,2021-07-06,42.46,42.46,42.34,41.64,42.0214,405903
18,2021-07-07,42.2,42.64,42.35,41.92,42.0314,251188
19,2021-07-08,42.12,42.31,41.93,41.8,41.6145,252392
20,2021-07-09,42.05,42.55,42.51,41.84,42.1902,348324
21,2021-07-12,42.32,42.6,42.54,42.08,42.2199,210658
22,2021-07-13,42.34,42.64,41.75,41.68,41.4359,298737
23,2021-07-14,41.77,42.2,42.0,41.42,41.684,267555
24,2021-07-15,41.86,43.22,43.18,41.61,42.8551,546242
25,2021-07-16,43.23,43.75,42.92,42.76,42.5971,429579
26,2021-07-19,42.59,43.0,42.61,42.29,42.2894,372681
27,2021-07-20,42.64,43.74,43.23,42.51,42.9047,522553
28,2021-07-21,43.13,43.42,42.66,42.65,42.339,292268
29,2021-07-22,42.56,42.79,42.68,42.38,42.3589,226421
30,2021-07-23,42.81,43.24,43.19,42.67,42.865,185666
31,2021-07-26,43.3,43.59,43.22,43.11,42.8948,208174
32,2021-07-27,42.99,43.83,43.7,42.68,43.3712,199575
33,2021-07-28,43.29,43.93,43.75,43.23,43.4208,207703
34,2021-07-29,43.99,44.13,43.83,43.76,43.5002,181106
35,2021-07-30,43.68,44.11,43.34,43.29,43.0139,433998
36,2021-08-02,43.47,44.03,43.77,43.28,43.4407,273750
37,2021-08-03,43.82,43.87,43.83,43.52,43.5002,314080
38,2021-08-04,43.7,43.71,43.51,42.88,43.1826,252931
39,2021-08-05,43.75,43.94,43.86,43.44,43.53,148355
40,2021-08-06,44.05,44.32,43.83,43.56,43.5002,182012
41,2021-08-09,43.67,44.23,43.98,42.01,43.6491,222404
42,2021-08-10,43.99,44.4,44.06,43.71,43.7285,186778
43,2021-08-11,44.24,44.78,44.47,44.15,44.1354,178468
44,2021-08-12,44.56,44.6699,44.5,44.0,44.1652,258322
45,2021-08-13,44.41,44.85,44.72,43.87,44.3835,691008
46,2021-08-16,45.0,45.53,45.09,44.79,44.7508,289500
47,2021-08-17,45.0,45.24,45.19,44.5,44.85,316800
48,2021-08-18,44.97,44.97,44.68,44.48,44.68,198800
49,2021-08-19,44.63,44.9,44.74,44.43,44.74,269400
50,2021-08-20,44.5,44.9,44.78,44.5,44.78,266200
51,2021-08-23,44.69,44.8,44.5,44.3,44.5,358800
52,2021-08-24,44.49,44.49,43.94,43.75,43.94,326600
53,2021-08-25,43.87,44.04,43.65,43.18,43.65,395900
54,2021-08-26,43.55,43.55,43.42,43.04,43.42,291300
55,2021-08-27,43.49,43.91,43.67,43.34,43.67,360800
56,2021-08-30,43.61,43.78,43.7,43.43,43.7,269600
57,2021-08-31,43.73,44.05,43.6,43.31,43.6,659300
58,2021-09-01,43.75,43.84,43.8,43.34,43.8,316500
59,2021-09-02,43.9,44.12,43.96,43.7,43.96,239800
60,2021-09-03,43.89,43.89,43.06,43.06,43.06,209200
61,2021-09-07,43.02,43.05,41.96,41.95,41.96,341350
