,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,34.58,34.92,33.61,33.55,33.3364,137413
1,2021-06-11,33.97,34.56,34.08,33.61,33.8026,124044
2,2021-06-14,34.2,34.5459,33.57,33.04,33.2967,134279
3,2021-06-15,33.88,34.21,34.04,33.11,33.7629,192782
4,2021-06-16,33.74,34.8,34.0,33.57,33.7232,174256
5,2021-06-17,33.96,34.29,32.53,31.85,32.2652,204745
6,2021-06-18,31.65,32.0111,31.71,31.09,31.4519,368875
7,2021-06-21,32.17,33.4,32.7,32.11,32.4338,214188
8,2021-06-22,32.69,32.78,32.75,31.69,32.4834,177355
9,2021-06-23,32.96,33.74,33.06,32.67,32.7909,176401
10,2021-06-24,33.29,34.31,34.29,32.8,34.0108,172039
11,2021-06-25,34.57,35.21,33.55,33.38,33.2769,1555250
12,2021-06-28,33.64,33.64,33.08,32.59,32.8107,201416
13,2021-06-29,33.17,33.51,32.94,32.835,32.6718,93743
14,2021-06-30,32.62,33.5,33.27,32.62,32.9992,96677
15,2021-07-01,33.53,33.75,33.16,33.06,32.89,387298
16,2021-07-02,33.21,33.21,32.48,32.445,32.2156,173629
17,2021-07-06,32.48,32.715,31.52,30.92,31.2634,434474
18,2021-07-07,31.24,32.0,31.74,30.9,31.4816,473597
19,2021-07-08,30.77,31.65,30.83,30.3,30.579,165303
20,2021-07-09,31.32,32.11,31.97,31.19,31.7097,110599
21,2021-07-12,31.6,32.61,32.55,31.405,32.285,120373
22,2021-07-13,32.46,32.976,31.88,31.7139,31.6205,90570
23,2021-07-14,32.04,32.55,31.47,31.355,31.2138,95767
24,2021-07-15,31.05,31.6775,31.3,30.72,31.0452,145358
25,2021-07-16,31.67,31.91,30.38,30.36,30.1327,142486
26,2021-07-19,29.39,29.7,29.18,28.28,28.9424,263141
27,2021-07-20,29.39,31.41,31.2,29.24,30.946,316411
28,2021-07-21,31.65,33.38,32.48,31.65,32.2156,281882
29,2021-07-22,32.09,32.44,31.73,31.54,31.4717,182200
30,2021-07-23,32.09,33.1,32.7,31.99,32.4338,185194
31,2021-07-26,32.79,33.85,33.7,32.78,33.4257,289655
32,2021-07-27,33.15,33.46,32.8,32.43,32.533,149770
33,2021-07-28,32.97,33.28,32.94,32.0622,32.6718,126849
34,2021-07-29,33.11,34.17,34.08,32.75,33.8026,162840
35,2021-07-30,33.9,34.795,34.03,33.68,33.753,150946
36,2021-08-02,33.77,35.62,34.06,33.77,33.7827,320608
37,2021-08-03,34.16,35.38,34.52,32.76,34.239,262864
38,2021-08-04,33.77,33.77,32.24,31.93,31.9775,221635
39,2021-08-05,32.46,33.07,32.56,32.3,32.2949,164392
40,2021-08-06,33.03,33.67,33.59,32.37,33.3165,157200
41,2021-08-09,33.31,33.31,32.56,32.375,32.2949,145232
42,2021-08-10,32.81,33.92,33.74,32.58,33.4653,111436
43,2021-08-11,34.0,35.25,35.2,33.67,34.9134,186275
44,2021-08-12,35.14,36.16,35.51,34.79,35.2209,301495
45,2021-08-13,35.36,35.38,34.7,34.27,34.4175,157654
46,2021-08-16,34.02,35.36,34.55,33.785,34.2687,351742
47,2021-08-17,34.1,34.1,33.31,32.58,33.0388,148663
48,2021-08-18,33.03,33.99,33.06,33.0,32.7909,328457
49,2021-08-19,32.35,32.63,31.64,31.19,31.3824,216392
50,2021-08-20,31.48,32.42,32.26,30.9401,31.9974,189075
51,2021-08-23,32.86,32.93,32.54,32.32,32.2751,96400
52,2021-08-24,32.87,33.52,33.07,32.63,32.8008,128400
53,2021-08-25,33.26,34.3,33.78,33.1,33.505,150400
54,2021-08-26,33.77,33.77,32.63,32.03,32.63,134300
55,2021-08-27,32.89,34.45,34.23,32.89,34.23,110300
56,2021-08-30,34.4,34.5,34.11,33.94,34.11,148200
57,2021-08-31,34.26,34.26,34.05,33.57,34.05,157400
58,2021-09-01,34.21,34.49,33.61,33.14,33.61,178100
59,2021-09-02,33.99,34.53,34.18,33.53,34.18,107500
60,2021-09-03,33.98,33.98,33.48,33.09,33.48,81100
61,2021-09-07,33.44,33.469,33.05,32.83,33.05,115928
