,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,9.71,9.8,9.709,9.69,9.709,77600
1,2021-06-11,9.74,9.78,9.78,9.65,9.78,136000
2,2021-06-14,9.74,9.77,9.71,9.71,9.71,1700
3,2021-06-15,9.72,9.8,9.79,9.72,9.79,21400
4,2021-06-16,9.79,9.79,9.76,9.74,9.76,11800
5,2021-06-17,9.72,9.76,9.76,9.715,9.76,15500
6,2021-06-18,9.79,9.79,9.77,9.77,9.77,200
7,2021-06-21,9.77,9.77,9.77,9.77,9.77,0
8,2021-06-22,9.72,9.75,9.75,9.71,9.75,2800
9,2021-06-23,9.75,9.81,9.75,9.71,9.75,59300
10,2021-06-24,9.75,9.75,9.75,9.75,9.75,0
11,2021-06-25,9.72,9.72,9.72,9.72,9.72,100
12,2021-06-28,9.72,9.73,9.72,9.71,9.72,190300
13,2021-06-29,9.71,9.75,9.74,9.7,9.74,39500
14,2021-06-30,9.75,9.75,9.75,9.75,9.75,100
15,2021-07-01,9.7,9.81,9.81,9.7,9.81,32500
16,2021-07-02,9.75,9.75,9.71,9.71,9.71,4600
17,2021-07-06,9.71,9.73,9.71,9.7,9.71,12000
18,2021-07-07,9.71,9.72,9.72,9.7,9.72,20500
19,2021-07-08,9.72,9.82,9.82,9.72,9.82,35800
20,2021-07-09,9.82,9.82,9.82,9.82,9.82,0
21,2021-07-12,9.82,9.82,9.82,9.82,9.82,0
22,2021-07-13,9.75,9.8,9.8,9.745,9.8,1300
23,2021-07-14,9.73,9.775,9.74,9.72,9.74,538300
24,2021-07-15,9.73,9.75,9.73,9.72,9.73,1700
25,2021-07-16,9.73,9.83,9.72,9.71,9.72,8500
26,2021-07-19,9.72,9.72,9.72,9.72,9.72,300
27,2021-07-20,9.77,9.77,9.73,9.71,9.73,1000
28,2021-07-21,9.73,9.73,9.73,9.73,9.73,0
29,2021-07-22,9.68,9.71,9.71,9.68,9.71,3100
30,2021-07-23,9.69,9.69,9.69,9.69,9.69,4200
31,2021-07-26,9.68,9.73,9.7,9.68,9.7,3300
32,2021-07-27,9.68,9.71,9.67,9.67,9.67,2900
33,2021-07-28,9.67,9.68,9.68,9.66,9.68,5100
34,2021-07-29,9.68,9.71,9.71,9.66,9.71,2200
35,2021-07-30,9.7,9.79,9.79,9.67,9.79,16200
36,2021-08-02,9.79,9.79,9.79,9.79,9.79,0
37,2021-08-03,9.68,9.71,9.68,9.68,9.68,18300
38,2021-08-04,9.68,9.7,9.7,9.68,9.7,12700
39,2021-08-05,9.68,9.71,9.71,9.68,9.71,4500
40,2021-08-06,9.7,9.71,9.69,9.66,9.69,48800
41,2021-08-09,9.69,9.69,9.69,9.69,9.69,0
42,2021-08-10,9.67,9.68,9.68,9.64,9.68,63900
43,2021-08-11,9.65,9.67,9.67,9.65,9.67,500
44,2021-08-12,9.67,9.67,9.67,9.67,9.67,0
45,2021-08-13,9.67,9.67,9.67,9.67,9.67,0
46,2021-08-16,9.66,9.66,9.66,9.66,9.66,1500
47,2021-08-17,9.66,9.66,9.66,9.66,9.66,0
48,2021-08-18,9.67,9.67,9.66,9.65,9.66,12300
49,2021-08-19,9.66,9.66,9.66,9.66,9.66,0
50,2021-08-20,9.65,9.66,9.65,9.65,9.65,2400
51,2021-08-23,9.65,9.67,9.67,9.64,9.67,21600
52,2021-08-24,9.67,9.67,9.67,9.67,9.67,300
53,2021-08-25,9.65,9.66,9.66,9.65,9.66,2900
54,2021-08-26,9.65,9.7,9.65,9.65,9.65,11700
55,2021-08-27,9.65,9.65,9.65,9.65,9.65,0
56,2021-08-30,9.68,9.7,9.66,9.66,9.66,13200
57,2021-08-31,9.65,9.65,9.65,9.65,9.65,300
58,2021-09-01,9.7,9.72,9.71,9.68,9.71,8800
59,2021-09-02,9.68,9.68,9.67,9.66,9.67,17700
60,2021-09-03,9.7,9.7,9.67,9.67,9.67,1600
61,2021-09-07,9.67,9.72,9.72,9.67,9.72,4934
