,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,15.3,15.49,15.0,15.0,14.9481,253847
1,2021-06-11,15.17,15.26,15.1,14.95,15.0478,206872
2,2021-06-14,15.1,15.21,14.88,14.79,14.8285,216465
3,2021-06-15,14.91,15.12,15.03,14.82,14.978,203774
4,2021-06-16,14.95,15.3,15.2,14.87,15.1474,434335
5,2021-06-17,15.26,15.26,14.62,14.57,14.5694,404887
6,2021-06-18,14.57,14.71,14.07,14.05,14.0213,1038839
7,2021-06-21,14.11,14.69,14.66,14.0077,14.6093,493145
8,2021-06-22,14.61,14.76,14.46,14.36,14.41,416118
9,2021-06-23,14.47,14.57,14.42,14.4,14.3701,154102
10,2021-06-24,14.43,14.64,14.6,14.41,14.5495,136590
11,2021-06-25,14.59,14.79,14.61,14.53,14.5595,736037
12,2021-06-28,14.52,14.52,14.4,14.2603,14.3502,322283
13,2021-06-29,14.45,14.51,14.29,14.27,14.2406,201737
14,2021-06-30,14.15,14.45,14.34,14.12,14.2904,185003
15,2021-07-01,14.5,14.51,14.42,14.37,14.3701,180710
16,2021-07-02,14.37,14.62,14.34,14.24,14.2904,148179
17,2021-07-06,14.29,14.29,14.1,13.93,14.0512,300864
18,2021-07-07,14.04,14.27,14.11,13.99,14.0612,258707
19,2021-07-08,13.86,14.19,13.84,13.76,13.7921,305594
20,2021-07-09,14.07,14.46,14.45,13.93,14.4,275897
21,2021-07-12,14.3,14.48,14.46,14.28,14.41,185200
22,2021-07-13,14.37,14.38,14.13,14.09,14.13,238500
23,2021-07-14,14.16,14.38,14.17,14.14,14.17,223800
24,2021-07-15,14.01,14.45,14.42,13.94,14.42,187400
25,2021-07-16,14.5,14.5,14.18,14.155,14.18,248600
26,2021-07-19,13.82,14.11,13.7,13.57,13.7,291900
27,2021-07-20,13.64,14.35,13.95,13.64,13.95,382200
28,2021-07-21,14.08,14.25,14.17,14.08,14.17,224700
29,2021-07-22,14.1,14.205,13.86,13.84,13.86,148600
30,2021-07-23,13.98,14.16,14.12,13.91,14.12,167300
31,2021-07-26,14.12,14.36,14.03,14.0,14.03,212800
32,2021-07-27,13.98,14.05,13.29,13.27,13.29,280600
33,2021-07-28,13.24,13.69,13.58,13.04,13.58,254100
34,2021-07-29,13.85,13.85,13.7,13.62,13.7,141900
35,2021-07-30,13.59,13.85,13.61,13.542,13.61,171500
36,2021-08-02,13.64,14.01,13.41,13.4,13.41,226700
37,2021-08-03,13.555,13.77,13.71,13.37,13.71,226500
38,2021-08-04,13.6,13.735,13.52,13.47,13.52,198600
39,2021-08-05,13.58,13.92,13.81,13.56,13.81,148500
40,2021-08-06,14.02,14.23,14.05,13.97,14.05,222500
41,2021-08-09,14.04,14.06,13.9,13.81,13.9,203802
42,2021-08-10,13.85,14.035,14.01,13.825,14.01,150021
43,2021-08-11,14.0,14.18,14.15,13.86,14.15,149100
44,2021-08-12,14.15,14.15,14.03,13.95,14.03,155800
45,2021-08-13,14.01,14.12,13.87,13.84,13.87,122800
46,2021-08-16,13.995,13.995,13.78,13.61,13.78,135300
47,2021-08-17,13.66,13.83,13.74,13.59,13.74,137700
48,2021-08-18,13.82,13.82,13.53,13.51,13.53,171600
49,2021-08-19,13.38,13.61,13.55,13.365,13.55,157900
50,2021-08-20,13.47,13.82,13.77,13.47,13.77,256900
51,2021-08-23,13.85,13.98,13.89,13.79,13.89,136600
52,2021-08-24,13.93,13.99,13.92,13.85,13.92,107700
53,2021-08-25,13.88,14.23,14.11,13.85,14.11,184900
54,2021-08-26,14.13,14.23,13.84,13.83,13.84,137100
55,2021-08-27,13.84,14.37,14.33,13.79,14.33,169400
56,2021-08-30,14.37,14.37,14.02,13.95,14.02,132300
57,2021-08-31,13.95,14.21,14.13,13.95,14.13,224800
58,2021-09-01,14.06,14.2,14.04,13.94,14.04,146000
59,2021-09-02,13.98,14.27,14.13,13.975,14.13,170900
60,2021-09-03,14.11,14.2,14.14,14.04,14.14,132000
61,2021-09-07,14.14,14.26,13.99,13.97,13.99,175651
