,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,32.15,32.44,32.42,31.96,32.0987,1086490
1,2021-06-11,32.33,32.46,32.15,31.99,31.8313,1331291
2,2021-06-14,32.265,32.36,32.28,32.025,31.9601,1122200
3,2021-06-15,32.3,32.34,31.69,31.68,31.3759,1057956
4,2021-06-16,31.77,31.995,31.37,31.35,31.0591,711993
5,2021-06-17,31.32,31.3635,31.06,30.91,30.7521,1521804
6,2021-06-18,31.0,31.08,30.26,30.25,29.9601,1638521
7,2021-06-21,30.42,31.0,30.85,30.2653,30.5442,716584
8,2021-06-22,30.9,30.935,30.74,30.65,30.4353,821410
9,2021-06-23,30.69,30.835,30.68,30.48,30.3759,1016204
10,2021-06-24,30.73,30.78,30.7,30.45,30.3957,846280
11,2021-06-25,30.5,30.75,30.67,30.43,30.366,1719682
12,2021-06-28,30.65,30.78,30.57,30.21,30.267,923823
13,2021-06-29,30.58,30.8,30.47,30.39,30.168,1046902
14,2021-06-30,30.47,30.6,30.2,30.16,29.9007,1034622
15,2021-07-01,30.16,30.58,30.28,29.88,29.9799,1291611
16,2021-07-02,30.35,30.54,30.23,30.05,29.9304,855558
17,2021-07-06,30.12,30.75,30.67,29.69,30.366,1310248
18,2021-07-07,30.56,30.85,30.63,30.4237,30.3264,1455999
19,2021-07-08,30.47,30.62,30.22,30.1299,29.9205,654342
20,2021-07-09,30.39,30.72,30.67,30.14,30.366,830529
21,2021-07-12,30.52,31.02,31.0,30.46,30.6927,525866
22,2021-07-13,30.88,31.01,30.39,30.29,30.0888,499113
23,2021-07-14,30.32,30.89,30.65,30.22,30.3462,667444
24,2021-07-15,30.63,30.795,30.74,30.51,30.4353,388699
25,2021-07-16,30.94,31.345,31.2,30.8,30.8908,635163
26,2021-07-19,30.91,31.115,30.84,30.49,30.5343,784191
27,2021-07-20,31.01,31.965,31.67,30.81,31.3561,1135139
28,2021-07-21,31.62,31.97,31.71,31.57,31.3957,796543
29,2021-07-22,31.53,31.64,31.47,31.28,31.1581,783177
30,2021-07-23,31.66,31.89,31.83,31.525,31.5145,518650
31,2021-07-26,31.91,32.02,31.54,31.475,31.2274,605329
32,2021-07-27,31.42,31.97,31.77,31.3,31.4551,384521
33,2021-07-28,31.88,31.89,31.61,31.55,31.2967,520297
34,2021-07-29,31.79,31.88,31.6,31.58,31.2868,366686
35,2021-07-30,31.63,32.15,31.88,31.63,31.564,813099
36,2021-08-02,32.04,32.24,31.56,31.455,31.2472,804994
37,2021-08-03,31.45,31.55,31.35,31.18,31.0393,502182
38,2021-08-04,31.02,31.14,30.75,30.615,30.4452,660128
39,2021-08-05,31.01,31.56,31.56,30.94,31.2472,708603
40,2021-08-06,31.7,31.825,31.39,31.32,31.0789,690463
41,2021-08-09,31.17,31.37,30.89,30.86,30.5833,639200
42,2021-08-10,30.92,30.92,30.45,30.31,30.1477,1157000
43,2021-08-11,30.56,30.75,30.46,30.32,30.1576,588500
44,2021-08-12,30.44,30.57,30.52,30.25,30.217,577000
45,2021-08-13,30.31,30.48,30.39,30.26,30.39,473500
46,2021-08-16,30.31,30.56,30.23,30.12,30.23,810700
47,2021-08-17,30.13,30.35,30.18,29.8,30.18,799300
48,2021-08-18,30.06,30.16,29.97,29.74,29.97,1496200
49,2021-08-19,29.88,30.32,29.89,29.6,29.89,1051700
50,2021-08-20,29.42,30.21,29.95,29.35,29.95,1811400
51,2021-08-23,30.0,30.08,29.58,29.18,29.58,1273700
52,2021-08-24,29.65,29.91,29.83,29.32,29.83,919700
53,2021-08-25,29.85,30.04,29.77,29.68,29.77,1011300
54,2021-08-26,29.71,29.93,29.84,29.57,29.84,1245700
55,2021-08-27,29.96,30.27,30.03,29.88,30.03,1054700
56,2021-08-30,30.05,30.24,30.24,29.74,30.24,815733
57,2021-08-31,30.09,30.26,30.03,29.9512,30.03,1221800
58,2021-09-01,30.26,30.77,30.58,30.205,30.58,1414388
59,2021-09-02,30.71,30.93,30.82,30.53,30.82,1512700
60,2021-09-03,30.73,30.98,30.94,30.41,30.94,1000800
61,2021-09-07,30.83,30.83,30.1,29.91,30.1,1565228
