,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,1.98,1.99,1.95,1.87,1.95,447900
1,2021-06-11,1.97,1.97,1.94,1.904,1.94,197900
2,2021-06-14,1.96,2.0,1.94,1.89,1.94,456600
3,2021-06-15,1.908,1.96,1.85,1.83,1.85,335000
4,2021-06-16,1.84,1.89,1.84,1.81,1.84,177600
5,2021-06-17,1.867,1.9,1.88,1.82,1.88,194600
6,2021-06-18,1.87,1.91,1.83,1.81,1.83,234300
7,2021-06-21,1.83,1.85,1.79,1.76,1.79,287600
8,2021-06-22,1.82,1.85,1.83,1.76,1.83,200900
9,2021-06-23,1.85,1.86,1.85,1.8,1.85,217700
10,2021-06-24,1.82,1.859,1.8,1.8,1.8,223200
11,2021-06-25,1.845,1.85,1.83,1.78,1.83,182100
12,2021-06-28,1.815,1.83,1.8,1.8,1.8,216300
13,2021-06-29,1.8,1.84,1.76,1.75,1.76,285400
14,2021-06-30,1.757,1.77,1.74,1.66,1.74,271500
15,2021-07-01,1.751,1.751,1.71,1.67,1.71,183900
16,2021-07-02,1.71,1.75,1.72,1.7,1.72,133500
17,2021-07-06,1.7,1.74,1.64,1.6,1.64,487400
18,2021-07-07,1.64,1.65,1.64,1.56,1.64,313800
19,2021-07-08,1.6,1.65,1.64,1.585,1.64,201400
20,2021-07-09,1.679,1.69,1.68,1.61,1.68,151200
21,2021-07-12,1.67,1.68,1.65,1.63,1.65,137400
22,2021-07-13,1.642,1.65,1.61,1.6,1.61,182300
23,2021-07-14,1.63,1.63,1.53,1.5,1.53,423800
24,2021-07-15,1.57,1.57,1.53,1.49,1.53,350900
25,2021-07-16,1.57,1.59,1.55,1.49,1.55,291800
26,2021-07-19,1.51,1.53,1.51,1.47,1.51,237600
27,2021-07-20,1.505,1.57,1.56,1.49,1.56,168600
28,2021-07-21,1.59,1.61,1.59,1.55,1.59,157000
29,2021-07-22,1.58,1.624,1.6,1.55,1.6,282600
30,2021-07-23,1.6,1.65,1.61,1.58,1.61,420400
31,2021-07-26,1.63,1.67,1.63,1.6,1.63,281500
32,2021-07-27,1.585,1.67,1.63,1.56,1.63,322100
33,2021-07-28,1.65,1.73,1.71,1.61,1.71,368400
34,2021-07-29,1.7,1.73,1.71,1.66,1.71,123400
35,2021-07-30,1.69,1.75,1.75,1.66,1.75,169000
36,2021-08-02,1.73,1.73,1.68,1.67,1.68,168000
37,2021-08-03,1.69,1.7,1.7,1.67,1.7,114100
38,2021-08-04,1.7,1.7,1.65,1.63,1.65,163300
39,2021-08-05,1.65,1.7,1.69,1.644,1.69,82500
40,2021-08-06,1.69,1.7,1.7,1.6,1.7,272300
41,2021-08-09,1.685,1.69,1.68,1.63,1.68,131200
42,2021-08-10,1.649,1.68,1.65,1.622,1.65,162700
43,2021-08-11,1.647,1.67,1.63,1.619,1.63,97000
44,2021-08-12,1.64,1.64,1.63,1.59,1.63,164200
45,2021-08-13,1.6,1.64,1.58,1.58,1.58,159900
46,2021-08-16,1.56,1.59,1.53,1.49,1.53,300400
47,2021-08-17,1.52,1.55,1.53,1.51,1.53,148800
48,2021-08-18,1.52,1.57,1.53,1.5,1.53,122100
49,2021-08-19,1.52,1.527,1.49,1.48,1.49,147700
50,2021-08-20,1.483,1.58,1.55,1.46,1.55,204600
51,2021-08-23,1.56,1.67,1.66,1.549,1.66,159000
52,2021-08-24,1.68,1.77,1.72,1.64,1.72,771000
53,2021-08-25,1.76,1.94,1.84,1.74,1.84,1930900
54,2021-08-26,1.88,1.91,1.8,1.74,1.8,448600
55,2021-08-27,1.81,1.87,1.84,1.8,1.84,274900
56,2021-08-30,1.87,1.89,1.83,1.77,1.83,323400
57,2021-08-31,1.8,1.85,1.83,1.77,1.83,245700
58,2021-09-01,1.84,1.85,1.79,1.77,1.79,147100
59,2021-09-02,1.78,1.85,1.8,1.76,1.8,233800
60,2021-09-03,1.8,1.82,1.81,1.76,1.81,156400
61,2021-09-07,1.81,1.8199,1.75,1.75,1.75,143048
