Date,Open,High,Low,Close,AdjustedClose,Volume
2006-05-05,49.84,50.12,49.84,50.12,50.12,600
2006-05-08,50.53,50.53,50.33,50.36,50.36,900
2006-05-09,50.33,50.38,50.22,50.31,50.31,5100
2006-05-10,50.22,50.35,50.1,50.32,50.32,32300
2006-05-11,50.19,50.19,49.64,49.7499,49.7499,4100
2006-05-12,49.75,49.824,49.4,49.4,49.4,33400
2006-05-15,49.48,49.8265,49.48,49.79,49.79,9700
2006-05-16,49.83,49.83,49.63,49.65,49.65,63400
2006-05-17,49.31,49.38,48.86,49.05,49.05,3800
2006-05-18,49,49,48.55,48.55,48.55,2100
2006-05-19,48.85,49.08,48.67,49.08,49.08,31000
2006-05-22,48.94,49.2,48.71,49.19,49.19,1800
2006-05-23,49.05,49.05,48.74,48.74,48.74,1700
2006-05-24,48.54,48.96,48.52,48.89,48.89,6800
2006-05-25,48.95,49.08,48.85,48.97,48.97,9700
2006-05-26,49.11,49.11,49.11,49.11,49.11,300
2006-05-30,49,49,48.65,48.65,48.65,4400
2006-05-31,48.76,48.81,48.76,48.81,48.81,2500
2006-06-01,48.9,49.39,48.9,49.39,49.39,44000
2006-06-02,49.9,49.9,49.52,49.74,49.74,4100
2006-06-05,49.42,49.55,49,49,49,1600
2006-06-06,49,49,48.5,48.83,48.83,900
2006-06-07,49.21,49.496,49.19,49.19,49.19,3700
2006-06-08,49.02,49.54,49.02,49.45,49.45,63200
2006-06-09,49.5,49.56,49.32,49.38,49.38,11700
2006-06-12,49.16,49.25,49,49,49,2200
2006-06-13,49.03,49.09,48.51,48.57,48.57,3500
2006-06-14,48.5,48.5,47.6,47.98,47.98,3800
2006-06-15,48.14,48.81,48.14,48.8,48.8,2900
2006-06-16,48.75,48.79,48.5,48.5,48.5,3400
2006-06-19,48.57,48.57,48.23,48.23,48.23,3700
2006-06-20,48.38,48.39,48.23,48.23,48.23,1200
2006-06-21,48.22,48.51,48.22,48.41,48.41,1200
2006-06-22,48.22,48.22,48.024,48.06,48.06,900
2006-06-23,47.59,47.59,47.58,47.58,47.58,500
2006-06-26,47.62,48.01,47.62,48.01,48.01,3800
2006-06-27,47.9,47.9,47.75,47.75,47.75,30700
2006-06-28,47.77,47.88,47.77,47.88,47.88,200
2006-06-29,48.18,48.63,48.15,48.63,48.63,800
2006-06-30,48.7,48.7,48.53,48.57,48.57,700
2006-07-03,48.55,48.79,48.55,48.79,48.79,500
2006-07-05,48.63,48.63,48.2672,48.28,48.28,1800
2006-07-06,48.39,48.537,48.3,48.3,48.3,1900
2006-07-07,48.64,48.64,48.31,48.31,48.31,1400
2006-07-10,48.41,48.41,48.41,48.41,48.41,200
2006-07-11,48.13,48.53,48.09,48.52,48.52,15300
2006-07-12,48.38,48.38,48.04,48.04,48.04,1800
2006-07-13,47.99,47.99,47.64,47.64,47.64,300
2006-07-14,47.66,47.9,47.66,47.9,47.9,1600
2006-07-17,47.93,48.12,47.93,48.12,48.12,400
2006-07-18,48.34,48.34,48,48.34,48.34,37700
2006-07-19,48.5,49.44,48.5,49.41,49.41,2700
2006-07-20,49.4,49.44,49.17,49.17,49.17,1100
2006-07-21,49.15,49.15,48.92,48.9201,48.9201,1000
2006-07-24,49.12,49.33,49.12,49.33,49.33,1700
2006-07-25,49.23,49.48,49.22,49.39,49.39,4100
2006-07-26,49.33,49.42,49.28,49.41,49.41,700
2006-07-27,49.58,49.58,48.92,48.92,48.92,5900
2006-07-28,49.41,49.87,49.41,49.86,49.86,29200
2006-07-31,49.6,49.6,49.4,49.53,49.53,3600
2006-08-01,49.27,49.27,49.27,49.27,49.27,600
2006-08-02,49.5,49.64,49.37,49.47,49.47,6800
2006-08-03,49.5,49.96,49.5,49.96,49.96,1200
2006-08-04,50.2,50.56,50.06,50.15,50.15,2900
2006-08-07,50.24,50.26,50.06,50.09,50.09,2500
2006-08-08,50.35,50.35,49.88,49.88,49.88,4500
2006-08-09,50.1,50.1,49.2,49.2,49.2,1800
2006-08-10,49.44,49.44,49.25,49.38,49.38,800
2006-08-11,49.23,49.23,48.98,49.16,49.16,4000
2006-08-14,49.21,49.4,49.02,49.02,49.02,32100
2006-08-15,49.51,49.83,49.51,49.83,49.83,45600
2006-08-16,49.93,49.99,49.7,49.97,49.97,155600
2006-08-17,49.87,49.96,49.83,49.95,49.95,94000
2006-08-18,49.83,49.89,49.83,49.89,49.89,30200
2006-08-21,49.84,49.84,49.63,49.65,49.65,1400
2006-08-22,49.6901,49.83,49.68,49.71,49.71,3200
2006-08-23,49.72,49.72,49.34,49.39,49.39,64700
2006-08-24,49.42,49.54,49.42,49.54,49.54,2500
2006-08-25,49.05,49.05,49.05,49.05,49.05,100
2006-08-28,49.3,49.428,49.3,49.36,49.36,15200
2006-08-29,49.07,49.09,48.96,49.09,49.09,5200
2006-08-30,49.15,49.38,49.15,49.26,49.26,32700
2006-08-31,49.26,49.26,49.1,49.19,49.19,1200
2006-09-01,49.17,49.34,49.13,49.27,49.27,1100
2006-09-05,49.29,49.48,49.29,49.48,49.48,800
2006-09-06,49.28,49.41,49.28,49.31,49.31,1900
2006-09-07,49.17,49.17,48.82,48.82,48.82,11500
2006-09-08,48.86,49.05,48.82,49.05,49.05,6200
2006-09-11,48.95,49.12,48.95,49.04,49.04,31800
2006-09-12,49,49.66,49,49.59,49.59,8900
2006-09-13,49.53,49.786,49.53,49.77,49.77,3600
2006-09-14,49.79,49.89,49.79,49.82,49.82,3600
2006-09-15,50.12,50.21,50.08,50.21,50.21,2800
2006-09-18,50.15,50.15,49.91,49.98,49.98,11900
2006-09-19,50.05,50.05,49.64,49.81,49.81,5100
2006-09-20,50,50.4,50,50.33,50.33,2100
2006-09-21,50.4,50.4,49.96,50.04,50.04,1600
2006-09-22,49.88,49.9,49.88,49.9,49.9,1300
2006-09-25,50.15,50.44,50.02,50.44,50.44,2600
2006-09-26,49.65,49.92,49.65,49.88,49.88,5700
2006-09-27,50.02,50.05,49.85,49.96,49.96,20100
2006-09-28,49.98,50.02,49.92,50.02,50.02,2400
2006-09-29,50,50,49.71,49.71,49.71,700
2006-10-02,49.56,49.6152,49.27,49.41,49.41,4900
2006-10-03,49.58,49.71,49.56,49.62,49.62,4600
2006-10-04,49.58,49.97,49.58,49.97,49.97,4600
2006-10-05,50,50.09,50,50.09,50.09,3000
2006-10-06,50.15,50.15,49.86,50.01,50.01,12400
2006-10-09,50.05,50.2705,49.92,50.2705,50.2705,6700
2006-10-10,50.35,50.44,50.16,50.22,50.22,2400
2006-10-11,50.24,50.41,50.21,50.3,50.3,2200
2006-10-12,50.51,50.51,50.45,50.5,50.5,1300
2006-10-13,50.6,50.66,50.51,50.51,50.51,4300
2006-10-16,50.6,50.6,50.31,50.31,50.31,2400
2006-10-17,50,50.26,50,50.19,50.19,6200
2006-10-18,50.22,50.22,49.96,50.1292,50.1292,2800
2006-10-19,50,50,49.56,49.73,49.73,5000
2006-10-20,49.8,49.8,49.5,49.55,49.55,6200
2006-10-23,49.61,49.82,49.49,49.74,49.74,5600
2006-10-24,49.74,49.84,49.61,49.84,49.84,3200
2006-10-25,49.72,49.95,49.71,49.95,49.95,42200
2006-10-26,49.9,50.2,49.75,50.2,50.2,3000
2006-10-27,49.98,50.04,49.87,49.89,49.89,1200
2006-10-30,49.9301,50.08,49.92,50.08,50.08,2400
2006-10-31,50.15,50.17,50.008,50.06,50.06,32200
2006-11-01,50.05,50.05,49.73,49.73,49.73,3500
2006-11-02,49.5,49.5512,49.45,49.46,49.46,2700
2006-11-03,49.8,49.8,49.37,49.47,49.47,4600
2006-11-06,49.6,49.85,49.6,49.85,49.85,2700
2006-11-07,49.9,50.0948,49.9,49.94,49.94,5800
2006-11-08,49.95,50.1701,49.9,50.09,50.09,6200
2006-11-09,49.9401,50.08,49.9401,49.97,49.97,8000
2006-11-10,50.03,50.06,49.94,49.95,49.95,1500
2006-11-13,50.1,50.25,50.1,50.19,50.19,2600
2006-11-14,49.99,50.28,49.92,50.28,50.28,4300
2006-11-15,50.4,50.45,50.35,50.43,50.43,13000
2006-11-16,50.61,50.77,50.61,50.76,50.76,1300
2006-11-17,50.5701,50.64,50.52,50.6,50.6,2700
2006-11-20,50.64,50.75,50.5901,50.66,50.66,4500
2006-11-21,50.5599,50.5599,50.43,50.43,50.43,700
2006-11-22,50.4,50.62,50.4,50.49,50.49,3300
2006-11-24,50.35,50.41,50.35,50.41,50.41,300
2006-11-27,49.92,49.92,49.8043,49.8043,49.8043,3000
2006-11-28,49.7,49.87,49.7,49.8,49.8,1300
2006-11-29,50.05,50.22,50.05,50.2012,50.2012,900
2006-11-30,50.25,50.32,49.99,50.31,50.31,9800
2006-12-01,50.34,50.34,49.95,50.18,50.18,1500
2006-12-04,50.79,51.08,50.79,50.98,50.98,34100
2006-12-05,51.02,51.19,50.89,51.19,51.19,3700
2006-12-06,50.97,51.06,50.97,51.0188,51.0188,2300
2006-12-07,51.2,51.26,50.89,50.89,50.89,9600
2006-12-08,50.6,50.86,50.6,50.74,50.74,1300
2006-12-11,51,51,51,51,51,300
2006-12-12,50.9,51.29,50.9,51.29,51.29,2200
2006-12-13,51.36,51.56,51.36,51.5167,51.5167,6100
2006-12-14,51.49,51.91,51.49,51.9,51.9,3000
2006-12-15,52.09,52.1,52.02,52.05,52.05,2500
2006-12-18,52.1,52.13,51.97,52.01,52.01,6700
2006-12-19,52.06,52.06,51.91,52.0488,52.0488,1500
2006-12-20,51.7,51.8499,51.68,51.8499,51.8499,800
2006-12-21,51.81,51.9,51.73,51.78,51.78,1900
2006-12-22,51.8,51.8,51.66,51.7,51.7,3500
2006-12-26,51.89,52.0788,51.89,52.0788,52.0788,400
2006-12-27,52.4,52.52,52.4,52.52,52.52,3100
2006-12-28,52.4,52.58,52.2872,52.37,52.37,2000
2006-12-29,52.25,52.2616,51.9,51.9,51.9,2800
2007-01-03,52,52.44,51.98,52.07,52.07,37600
2007-01-04,52.01,52.18,51.8868,52.14,52.14,23500
2007-01-05,51.95,51.95,51.38,51.4,51.4,18100
2007-01-08,51.3,51.44,51.08,51.43,51.43,14600
2007-01-09,51.6,51.67,51.09,51.31,51.31,1700
2007-01-10,51.2,51.53,51.2,51.48,51.48,2100
2007-01-11,51.63,51.66,51.5,51.6,51.6,22800
2007-01-12,51.5,51.64,51.5,51.62,51.62,4400
2007-01-16,51.58,51.58,51.38,51.48,51.48,25300
2007-01-17,51.15,51.29,51.07,51.14,51.14,5600
2007-01-18,51.18,51.37,51.15,51.3,51.3,37100
2007-01-19,51.1299,51.2001,51,51.12,51.12,3300
2007-01-22,51.02,51.06,50.92,51.05,51.05,3500
2007-01-23,51.06,51.07,50.85,51.03,51.03,9200
2007-01-24,51.13,51.36,51.08,51.36,51.36,68700
2007-01-25,51.45,51.45,50.93,50.95,50.95,9200
2007-01-26,50.93,51.15,50.84,51.08,51.08,43500
2007-01-29,51.08,51.14,51.04,51.04,51.04,3600
2007-01-30,51.05,51.22,51.05,51.22,51.22,2900
2007-01-31,51.15,51.58,51.09,51.57,51.57,3700
2007-02-01,51.64,51.74,51.63,51.74,51.74,12500
2007-02-02,51.87,52.16,51.87,52.09,52.09,4900
2007-02-05,52.15,52.16,51.96,52.05,52.05,3700
2007-02-06,52.12,52.42,52.1,52.33,52.33,61800
2007-02-07,52.45,52.5604,52.38,52.54,52.54,3600
2007-02-08,52.23,52.3,52.17,52.3,52.3,8600
2007-02-09,52.36,52.41,51.93,52.01,52.01,34600
2007-02-12,51.991,52.25,51.991,52.22,52.22,5400
2007-02-13,52.38,52.55,52.38,52.55,52.55,1100
2007-02-14,52.65,52.98,52.65,52.88,52.88,5800
2007-02-15,52.9,52.94,52.83,52.93,52.93,21300
2007-02-16,53.08,53.17,53.07,53.17,53.17,5000
2007-02-20,53.3,53.49,53.02,53.49,53.49,5600
2007-02-21,53.17,53.28,53.15,53.2,53.2,18100
2007-02-22,53.25,53.25,53.08,53.12,53.12,4300
2007-02-23,52.98,52.98,52.77,52.86,52.86,6500
2007-02-26,53.05,53.0646,52.51,52.6212,52.6212,1400
2007-02-27,52.05,52.26,51.2,51.3,51.3,38500
2007-02-28,51.14,51.68,51.14,51.58,51.58,34200
2007-03-01,50.8,51.52,50.8,51.41,51.41,4800
2007-03-02,51.2,51.47,51.1,51.1,51.1,7000
2007-03-05,50.6,50.82,50.12,50.12,50.12,6100
2007-03-06,50.6,51.05,50.44,51,51,50300
2007-03-07,50.9,50.9,50.62,50.62,50.62,4100
2007-03-08,50.94,51.1378,50.88,50.88,50.88,11000
2007-03-09,51.14,51.14,50.83,50.9,50.9,2900
2007-03-12,50.63,50.93,50.63,50.93,50.93,600
2007-03-13,50.5,50.5,49.29,49.29,49.29,11400
2007-03-14,49.36,49.54,48.78,49.52,49.52,14300
2007-03-15,49.6,50.01,49.6,49.97,49.97,2900
2007-03-16,50.32,50.32,49.86,49.92,49.92,7700
2007-03-19,50.37,50.46,50.3101,50.34,50.34,3100
2007-03-20,50.48,50.85,50.48,50.78,50.78,39700
2007-03-21,50.85,51.99,50.67,51.89,51.89,8300
2007-03-22,51.98,51.98,51.48,51.48,51.48,16900
2007-03-23,51.33,51.36,51.28,51.32,51.32,2500
2007-03-26,51.15,51.16,50.73,51.04,51.04,7100
2007-03-27,50.85,50.87,50.72,50.75,50.75,2000
2007-03-28,50.65,50.65,50.18,50.18,50.18,2200
2007-03-29,50.43,50.71,50.43,50.48,50.48,3200
2007-03-30,50.5,50.5,50.19,50.31,50.31,700
2007-04-02,50.01,50.01,49.45,49.61,49.61,12200
2007-04-03,50.12,50.39,50.01,50.32,50.32,7300
2007-04-04,50.2,50.2,49.97,50.03,50.03,8400
2007-04-05,49.8501,50.05,49.84,50.05,50.05,20600
2007-04-09,49.83,49.83,49.6899,49.7022,49.7022,2200
2007-04-10,49.87,49.87,49.7245,49.74,49.74,3100
2007-04-11,49.75,49.75,49.29,49.29,49.29,9500
2007-04-12,49.3,49.3,48.92,49.2,49.2,17900
2007-04-13,49.15,49.6,49.15,49.6,49.6,22500
2007-04-16,49.89,50.59,49.89,50.5,50.5,27100
2007-04-17,50.43,50.58,50.39,50.39,50.39,7600
2007-04-18,50.6,50.95,50.6,50.9,50.9,1900
2007-04-19,50.65,50.99,50.62,50.89,50.89,2400
2007-04-20,51.12,51.12,50.99,51.05,51.05,3600
2007-04-23,51.22,51.22,50.74,50.75,50.75,900
2007-04-24,50.54,50.55,50.21,50.44,50.44,13200
2007-04-25,50.58,50.85,50.56,50.85,50.85,900
2007-04-26,50.87,51.08,50.85,51.08,51.08,1400
2007-04-27,50.71,51,50.71,51,51,800
2007-04-30,50.73,50.88,50.42,50.42,50.42,37400
2007-05-01,50.58,50.62,50.2,50.62,50.62,7300
2007-05-02,50.83,50.86,50.75,50.76,50.76,7400
2007-05-03,50.93,51.14,50.89,51.14,51.14,5900
2007-05-04,51.25,51.3101,51.2,51.2,51.2,2500
2007-05-07,51.4,51.4,51.38,51.4,51.4,1300
2007-05-08,51.15,51.33,51.15,51.31,51.31,3000
2007-05-09,51.29,51.6455,51.29,51.55,51.55,4300
2007-05-10,51.35,51.35,50.91,50.91,50.91,20700
2007-05-11,51.13,51.25,51.1101,51.25,51.25,2700
