,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,25.34,25.35,25.35,25.34,25.35,5700
1,2021-06-11,25.341,25.35,25.35,25.34,25.35,1900
2,2021-06-14,25.35,25.35,25.35,25.35,25.35,0
3,2021-06-15,25.36,25.36,25.35,25.35,25.35,761400
4,2021-06-16,25.35,25.35,25.35,25.35,25.35,0
5,2021-06-17,25.35,25.35,25.35,25.35,25.35,0
6,2021-06-18,25.35,25.35,25.35,25.35,25.35,0
7,2021-06-21,25.346,25.358,25.35,25.34,25.35,1800
8,2021-06-22,25.36,25.36,25.36,25.36,25.36,3100
9,2021-06-23,25.36,25.36,25.36,25.36,25.36,0
10,2021-06-24,25.36,25.36,25.36,25.36,25.36,0
11,2021-06-25,25.36,25.36,25.36,25.36,25.36,0
12,2021-06-28,25.35,25.35,25.35,25.35,25.35,500
13,2021-06-29,25.359,25.36,25.35,25.35,25.35,500
14,2021-06-30,25.357,25.36,25.35,25.35,25.35,5000
15,2021-07-01,25.357,25.36,25.35,25.35,25.35,3100
16,2021-07-02,25.35,25.35,25.35,25.35,25.35,0
17,2021-07-06,25.35,25.35,25.35,25.349,25.35,900
18,2021-07-07,25.35,25.35,25.35,25.35,25.35,0
19,2021-07-08,25.35,25.36,25.35,25.35,25.35,6600
20,2021-07-09,25.35,25.36,25.35,25.35,25.35,900
21,2021-07-12,25.359,25.36,25.35,25.35,25.35,2700
22,2021-07-13,25.34,25.36,25.35,25.34,25.35,1400
23,2021-07-14,25.36,25.36,25.35,25.341,25.35,1400
24,2021-07-15,25.35,25.35,25.35,25.35,25.35,0
25,2021-07-16,25.35,25.35,25.35,25.35,25.35,0
26,2021-07-19,25.355,25.355,25.35,25.34,25.35,300
27,2021-07-20,25.36,25.36,25.35,25.35,25.35,300
28,2021-07-21,25.34,25.35,25.35,25.34,25.35,1100
29,2021-07-22,25.35,25.36,25.35,25.35,25.35,68500
30,2021-07-23,25.35,25.35,25.35,25.35,25.35,0
31,2021-07-26,25.35,25.35,25.35,25.35,25.35,0
32,2021-07-27,25.35,25.35,25.35,25.35,25.35,0
33,2021-07-28,25.35,25.35,25.35,25.35,25.35,0
34,2021-07-29,25.35,25.35,25.35,25.35,25.35,0
35,2021-07-30,25.36,25.36,25.35,25.35,25.35,74500
36,2021-08-02,25.35,25.35,25.35,25.35,25.35,0
37,2021-08-03,25.357,25.357,25.35,25.35,25.35,500
38,2021-08-04,25.35,25.35,25.35,25.35,25.35,200
39,2021-08-05,25.36,25.36,25.36,25.36,25.36,1000
40,2021-08-06,25.36,25.36,25.34,25.34,25.34,300
41,2021-08-09,25.36,25.36,25.35,25.35,25.35,603
42,2021-08-10,25.3599,25.3599,25.35,25.34,25.35,4655
43,2021-08-11,25.35,25.35,25.345,25.343,25.345,8500
44,2021-08-12,25.345,25.345,25.345,25.345,25.345,0
45,2021-08-13,25.343,25.35,25.35,25.34,25.35,1700
46,2021-08-16,25.35,25.35,25.35,25.35,25.35,0
47,2021-08-17,25.36,25.36,25.35,25.34,25.35,900
48,2021-08-18,25.35,25.35,25.35,25.35,25.35,0
49,2021-08-19,25.349,25.35,25.35,25.349,25.35,1400
50,2021-08-20,25.35,25.36,25.35,25.35,25.35,1800
51,2021-08-23,25.357,25.36,25.35,25.35,25.35,32200
52,2021-08-24,25.35,25.35,25.35,25.35,25.35,2400
53,2021-08-25,25.357,25.357,25.35,25.343,25.35,500
54,2021-08-26,25.355,25.355,25.35,25.35,25.35,17600
55,2021-08-27,25.35,25.35,25.35,25.35,25.35,0
56,2021-08-30,25.35,25.35,25.35,25.35,25.35,0
57,2021-08-31,25.357,25.357,25.35,25.35,25.35,300
58,2021-09-01,25.36,25.36,25.35,25.35,25.35,40300
59,2021-09-02,25.35,25.35,25.35,25.35,25.35,0
60,2021-09-03,25.355,25.365,25.355,25.355,25.355,500
61,2021-09-07,25.355,25.355,25.34,25.34,25.34,835
