,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,33.805,33.85,33.785,33.785,33.6001,4068
1,2021-06-11,33.78,33.83,33.8125,33.7427,33.6275,3655
2,2021-06-14,33.85,33.85,33.74,33.74,33.5554,2030
3,2021-06-15,33.85,33.905,33.82,33.82,33.6349,4886
4,2021-06-16,33.74,33.74,33.73,33.73,33.73,900
5,2021-06-17,33.42,33.57,33.365,33.295,33.365,18000
6,2021-06-18,32.74,32.81,32.55,32.53,32.55,3600
7,2021-06-21,32.61,32.806,32.806,32.61,32.806,2500
8,2021-06-22,32.74,32.988,32.988,32.74,32.988,1800
9,2021-06-23,32.76,32.97,32.768,32.72,32.768,4400
10,2021-06-24,33.05,33.11,33.039,33.039,33.039,2600
11,2021-06-25,33.098,33.17,33.131,33.0,33.131,1100
12,2021-06-28,32.88,32.94,32.8662,32.8662,32.8662,1101
13,2021-06-29,32.93,32.95,32.8371,32.8371,32.8371,5063
14,2021-06-30,32.549,32.55,32.55,32.4604,32.55,3574
15,2021-07-01,32.63,32.68,32.638,32.54,32.638,2900
16,2021-07-02,32.8,32.86,32.86,32.784,32.86,700
17,2021-07-06,32.7199,32.7199,32.4569,32.365,32.4569,1518
18,2021-07-07,32.53,32.568,32.482,32.361,32.482,1900
19,2021-07-08,32.04,32.14,32.026,31.83,32.026,2300
20,2021-07-09,32.637,32.637,32.637,32.637,32.637,300
21,2021-07-12,32.601,32.6946,32.6946,32.601,32.6946,1057
22,2021-07-13,32.8,32.81,32.6153,32.55,32.6153,3667
23,2021-07-14,32.96,32.96,32.855,32.78,32.855,3300
24,2021-07-15,32.59,32.61,32.532,32.37,32.532,2100
25,2021-07-16,32.45,32.45,32.226,32.226,32.226,900
26,2021-07-19,31.81,31.81,31.5713,31.42,31.5713,2358
27,2021-07-20,31.7437,31.93,31.8705,31.71,31.8705,4677
28,2021-07-21,32.0,32.19,32.19,32.0,32.19,5400
29,2021-07-22,32.215,32.215,32.113,32.095,32.113,1500
30,2021-07-23,32.41,32.41,32.27,32.1,32.27,4500
31,2021-07-26,32.21,32.43,32.42,32.21,32.42,1500
32,2021-07-27,32.169,32.28,32.28,32.16,32.28,1900
33,2021-07-28,32.13,32.43,32.43,32.11,32.43,2100
34,2021-07-29,32.615,32.615,32.55,32.45,32.55,19200
35,2021-07-30,32.408,32.408,32.231,32.225,32.231,18000
36,2021-08-02,32.44,32.479,32.362,32.362,32.362,600
37,2021-08-03,32.575,32.609,32.609,32.575,32.609,700
38,2021-08-04,32.62,32.62,32.5,32.5,32.5,3200
39,2021-08-05,32.543,32.59,32.505,32.46,32.505,4200
40,2021-08-06,32.39,32.428,32.392,32.39,32.392,2200
41,2021-08-09,32.35,32.3899,32.3801,32.281,32.3801,1481
42,2021-08-10,32.349,32.4199,32.3784,32.349,32.3784,6884
43,2021-08-11,32.679,32.77,32.705,32.61,32.705,1000
44,2021-08-12,32.65,32.769,32.715,32.608,32.715,2000
45,2021-08-13,32.74,32.829,32.779,32.74,32.779,3900
46,2021-08-16,32.421,32.73,32.6613,32.421,32.6613,3662
47,2021-08-17,32.4,32.4,32.2992,32.25,32.2992,2807
48,2021-08-18,32.17,32.255,32.153,32.153,32.153,1200
49,2021-08-19,31.5,31.71,31.622,31.5,31.622,3500
50,2021-08-20,31.56,31.704,31.704,31.32,31.704,3200
51,2021-08-23,31.81,32.1,32.077,31.81,32.077,7700
52,2021-08-24,32.1,32.249,32.15,32.06,32.15,2700
53,2021-08-25,32.0301,32.14,32.0739,31.995,32.0739,9672
54,2021-08-26,32.13,32.13,31.97,31.97,31.97,2000
55,2021-08-27,32.285,32.285,32.231,32.231,32.231,5900
56,2021-08-30,32.35,32.41,32.332,32.332,32.332,1400
57,2021-08-31,32.479,32.479,32.377,32.377,32.377,9800
58,2021-09-01,32.59,32.679,32.55,32.535,32.55,3000
59,2021-09-02,32.63,32.74,32.676,32.621,32.676,1800
60,2021-09-03,32.94,33.02,33.008,32.94,33.008,5400
61,2021-09-07,32.84,32.91,32.8501,32.8244,32.8501,8425
